DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4391657;1;3;1;70;1;4;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;58;80;1;1;8043;08;08;584,085154255934;08
4391660;1;3;1;70;1;4;48;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;53;53;55;1;1;5521;08;08;466,429538715966;08
4391664;1;3;1;70;1;3;48;1; ;2;6;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;59;59;85;1;1;8511;08;08;575,027717658558;08
4391668;1;2;1;70;1;12;48;1; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;737717;2; ;95;41;52;1;1;5229;08;08;408,1355086805;08
4391675;1;3;1;70;1;24;48;1; ;2;48;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;45;32;85;1;2;8515;08;08;575,396897187496;08
4391686;1;3;1;70;1;28;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;33;33;55;1;2;5521;08;08;643,568401091459;08
4391688;1;1;1;70;1;2;48;3; ;2;2;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;99;800000;2; ;59;59;95;1;1;9500;08;08;566,370949348459;08
4391689;1;3;1;70;1;20;48;1; ;2;20;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;95;41;55;1;2;5529;08;08;613,530869776055;08
4391694;1;2;1;70;1;4;30;1; ;2;32;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;39;39;85;1;1;8511;08;08;601,380233516818;08
4391699;1;1;1;70;1;68;48;1; ;2;68;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;44;45;24;1;2;2422;08;08;664,917675338425;08
4391701;1;2;1;70;1;20;48;1; ;2;32;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;39;39;85;1;2;8511;08;08;489,490359381291;08
4391701;1;3;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;750000; ; ;39; ; ;1;1; ;08;08;489,490359381291;08
4391718;1;1;1;70;1;36;40;3; ;2;36;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;345000;700000;2; ;54;53;55;1;2;5521;08;08;566,370949348459;08
4391719;1;5;1;70;1;9;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;53; ; ;1;1; ;08;08;555,15240063603;08
4391722;1;1;1;70;1;16;48;5; ;2;16;1; ;9;2;2; ; ; ; ;1;1; ; ; ; ; ;2; ;8000000;2; ;41;39;26;1;2;2695;08;08;575,396897187496;08
4391732;1;6;1;70;1;32;48;1; ;2;32;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;13;13;80;1;2;8043;08;11;3104,1944687452;11
4391739;1;3;1;70;1;2;35;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2500000; ; ;06; ; ;1;1; ;08;11;2468,69759852869;11
4391745;1;3;1;70;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;6000000; ; ;04; ; ;1;2; ;08;11;2548,29580615852;11
4391751;1;1;1;70;1;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;3500000; ; ;21; ; ;1;2; ;08;11;1818,4814152693;11
4391758;1;1;1;70;1;20;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;39;52;1;2;5244;08;11;3406,66570305174;11
4391763;1;2;1;70;1;20;48;1; ;2;28;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;2;5234;08;11;3455,40220749592;11
4391772;1;3;1;70;1;24;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;98;98;52;1;2;5211;08;11;2571,40012997988;11
