DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4400695;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1078,02117095774
4400696;1;2;1;80;2;1;4;7; ;2; ; ;4; ;2; ;2; ; ; ;737717;2;1;13;1232,38445642076
4400696;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;13;1232,38445642076
4400696;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;13;1232,38445642076
4400696;1;5;1;80;2;1;3;3; ;2; ; ;4; ;2; ;2; ;2; ;737717;2;1;13;1232,38445642076
4400696;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1232,38445642076
4400697;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ;99;2;1;13;759,97734293052
4400698;1;1;1;80;2;2; ; ; ; ;1;4;8; ;2; ;2; ; ; ;99;2;1;13;867,401863444969
4400701;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;923,883287001926
4400706;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;13;867,401863444969
4400707;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1352,04399456022
4400707;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1352,04399456022
4400707;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1352,04399456022
4400711;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;934,845581874033
4400711;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;934,845581874033
4400711;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;934,845581874033
4400713;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;997,088321564404
4400714;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;13;1170,24831557366
4400714;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1170,24831557366
4400714;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1170,24831557366
4400714;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1170,24831557366
4400737;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;13;1003,28455377797
4400739;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1172,48797342039
4400740;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;555,356591657515
4400740;2;2;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;555,356591657515
4400743;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ;99;2;1;13;941,297876665253
4400743;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;13;941,297876665253
4400743;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;941,297876665253
4400744;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;510,140970129704
4400745;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;831,559111643973
4400748;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;13;1035,09141336836
4400749;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ;450000;2;1;13;1097,51842626301
4400757;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1108,90975222763
4400757;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1108,90975222763
4400757;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1108,90975222763
4400759;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;13;1126,97245565764
4400807;1;2;1;80;2;1;2;9;CAMBIO DE CIUDAD DE RESIDENCIA;1; ;2;1; ;2; ;2; ;1;20;400000;2;1;76;2232,69758991611
4400807;1;3;1;80;2;1;2;2; ;2; ; ;2; ;2; ;2; ;2; ;1000000;2;1;76;2232,69758991611
4400808;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;76;2067,66568950808
4400809;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;737717;2;1;76;4316,47828559773
4400810;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;2; ;99;2;1;76;1834,25391512966
4400810;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1834,25391512966
4400811;1;2;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;48;600000;2;1;76;2232,69758991611
4400811;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;76;2232,69758991611
4400830;1;2;1;80;2;2; ; ; ; ;1;2;9; ;2; ;2; ;1;20;500000;2;1;76;1499,11500578501
4400831;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;76;1279,34769748818
4400831;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1279,34769748818
4400833;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;737717;2;1;76;856,414201595473
4400835;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737717;2;1;76;1719,03050748496
