DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2819132,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,115.315.486.848.603
2819132,1,5,1,90,,1,1,2,1,2,2,2,2,2,2,3,2,,3,,,,,,,1,11,63,63,115.315.486.848.603
2819133,1,1,1,90,,2,1,2,2,1,2,2,2,2,2,,2,,,12,,,,,,1,11,63,63,155.722.270.351.422
2819133,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,155.722.270.351.422
2819134,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,12,,,,,,,,,1,11,63,63,915.830.114.967.317
2819134,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,36,,,,,,,,,1,11,63,63,915.830.114.967.317
2819135,1,1,1,90,,2,2,2,1,2,2,2,2,2,2,,,,10,,,,,,,1,11,63,63,133.146.945.530.246
2819135,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,34,,6,,,,,,,1,11,63,63,133.146.945.530.246
2819136,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,8,,18,,,,,,,1,11,63,63,159.160.722.627.764
2819136,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,35,,,,,,,1,11,63,63,159.160.722.627.764
2819136,1,5,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,35,,,,,,,1,11,63,63,159.160.722.627.764
2819137,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,36,,,,,,,,,1,11,63,63,10.131.342.204.361
2819137,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,10.131.342.204.361
2819137,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,10.131.342.204.361
2819137,1,4,1,90,,2,1,2,1,2,2,2,2,2,2,,36,,60,,,,,,,1,11,63,63,10.131.342.204.361
2819137,1,5,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,63,63,10.131.342.204.361
2819140,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,54,54,421.258.345.418.493
2819140,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,21,,,,,,,1,11,54,54,421.258.345.418.493
2819141,1,1,1,90,,2,2,2,2,2,2,2,1,2,2,,,,,,,,42,,,1,11,54,54,371.289.498.333.232
2819142,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,54,54,261.864.182.741.122
2819142,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,6,,,,,,,,,1,11,54,54,261.864.182.741.122
2819143,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,16,,,,,,,,,1,11,54,54,380.071.910.156.411
2819143,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,54,54,380.071.910.156.411
2819144,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,54,54,435.589.970.494.596
2819144,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,1,,,,,,,,,1,11,54,54,435.589.970.494.596
2819144,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,54,54,435.589.970.494.596
2819146,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,36,,28,,,,,,,1,11,54,54,32.275.326.216.543
2819146,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,24,,28,,,,,,,1,11,54,54,32.275.326.216.543
2819149,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,54,54,410.765.158.502.802
2819150,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,1,,1,,,,,,,1,11,54,54,3.598.449.528.925
2819150,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,28,,28,,,,,,,1,11,54,54,3.598.449.528.925
2819150,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,7,,,,,,,1,11,54,54,3.598.449.528.925
2819151,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,54,54,33.474.020.030.826
2819151,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,42,,,,,,,,,1,11,54,54,33.474.020.030.826
2819151,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,54,54,33.474.020.030.826
