Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3018396;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;08;73;3368,01600822118
3018397;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;08;73;2664,05379942076
3018408;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;08;73;1173,41569360568
3018408;1;4;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;08;73;1173,41569360568
3018413;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;73;2407,57193968396
3018413;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;2407,57193968396
3018414;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;2512,19470172158
3018417;1;3;1;80;2;1;1;8; ;2; ;1;30000; ; ; ;9;2;1;08;73;2155,93008440562
3018418;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;08;73;3368,01600822118
3018418;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;73;3368,01600822118
3018419;1;2;1;80;2;1;1;4; ;2; ;1;240000; ; ; ;4;2;1;08;73;827,692932598122
3018419;1;3;1;80;2;1;3;8; ;2; ;2; ; ; ; ;9;2;1;08;73;827,692932598122
3018420;1;1;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;73;2526,71915041094
3018420;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;08;73;2526,71915041094
3018422;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;08;73;2308,49913263334
3018427;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;73;2093,2647533151
3021688;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ;CUIDADO DE SUS HIJOS MENORES;12;2;1;08;19;2118,4151475337
3021688;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2118,4151475337
3021689;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1435,13103304283
3021689;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1435,13103304283
3021691;1;2;1;80;2;1;4;8; ;2; ;1;15000; ; ; ;8;2;1;08;19;1121,44473543882
3021700;1;1;1;80;2;1;4;8; ;3; ;2; ; ; ; ;8;2;1;08;19;1843,61379981036
3021701;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;4;2;1;08;19;1121,44473543882
3021702;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;1;2;1;08;19;1966,66095041505
3021702;1;3;1;80;2;1;2;8; ;2; ;2; ; ; ; ;9;2;1;08;19;1966,66095041505
3021705;1;3;1;80;2;1;2;8; ;2; ;1;15000; ; ; ;8;2;1;08;19;1564,32802069771
3021706;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;19;1029,69848477404
3021710;1;2;1;80;2;1;3;8; ;2; ;2; ; ; ; ;4;2;1;08;19;1526,87728370762
3021710;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1526,87728370762
3021711;1;2;1;80;2;2; ; ; ;2; ;1;25000;2; ;.; ; ;1;08;19;812,017982488695
3021711;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;812,017982488695
3021713;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1404,22043699544
3021714;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1715,18614879832
3021717;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1355,5251696397
3021717;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1355,5251696397
3021717;1;7;1;80;2;1;2;8; ;2; ;2; ; ; ; ;9;2;1;08;19;1355,5251696397
3021723;1;1;1;80;2;1;4;8; ;2; ;2; ; ; ; ;8;2;1;08;19;1686,99613855206
3021724;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;8;2;1;08;19;1121,44473543882
3021725;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;1;2;1;08;19;1806,93239946311
3021725;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1806,93239946311
3021728;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2540,08754061836
3021728;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2540,08754061836
3021729;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2603,99472238563
3021729;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2603,99472238563
3021743;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1244,101582151
3021744;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1518,7442673015
3021744;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1518,7442673015
3021745;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;19;1995,97867099901
3021745;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1995,97867099901
3021746;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1275,4024820909
3021746;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1275,4024820909
3021748;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1792,0388719368
3021748;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1792,0388719368
3021750;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;833,256603277217
3021750;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;19;833,256603277217
3021755;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1121,44473543882
3021756;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1692,01826526454
3021757;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1889,19755320657
3021759;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1883,78512260159
3021759;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1883,78512260159
3021759;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1883,78512260159
3021759;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1883,78512260159
3021760;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1509,65347427268
3021762;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1975,53137326637
3021762;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1975,53137326637
3021762;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1975,53137326637
3021770;1;2;1;80;2;1;4;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;08;19;1872,03503923244
3021771;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1404,22043699544
3021772;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1526,87728370762
3021772;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1526,87728370762
3021773;1;2;1;80;2;2; ; ; ;2; ;2; ;1;4; ;9; ;1;08;19;1526,87728370762
3021773;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1526,87728370762
3021773;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1526,87728370762
3021775;1;3;1;80;2;1;1;9;POR EMBARAZO;2; ;2; ; ; ;POR EMBARAZO;12;2;1;08;19;1858,52915867124
3021775;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1858,52915867124
3021776;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2603,99472238563
3021776;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2603,99472238563
3021776;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2603,99472238563
3021781;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2004,54846741026
3021782;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;19;2490,21651395397
3021785;1;1;1;80;2;2; ; ; ;2; ;1;30000;2; ;.; ; ;1;08;19;1508,52576393497
3021785;1;2;1;80;2;2; ; ; ;2; ;1;30000;2; ;.; ; ;1;08;19;1508,52576393497
3021785;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1508,52576393497
3021785;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1508,52576393497
3021793;1;1;1;80;2;1;4;3; ;3; ;2; ; ; ; ;9;2;1;08;19;2504,18141799871
3021793;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2504,18141799871
3021793;2;2;2;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2504,18141799871
3021793;2;3;2;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2504,18141799871
3021793;2;4;2;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2504,18141799871
3021795;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1866,94034591698
3021795;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1866,94034591698
3021796;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1238,6426754334
3021797;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1533,02712075781
3021798;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1029,69848477404
3021799;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1853,25355930452
3021800;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;1;2;1;08;19;3165,68538573377
3021800;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;3165,68538573377
3021800;1;8;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;3165,68538573377
3021801;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;19;1435,13103304283
3021801;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1435,13103304283
3021801;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1435,13103304283
3021802;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2195,57791830209
3021803;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1715,18614879832
3021803;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1715,18614879832
3021804;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1713,63974944752
3021804;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1713,63974944752
3021806;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1898,67865012789
3021807;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1498,25049345624
3021807;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1498,25049345624
3021808;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2734,03473543247
3021808;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2734,03473543247
3021808;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2734,03473543247
3021810;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1669,76105797495
3021810;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1669,76105797495
3021810;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1669,76105797495
