DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2574472;1;4;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;12;15;15;79,1786448192879
2574473;1;2;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;12;15;15;75,9761324959496
2574524;1;3;1;70;1;40;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;2; ;12;23;23;152,935883600016
2574525;1;1;1;70;1;32;60;4; ;2;104;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;51;1;2;5111;12;23;23;163,966393798569
2574529;1;1;1;70;1;52;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;12;23;23;130,994138559354
2574532;1;3;1;70;1;3;48;3; ;2;104;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;12;23;23;125,359936635325
2574535;1;3;1;70;1;4;45;1; ;2;12;1; ;9;4; ; ; ; ;1; ; ; ; ; ; ;2; ;2;02;02;45;1;1;4530;12;23;23;137,190592801349
2574536;1;4;1;70;1;4;44;1; ;2;14;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;80;1;1;8043;12;23;23;140,170219610817
2574537;1;4;1;70;1;4;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;11; ; ;1;1; ;12;23;23;176,608775345857
2574547;1;2;1;70;1;21;48;1; ;2;1;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;01;1;2;0121;12;23;23;114,774453800379
