Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
2925195;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;771,386843715098
2925198;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;913,516210701888
2925199;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;05;975,507821480571
2925199;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;975,507821480571
2925202;1;2;1;80;05;1;1;4; ;1;4;2; ; ; ; ;4;2;1;04;05;689,93796093827
2925202;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;689,93796093827
2925202;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;689,93796093827
2925203;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;1005,22060832282
2925204;1;1;1;80;05;1;2;4; ;2; ;2; ; ;1;POR QUE EL TRABAJO QUE LE OFREEN ES CON ESFUERZO FISICO Y POR SALUD;12;1;1;04;05;894,02551605339
2925204;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;894,02551605339
2925204;1;7;1;80;05;1;2;3; ;2; ;2; ; ; ; ;9;2;1;04;05;894,02551605339
2925204;1;9;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;894,02551605339
2925204;1;10;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;05;894,02551605339
2925206;1;2;1;80;50;1;4;4; ;2; ;2; ; ; ; ;8;2;1;04;50;152,616004036368
2925206;1;5;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;50;152,616004036368
2925207;1;2;1;80;50;1;2;9;CAMBIO DE CIUDAD;2; ;2; ; ; ; ;9;2;1;04;50;167,289765828653
2925225;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;50;187,917882333195
2925227;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;165,541054057894
2925227;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;165,541054057894
2925228;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;129,752449475076
2925228;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;129,752449475076
2925230;1;2;1;80;17;1;4;8; ;2; ;2; ; ; ; ;9;2;1;04;17;150,385746097007
2925230;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;150,385746097007
2925231;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;169,038847698483
2925231;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;169,038847698483
2925232;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;162,342033219054
2925234;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;145,895489070386
2925234;1;2;1;80;17;1;2;6; ;2; ;2; ; ; ; ;11;2;1;04;17;145,895489070386
2925236;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;137,036722893819
2925236;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;137,036722893819
2925239;1;1;1;80;17;1;2;5; ;3; ;2; ; ; ; ;8;2;1;04;17;152,091688100239
2925240;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;150,385746097007
2925241;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;187,29891186912
2925241;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;187,29891186912
2925242;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;154,862934686719
2925245;1;2;1;80;17;1;2;7; ;2; ;2; ; ; ; ;9;2;1;04;17;150,385746097007
2925245;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;150,385746097007
2925246;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;159,244512273573
2925247;1;4;1;80;17;1;3;4; ;2; ;2; ; ; ; ;4;2;1;04;17;201,012982014341
2925250;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;17;185,592969865889
2925250;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;185,592969865889
2925250;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;185,592969865889
2925251;1;2;1;80;17;1;1;2; ;2; ;2; ; ; ; ;2;2;1;04;17;150,385746097007
2925251;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;150,385746097007
2925252;1;1;1;80;17;1;4;8; ;2; ;2; ; ; ; ;8;2;1;04;17;151,099224714207
2925253;1;2;1;80;17;1;3;3; ;2; ;2; ; ; ; ;9;2;1;04;17;196,535793424629
2925253;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;196,535793424629
2925254;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;9;2;1;04;17;137,036722893819
2925254;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;137,036722893819
