DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4314843;1;2;1;70;2;16;40;3; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;04;17;1040,3318376223
4314890;1;3;1;70;2;8;45;8; ;2;8;8; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;04;17;309,473643327339
4314896;1;3;1;70;2;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;52;1;1;5211;04;17;808,866832911782
4315127;1;2;1;70;2;8;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;80;1;1;8012;04;18;240,432515110157
4315163;1;2;1;70;2;5;50;3; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;04;18;190,900881491762
4315180;1;2;1;70;2;2;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;04;18;320,559528337973
4315198;1;3;1;70;2;4;45;8; ;2;8;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0121;04;18;387,858805667422
4315198;1;4;1;70;2;2;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;04;18;387,858805667422
4315203;1;2;1;70;2;32;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;04;18;349,971152061298
4315207;1;2;1;70;2;12;42;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;04;18;339,717228026842
4315214;1;3;1;70;2;144;42;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;04;18;320,559528337973
4315331;1;1;1;70;2;12;48;3; ;2;50;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;04;19;1927,17918088846
4315331;1;2;1;70;2;150;48;1; ;2;50;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;52;1;2;5211;04;19;1927,17918088846
4315331;1;3;1;70;2;32;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;04;19;1927,17918088846
4315335;1;2;1;70;2;16;48;1; ;2;100;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;95;1;2;9500;04;19;2526,3583147477
4315349;1;1;1;70;2;20;40;1; ;2;20;1; ;2;2;4; ; ;1; ; ; ; ; ; ; ; ;2; ;53;53;55;1;2;5529;04;19;2913,16352138174
4319253;1;2;1;70;2;24;20;4; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;53;45;52;1;2;5261;04;20;1667,41581122851
