DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;FT;DPTO;fex_c_2011
803457;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;830.113.033.738.488
803457;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;830.113.033.738.488
803457;1;6;1;90;;2;;1;2;1;2;2;2;2;2;2;;;6;;20;;;;;;;5;1;5;830.113.033.738.488
803459;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;5;1;5;237.603.476.382.316
803460;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;96.360.354.782.309
803460;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;96.360.354.782.309
803460;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;96.360.354.782.309
803460;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;96.360.354.782.309
803462;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;728.277.479.206.087
803462;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;728.277.479.206.087
803462;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;728.277.479.206.087
803463;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;745.431.986.813.168
803463;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;5;1;5;745.431.986.813.168
803463;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;745.431.986.813.168
803463;1;4;1;90;;2;;1;1;1;2;2;2;2;2;2;;;20;5;10;;;;;;;5;1;5;745.431.986.813.168
803464;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;157.451.602.332.593
803465;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;5;1;5;169.055.479.685.004
803465;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;169.055.479.685.004
803466;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;134.051.618.488.806
803466;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;5;1;5;134.051.618.488.806
