DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1140128;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;4;2;1;73;210,09642215681
1140129;1;1;1;80;73;1;4;7; ;3; ;2; ; ; ; ;9;2;1;73;210,09642215681
1140132;1;1;1;80;73;1;1;4; ;2; ;2; ; ;1; ;4;1;1;73;245,521111793591
1140133;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;8;2;1;73;295,660198445586
1140133;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;73;295,660198445586
1140134;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;295,660198445586
1140135;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;236,610433939935
1140135;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;236,610433939935
1140137;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;260,977866059563
1140138;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;124,586976140792
1140138;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;124,586976140792
1140138;1;7;1;80;73;1;4;3; ;3; ;2; ; ; ; ;8;2;1;73;124,586976140792
1140139;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;73;274,966747218961
1140139;1;3;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;73;274,966747218961
1140141;1;1;1;80;73;1;3;4; ;2; ;2; ; ; ; ;4;2;1;73;219,569823201302
1140142;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;73;270,872016715007
1140142;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;73;270,872016715007
1140143;2;2;2;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;304,752031127341
1140145;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;169,430736549307
1140148;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;206,778972846546
1140149;1;1;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;224,385770551004
1140167;1;1;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;784,298775597272
1140167;1;8;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;784,298775597272
1140169;1;1;1;80;05;1;3;4; ;2; ;2; ; ; ; ;4;2;1;05;975,191158355627
1140170;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1002,96328690456
1140171;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;992,037192675228
1140171;1;2;1;80;05;1;9;7; ;2; ;2; ; ; ; ;8;2;1;05;992,037192675228
1140172;1;2;1;80;05;1;4;8; ;2; ;1;20000; ; ; ;8;2;1;05;657,104669558801
1140172;2;1;2;80;05;1;1;6; ;2; ;2; ; ; ; ;9;2;1;05;657,104669558801
1140172;2;2;2;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;657,104669558801
1140174;1;2;1;80;05;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;1226,73199461224
1140174;1;4;1;80;05;1;4;3; ;3; ;2; ; ; ; ;9;2;1;05;1226,73199461224
1140174;1;5;1;80;05;1;3;8; ;2; ;2; ; ; ; ;11;2;1;05;1226,73199461224
1140175;1;1;1;80;05;1;1;1; ;2; ;2; ; ; ; ;6;2;1;05;1100,2569072875
1140175;1;2;1;80;05;1;4;7; ;2; ;2; ; ; ; ;9;2;1;05;1100,2569072875
1140175;1;4;1;80;05;1;1;7; ;2; ;2; ; ; ; ;2;2;1;05;1100,2569072875
1140179;1;1;1;80;05;1;3;5; ;3; ;2; ; ; ; ;10;2;1;05;797,091948477223
1140180;1;2;1;80;05;1;4;8; ;2; ;2; ; ; ; ;9;2;1;05;1029,21104776776
1140180;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1029,21104776776
1140184;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;873,307782050666
