DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2531483;1;6;2;1;1;1;1;1;3;4; ; ; ;1300000; ;1;1;1;2;2;1;2;2;2;1;2;2;1;2;1;2;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;3;1;01;76;10;76;1;843,905745690446
2531484;1;4;3;1;1;1;1;1;1;2; ;300000;160000000;800000; ;1;2;1;1;1;1;1;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;882,233037378266
2531485;1;5;2;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;3;1;01;76;10;76;1;1004,11040782549
2531486;1;5;1;1;1;1;10;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;972,352082256846
2531487;1;4;2;1;1;1;1;1;3;4; ; ; ;1000000; ;1;1;1;1;2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;6;3;1;01;76;10;76;1;1021,59680714735
2531488;1;4;3;1;1;1;1;1;3;2; ;500000;70000000;500000; ;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;76;10;76;1;953,647002437925
2531489;1;4;2;1;1;1;1;1;3;2; ;530000;60000000;500000; ;1;1;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;1;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;1;01;76;10;76;1;998,761045840709
2531490;1;4;3;1;1;1;1;1;3;2; ;490000;75000000;480000; ;1;2;1;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;76;10;76;1;964,005108810417
2531491;1;3;1;1;1;1;1;1;3;3; ; ; ; ;550000;2;2;1;1;1;1;2;2;1;1;2;2;2;2;1;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;1;01;76;10;76;1;873,652938333023
2531492;1;5;1;1;1;1;1;1;4;1; ; ;350000000;1000000; ;1;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;1;2; ;2;2; ;1;1;1;1;4;1;2;1;1;1;5;3;1;01;52;10;52;1;129,329439821266
2531493;1;4;2;1;1;1;1;1;4;1; ; ;98;300000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;118,8138960899
2531494;1;7;1;1;1;1;1;1;4;1; ; ;200000000;500000; ;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;1;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;135,081202428527
2531495;1;4;1;1;1;1;1;1;4;3; ; ; ; ;750000;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2; ;2;1;2;1;6;1;2;1;1;1;5;3;1;01;52;10;52;1;142,02666964956
2531495;2;2;2;1;1;1;1;1;4;3; ; ; ; ;250000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ;1;01;52;10;52;1;142,02666964956
2531497;1;7;2;1;1;1;1;1;4;1; ; ;98;500000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;3;1;2;1;1;1;3;3;1;01;52;10;52;1;128,287146138668
2531498;1;1;1;1;2;1;1;6; ;3; ; ; ; ;140000;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;135,081202428527
2531500;1;5;2;1;1;1;1;1;4;1; ; ;200000000;500000; ;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;2;2; ;4;1;1;1;3;1;2;1;1;1;3;3;1;01;52;10;52;1;122,0371474821
2531501;1;1;1;1;2;1;1;6; ;3; ; ; ; ;130000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;138,358766020168
2531502;1;5;3;1;1;1;1;1;4;1; ; ;200000000;1000000; ;1;1;1;2;2;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;2;1;1;4;1;2;1;4;1;2;1;1;1;5;3;1;01;52;10;52;1;149,339734942269
2531503;1;5;1;1;1;1;1;1;4;1; ; ;99;1500000; ;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;5;3;1;01;52;10;52;1;128,287146138668
2531505;1;2;1;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;3;1;2;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;143,512887182023
2531506;1;4;2;1;1;1;1;1;4;3; ; ; ; ;200000;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;154,278466097377
2531507;1;2;1;1;1;1;1;1;4;1; ; ;28000000;150000; ;2;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;133,594984896063
2531508;1;5;3;1;1;1;1;1;4;1; ; ;40000000;200000; ;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;7;1;1;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;134,066827706212
2531509;1;4;3;1;1;1;1;1;4;2; ;600000;90000000;400000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;7;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;558,792868731823
2531511;1;6;4;1;1;1;1;1;4;1; ; ;99;450000; ;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;5;2;2; ;5;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;665,524221989045
2531513;1;5;1;1;1;1;1;1;4;3; ; ; ; ;350000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;513,148584554673
2531514;1;3;2;1;2;1;1;1;4;1; ; ;30000000;150000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;112,490381897971
2531514;2;3;2;1;2;1;1;1;4;3; ; ; ; ;150000;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2; ;4;2; ; ; ; ; ; ; ; ; ; ;1;01;52;10;52;1;112,490381897971
2531515;1;3;2;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;4;1;2;1;1;1;2;3;1;01;52;10;52;1;150,432611419986
2531517;1;4;3;1;1;1;1;1;4;2; ;514000;98;450000; ;1;2;1;2;2;1;2;2;2;1;2;1;2;2;1;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;2;1;1;1;3;3;1;01;52;10;52;1;482,203719798545
