DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2562304;1;2;2;2;1;4;2;1;5;4; ; ; ;98; ;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;4;1;1;4;2;1;1;2;2;2;1; ; ;01;2;11;63;1;657,445349439673
2562305;1;5;2;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;4;1;1;1;4;1;2;2;2;1;2; ;1;01;2;11;63;1;926,836581472533
2562307;1;4;1;2;1;5;1;1;5;4; ; ; ;98; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;2; ;1;01;2;11;63;1;1602,83955882814
2562308;1;3;2;2;1;4;1;1;4;4; ; ; ;200000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;3; ;1;01;2;11;63;1;1258,75662024825
2562913;1;4;3;2;1;5;1;1;4;4; ; ; ;100000; ;2;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;5;1;1;3;2;1;2;2;2;1;2; ;1;01;2;11;68;1;5091,5990383523
2562914;1;4;1;2;1;5;1;1;4;1; ; ;100000000;200000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2; ;2;1;1;3;4;1;2;2;2;1;2; ;1;01;2;11;68;1;2565,13361673024
2562915;1;3;1;2;1;4;1;1;4;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;3;4;1;2;2;2;1;2; ;1;01;2;11;68;1;2341,61964301485
2562916;1;3;2;2;1;4;1;1;5;3; ; ; ; ;15000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;5;1;1;3;4;1;2;2;2;1;2; ;1;01;2;11;68;1;5091,5990383523
2562917;1;14;2;2;1;4;1;1;5;1; ; ;180000000;400000; ;2;2;1;1;1;2;2;2;2;1;2;1;1;2;2;2;1;1;1;2;2;1;3;2;2; ;3;1;1;3;4;1;2;2;2;1;2; ;1;01;2;11;68;1;1819,39198419217
2562918;1;3;2;2;1;3;4;1;5;1; ; ;80000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;2805,74607578372
