DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2797729,1,2,1,80,5,1,1,6,,2,,2,,,,,6,2,1,10,5,978.999.077.924.688
2797729,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,978.999.077.924.688
2797730,1,1,1,80,5,1,1,4,,2,,2,,,,,4,2,1,10,5,141.046.703.671.602
2797730,1,3,1,80,5,1,4,9,REMPLAZO,2,,2,,,1,,4,1,1,10,5,141.046.703.671.602
2797731,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,123.050.494.408.699
2797734,1,1,1,80,5,1,4,7,,2,,2,,,,,8,2,1,10,5,113.038.120.430.486
2797734,1,2,1,80,5,1,4,3,,2,,2,,,,,9,2,1,10,5,113.038.120.430.486
2797735,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,126.397.068.634.984
2797736,1,1,1,80,5,1,3,5,,3,,2,,,,,10,2,1,10,5,965.619.994.541.346
2797738,1,3,1,80,5,1,2,2,,2,,2,,,,,2,2,1,10,5,940.022.749.742.988
2797738,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,940.022.749.742.988
2797738,1,5,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,940.022.749.742.988
2797738,1,6,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,940.022.749.742.988
2797740,1,1,1,80,5,1,4,5,,3,,2,,,,,10,2,1,10,5,945.294.541.681.577
2797740,1,2,1,80,5,1,4,5,,3,,2,,,,,10,2,1,10,5,945.294.541.681.577
2797741,1,2,1,80,5,1,2,3,,2,,2,,,,,9,2,1,10,5,126.433.296.146.035
2797745,1,1,1,80,5,1,1,5,,3,,2,,,,,10,2,1,10,5,857.738.804.794.236
2797745,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,857.738.804.794.236
2797745,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,857.738.804.794.236
2797779,1,1,1,80,54,1,4,4,,2,,2,,,,,4,2,1,10,54,428.802.459.372.363
2797779,1,2,1,80,54,1,4,3,,2,,2,,,,,9,2,1,10,54,428.802.459.372.363
2797779,1,3,1,80,54,2,,,,2,,2,,2,,.,,,1,10,54,428.802.459.372.363
2797781,1,2,1,80,54,1,1,8,,2,,2,,,,,9,2,1,10,54,387.531.428.293.189
2797782,1,1,1,80,54,2,,,,2,,2,,2,,.,,,1,10,54,253.612.873.772.967
2797783,1,2,1,80,54,1,1,4,,2,,2,,,,,4,2,1,10,54,37.473.863.193.111
2797785,1,2,1,80,54,2,,,,2,,2,,2,,.,,,1,10,54,305.064.086.712.328
2797787,1,1,1,80,54,1,3,4,,2,,2,,,,,4,2,1,10,54,147.046.846.243.943
2797787,1,2,1,80,54,1,4,4,,2,,2,,,,,4,2,1,10,54,147.046.846.243.943
2797789,1,3,1,80,54,2,,,,2,,2,,2,,.,,,1,10,54,34.432.238.139.913
2797792,1,3,1,80,54,2,,,,2,,2,,2,,.,,,1,10,54,28.516.710.150.875
2797792,1,4,1,80,54,1,4,6,,2,,2,,,,,4,2,1,10,54,28.516.710.150.875
2797796,1,1,1,80,54,1,4,1,,1,4,2,,,1,,9,1,1,10,54,307.216.906.352.611
2797856,1,2,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,88.116.270.190.167
2797857,1,2,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,106.246.478.964.007
