DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2797326,1,4,3,1,1,1,1,1,3,3,,,,,230000,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,3,2,2,,4,1,2,1,2,1,1,1,1,1,2,2,1,1,1,10,66,1,66,302.933.615.982.933
2797327,1,2,2,3,1,3,1,2,4,5,,,,60000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,3,1,1,7,1,1,2,2,2,1,1,,1,1,1,10,66,1,66,320.364.397.967.751
2797328,1,1,1,1,1,1,1,1,4,3,,,,,150000,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,2,1,1,1,3,2,1,1,1,10,66,1,66,242.729.302.126.796
2797329,1,5,3,1,1,1,1,1,3,3,,,,,350000,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,3,2,2,,6,1,1,1,2,1,1,1,1,1,3,2,1,1,1,10,66,1,66,388.152.666.116.176
2797330,1,7,3,1,1,1,1,1,3,3,,,,,330000,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,3,2,2,,5,1,2,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,318.414.957.286.543
2797331,1,3,2,2,1,3,1,1,4,3,,,,,80000,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,1,7,3,1,2,2,2,1,1,,1,1,1,10,66,1,66,329.737.424.923.939
2797333,1,3,1,1,1,1,1,1,3,2,,125000,50000000,280000,,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,2,1,1,1,1,10,66,1,66,248.635.461.884.919
2797334,1,1,1,4,1,3,1,2,4,5,,,,150000,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,,2,2,,2,1,1,7,1,1,2,2,2,1,1,,1,1,1,10,66,1,66,248.635.461.884.919
2797335,1,1,1,1,1,1,1,6,,3,,,,,170000,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,2,2,1,1,1,10,66,1,66,288.341.641.409.568
2797336,1,6,3,1,1,1,1,1,3,1,,,70000000,400000,,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,3,2,2,,4,1,1,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,267.172.346.079.642
