DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;P6030S1;P6030S3;DPTO;fex_c_2011
1017577;1;2;1;10;2;2;1;26;2;3;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;3;1982;15;619,129584156311
1017577;1;3;1;10;2;1;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;9;2000;15;619,129584156311
1017577;1;4;1;10;2;1;1;0;3; ;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;12;2008;15;619,129584156311
1017578;1;1;1;10;1;1;1;53;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;6;1955;15;540,032157033753
1017578;1;2;1;10;2;2;1;50;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1958;15;540,032157033753
1017579;1;1;1;10;1;1;1;85;1;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;8;1923;15;335,798368481324
1017579;1;2;1;10;2;2;1;67;2;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;9;1941;15;335,798368481324
1017579;1;3;1;10;3;1;1;29;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1979;15;335,798368481324
1017579;1;4;1;10;4;1;1;27;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1981;15;335,798368481324
1017580;1;1;1;10;1;1;1;53;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;5;1955;15;631,42301323407
1017580;1;2;1;10;2;2;1;51;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;1957;15;631,42301323407
1017580;1;3;1;10;3;2;1;15;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;6;1993;15;631,42301323407
1017580;1;4;1;10;2;1;1;4;4; ;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;1;2005;15;631,42301323407
1017581;1;1;1;10;1;1;1;27;1;3;1; ; ;1;1;34000;2;1;2; ;3;5; ;2;5;10;1981;15;816,406760220153
1017581;1;2;1;10;2;2;1;23;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;12;1985;15;816,406760220153
1017581;1;3;1;10;2;2;1;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;1;2006;15;816,406760220153
1017584;1;1;1;10;1;1;1;67;1;3;2;1;15; ; ; ;1;1;2; ;3;2; ;2;2;3;1941;15;536,616364064898
1017584;1;2;1;10;2;2;1;54;2;3;2;1;15; ; ; ;1;1;2; ;3;5; ;2;5;4;1954;15;536,616364064898
1017584;1;3;1;10;3;1;1;32;3;6;2;2; ; ; ; ;1;1;2; ;3;5; ;2;5;3;1976;15;536,616364064898
1017584;1;4;1;10;4;1;1;27;3;6;2;2; ; ; ; ;2;1;2; ;3;5; ;2;5;1;1981;15;536,616364064898
1017584;1;5;1;10;2;2;1;9;4; ;2;1;24; ; ; ;2;1;1;1;3;3; ;2;3;1;2000;15;536,616364064898
1017585;1;1;1;10;1;1;1;44;1;3;2;1;72; ; ; ;2;1;2; ;3;4; ;2;4;11;1964;15;926,881922297827
1017585;1;2;1;10;2;2;1;39;2;3;2;1;72; ; ; ;2;1;2; ;3;5; ;2;5;2;1969;15;926,881922297827
1017585;1;3;1;10;3;1;1;15;3;6;2;1;72; ; ; ;2;1;1;1;4;9; ;2;9;9;1993;15;926,881922297827
1017585;1;4;1;10;4;1;1;15;3;6;2;1;72; ; ; ;2;1;1;1;4;7; ;2;7;1;1994;15;926,881922297827
1017585;1;5;1;10;2;2;1;8;3; ;2;1;72; ; ; ;1;1;1;1;3;2; ;2;2;5;2000;15;926,881922297827
1017586;1;1;1;10;1;1;1;48;1;3;1; ; ;1;3;57700;1;1;2; ;3;5; ;2;5;8;1960;15;786,605221346713
1017586;1;2;1;10;2;2;1;39;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ;2;4;1;1970;15;786,605221346713
1017586;1;3;1;10;3;2;1;21;3;6;1; ; ;1;5; ;2;1;1;1;6;1;2;2;12;7;1987;15;786,605221346713
1017586;1;4;1;10;4;2;1;18;3;6;1; ; ;1;5; ;2;1;1;1;6;1;2;2;12;7;1990;15;786,605221346713
1017586;1;5;1;10;2;2;1;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;2;3;1;1999;15;786,605221346713
1017587;1;1;1;10;1;1;1;55;1;3;1; ; ;3; ; ;1;1;2; ;3;1; ;2;1;11;1953;15;667,39201761648
1017587;1;2;1;10;2;2;1;51;2;3;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;10;1957;15;667,39201761648
1017587;1;3;1;10;3;2;1;21;3;6;1; ; ;1;1;99;1;1;1;1;6;1;2;2;12;5;1987;15;667,39201761648
1017587;1;4;1;10;4;1;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;3;1996;15;667,39201761648
1017588;1;1;1;10;1;1;1;30;1;2;1; ; ;1;1;98;1;1;2; ;4;9; ;2;9;1;1979;15;579,580870595032
1017588;1;2;1;10;2;2;1;27;2;2;1; ; ;1;5; ;1;1;2; ;5;11;2;2;11;5;1981;15;579,580870595032
1017588;1;3;1;10;2;1;1;0;3; ;1; ; ;1;5; ;1; ; ; ; ; ; ;2; ;7;2008;15;579,580870595032
1017589;1;1;1;10;1;1;1;24;1;2;2;2; ; ; ; ;2;1;2; ;3;5; ;2;5;12;1984;15;845,419372716281
1017589;1;2;1;10;2;2;1;20;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;1;1989;15;845,419372716281
1017590;1;1;1;10;1;1;1;36;1;3;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;4;1972;15;825,809715103522
1017590;1;2;1;10;2;2;1;39;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;5;1969;15;825,809715103522
1017590;1;3;1;10;2;2;1;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;7;2002;15;825,809715103522
1017590;1;4;1;10;2;2;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;1;2006;15;825,809715103522
1017591;1;1;1;10;1;2;1;77;1;5;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;1;1932;15;470,036682751989
1017592;1;1;1;10;1;1;1;41;1;3;1; ; ;3; ; ;1;1;2; ;3;4; ;2;4;9;1967;15;1069,77070133271
1017592;1;2;1;10;2;2;1;38;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;2;1970;15;1069,77070133271
1017592;1;3;1;10;3;1;1;17;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;6;1991;15;1069,77070133271
1017592;1;4;1;10;4;1;1;15;3;6;1; ; ;3; ; ;1;1;1;1;4;7; ;2;7;10;1993;15;1069,77070133271
1017592;1;5;1;10;2;2;1;9;3; ;1; ; ;3; ; ;1;1;1;1;3;4; ;2;4;8;1999;15;1069,77070133271
1017592;1;6;1;10;2;2;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;2005;15;1069,77070133271
1017593;1;1;1;10;1;1;1;27;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;4;1981;15;673,517981185269
1017593;1;2;1;10;2;2;1;19;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;1;1990;15;673,517981185269
1017594;1;1;1;10;1;1;1;44;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;10;1964;15;662,012650148348
1017594;1;2;1;10;2;2;1;41;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;1;1968;15;662,012650148348
1017594;1;3;1;10;2;1;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;4;1996;15;662,012650148348
1017595;1;1;1;10;1;1;1;72;1;3;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;1;1937;15;373,653009164666
1017595;1;2;1;10;2;2;1;62;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;7;1946;15;373,653009164666
1017596;1;1;1;10;1;1;1;44;1;2;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;10;1964;15;765,696935426423
1017596;1;2;1;10;2;2;1;47;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;1961;15;765,696935426423
1017596;1;3;1;10;3;2;1;23;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;1985;15;765,696935426423
1017596;1;4;1;10;4;2;1;20;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;11;1988;15;765,696935426423
1017596;1;5;1;10;5;1;1;18;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;1;1991;15;765,696935426423
1017597;1;1;1;10;1;1;1;63;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;3;1945;15;424,525921831934
1017597;1;2;1;10;2;2;1;57;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;7;1951;15;424,525921831934
1017597;1;3;1;10;3;2;1;30;3;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1978;15;424,525921831934
1017597;1;4;1;10;4;1;1;42;5;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;1966;15;424,525921831934
1017597;1;5;1;10;3;1;1;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;2007;15;424,525921831934
1017597;1;6;1;10;2;2;1;9;4; ;1; ; ;3; ; ;1;1;1;1;3;3; ;2;3;10;1999;15;424,525921831934
1017598;1;1;1;10;1;1;1;45;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;4;1963;15;682,920936068638
1017598;1;2;1;10;2;2;1;37;2;2;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;5;1971;15;682,920936068638
1017598;1;3;1;10;2;2;1;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;4;2007;15;682,920936068638
1017599;1;1;1;10;1;2;1;53;1;4;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;10;1955;15;1080,48710599232
1017599;1;2;1;10;2;2;1;18;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;7;1990;15;1080,48710599232
1017599;1;3;1;10;3;2;1;15;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;1;1994;15;1080,48710599232
1017599;1;4;1;10;4;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;4;1995;15;1080,48710599232
1017599;1;5;1;10;1;1;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;1;1997;15;1080,48710599232
1017599;1;6;1;10;1;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;10;1999;15;1080,48710599232
1017600;1;1;1;10;1;2;1;69;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;5;1939;15;744,653129589306
1017600;1;2;1;10;2;2;1;35;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;1;1974;15;744,653129589306
1017600;1;3;1;10;3;1;1;16;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;7;1992;15;744,653129589306
1017600;1;4;1;10;4;2;1;10;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;2;1998;15;744,653129589306
1017600;1;5;1;10;2;1;1;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;8;2000;15;744,653129589306
1017600;1;6;1;10;2;2;1;6;4; ;1; ; ;3; ; ;2;2;1;1;2;1; ;2;0;7;2002;15;744,653129589306
1017601;1;1;1;10;1;1;1;76;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;10;1932;15;373,653009164666
1017601;1;2;1;10;2;2;1;70;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;3;1938;15;373,653009164666
1017602;1;1;1;10;1;2;1;64;1;5;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;9;1944;15;338,472102823093
1017602;1;2;1;10;2;1;1;41;3;6;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;4;1967;15;338,472102823093
1017602;1;3;1;10;3;2;1;40;3;6;1; ; ;1;3;57700;2;1;2; ;6;2;3;2;13;1;1969;15;338,472102823093
1017603;1;1;1;10;1;1;1;40;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;8;1968;15;844,450142744511
1017603;1;2;1;10;2;2;1;40;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;7;1968;15;844,450142744511
1017603;1;3;1;10;2;1;1;15;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;2;1993;15;844,450142744511
1017603;1;4;1;10;2;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;8;1999;15;844,450142744511
1017603;1;5;1;10;2;1;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;9;2000;15;844,450142744511
1017604;1;1;1;10;1;2;1;64;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;9;1944;15;589,815953956084
1017604;1;2;1;10;2;1;2;38;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5; ; ;15;589,815953956084
1017604;1;3;1;10;3;2;1;35;3;6;1; ; ;1;1;98;2;1;2; ;3;5; ;2;5;12;1973;15;589,815953956084
1017604;1;4;1;10;3;1;1;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;3;2005;15;589,815953956084
1017604;1;5;1;10;5;2;1;9;4; ;1; ; ;1;5; ;2;1;1;1;3;3; ;2;3;12;1999;15;589,815953956084
1017604;1;6;1;10;6;1;2;28;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5; ; ;15;589,815953956084
1017604;1;7;1;10;7;1;2;28;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5; ; ;15;589,815953956084
1017605;1;1;1;10;1;1;1;23;1;6;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;9;1985;15;1282,47886378188
1017605;1;2;1;10;2;1;1;12;5;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;2;1996;15;1282,47886378188
1017606;1;1;1;10;1;1;1;68;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1940;15;805,736850078992
1017607;1;1;1;10;1;1;1;79;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;7;1929;15;805,736850078992
1017608;1;1;1;10;1;1;1;45;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;9;1963;15;1100,34188522319
1017608;1;2;1;10;2;2;1;55;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;4;1953;15;1100,34188522319
1017608;1;3;1;10;3;1;1;17;3;6;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;12;1991;15;1100,34188522319
1017608;1;4;1;10;4;1;1;15;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;4;1993;15;1100,34188522319
1017608;1;5;1;10;5;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;3;1995;15;1100,34188522319
1017608;1;6;1;10;6;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;3;1998;15;1100,34188522319
1017609;1;1;1;10;1;1;1;43;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;5;1965;15;709,178210738424
1017609;1;2;1;10;2;2;1;39;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;1969;15;709,178210738424
1017610;1;1;1;10;1;1;1;37;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;8;1971;15;709,178210738424
1017610;1;2;1;10;2;2;1;30;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;3;1978;15;709,178210738424
1017611;1;1;1;10;1;1;2;30;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;1970;15;1125,08832189522
1017611;1;2;1;10;2;2;1;29;3;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1979;15;1125,08832189522
1017611;1;3;1;10;3;2;1;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;9;1997;15;1125,08832189522
1017611;1;4;1;10;4;1;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;9;1998;15;1125,08832189522
1017611;1;5;1;10;5;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;1;2000;15;1125,08832189522
1017612;1;1;1;10;1;1;1;49;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;7;1959;15;1257,81783831356
1017612;1;2;1;10;2;2;1;43;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;11;1965;15;1257,81783831356
1017612;1;3;1;10;3;1;1;22;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;1;1987;15;1257,81783831356
1017612;1;4;1;10;4;1;1;17;3;6;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;11;1991;15;1257,81783831356
1017612;1;5;1;10;5;1;1;14;3;6;1; ; ;3; ; ;1;1;1;1;4;8; ;2;8;7;1994;15;1257,81783831356
1017612;1;6;1;10;6;2;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;12;1996;15;1257,81783831356
1017613;1;1;1;10;1;1;1;56;1;3;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;4;1952;15;490,686654535395
1017613;1;2;1;10;2;2;1;63;2;6;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;4;1945;15;490,686654535395
1017614;1;1;1;10;1;1;1;67;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;2;1941;15;490,686654535395
1017614;1;2;1;10;2;2;1;63;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;1;1945;15;490,686654535395
1017615;1;1;1;10;1;1;1;43;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;10;1965;15;985,612144981998
1017615;1;2;1;10;2;2;1;64;2;3;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;6;1944;15;985,612144981998
1017615;1;3;1;10;3;1;2;17;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0; ; ;15;985,612144981998
1017615;1;4;1;10;4;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;6;1995;15;985,612144981998
1017615;1;5;1;10;5;1;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;8;2000;15;985,612144981998
1017616;1;1;1;10;1;1;1;50;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;6;1958;15;1057,460488447
1017616;1;2;1;10;2;2;1;50;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;6;1958;15;1057,460488447
1017616;1;3;1;10;3;2;1;18;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;1;1991;15;1057,460488447
1017616;1;4;1;10;4;2;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;11;1994;15;1057,460488447
1017616;1;5;1;10;5;1;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;9;1996;15;1057,460488447
1017616;1;6;1;10;6;1;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;6;1999;15;1057,460488447
1017617;1;1;1;10;1;1;1;54;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;5;1954;15;896,821867381307
1017617;1;2;1;10;2;2;1;47;2;3;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;9;1961;15;896,821867381307
1017617;1;3;1;10;1;2;1;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;6;2003;15;896,821867381307
1017618;1;1;1;10;1;1;2;75;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1; ; ;15;490,686654535395
1017618;1;2;1;10;2;2;2;64;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2; ; ;15;490,686654535395
1017619;1;1;1;10;1;1;1;40;1;3;1; ; ;3; ; ;2;1;1;2;3;3; ;2;3;7;1968;15;1217,19504044253
1017619;1;2;1;10;2;2;1;33;2;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;7;1975;15;1217,19504044253
1017619;1;3;1;10;3;1;1;17;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;1;1992;15;1217,19504044253
1017619;1;4;1;10;4;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;10;1995;15;1217,19504044253
1017619;1;5;1;10;5;2;1;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;3;2001;15;1217,19504044253
1017625;1;1;1;10;1;1;1;48;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;6;1960;15;869,364797269033
1017625;1;2;1;10;2;2;1;42;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;1966;15;869,364797269033
1017625;1;3;1;10;3;1;1;17;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;11;1991;15;869,364797269033
1017626;1;1;1;10;1;2;1;58;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;8;1950;15;490,686654535395
1017626;1;2;1;10;2;1;1;60;5;6;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;10;1948;15;490,686654535395
1017627;1;1;1;10;1;1;2;80;1;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5; ; ;15;490,686654535395
1017627;1;2;1;10;2;2;1;75;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;7;1933;15;490,686654535395
1017628;1;1;1;10;1;1;1;29;1;2;1; ; ;3; ; ;2;1;1;2;3;5; ;2;5;1;1980;15;1340,18904865038
1017628;1;2;1;10;2;2;1;28;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;10;1980;15;1340,18904865038
1017628;1;3;1;10;3;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;6;1998;15;1340,18904865038
1017628;1;4;1;10;1;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;4;1999;15;1340,18904865038
1017628;1;5;1;10;1;2;1;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;11;2001;15;1340,18904865038
1017628;1;6;1;10;1;2;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;1;2005;15;1340,18904865038
1017629;1;1;1;10;1;1;2;69;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5; ; ;15;811,059827596614
1017629;1;2;1;10;2;2;1;59;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;6;1949;15;811,059827596614
1017629;1;3;1;10;3;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;1995;15;811,059827596614
1017629;1;4;1;10;4;1;1;10;4;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;8;1998;15;811,059827596614
1017630;1;1;1;10;1;1;1;34;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;7;1974;15;829,194033933082
1017630;1;2;1;10;2;2;1;40;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;3;1968;15;829,194033933082
1017630;1;3;1;10;3;2;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;7;1994;15;829,194033933082
1017630;1;4;1;10;4;1;1;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;7;2001;15;829,194033933082
1017631;1;1;1;10;1;1;1;56;1;3;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;6;1952;15;716,242475609073
1017631;1;2;1;10;2;2;1;53;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;6;1955;15;716,242475609073
1017631;1;3;1;10;3;2;1;16;5;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;6;1992;15;716,242475609073
1017632;1;1;1;10;1;2;1;79;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;1929;15;440,975380867149
1017632;1;2;1;10;2;1;2;98;3;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0; ; ;15;440,975380867149
1017632;1;3;1;10;3;1;2;59;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;1; ;15;440,975380867149
1017632;1;4;1;10;4;2;1;42;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;9;1966;15;440,975380867149
1017632;1;5;1;10;5;2;1;14;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;8;1994;15;440,975380867149
1017632;1;6;1;10;1;2;1;33;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;1;1976;15;440,975380867149
1017633;1;1;1;10;1;1;1;34;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;8;1974;15;1057,00845391192
1017633;1;2;1;10;2;2;1;34;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;8;1974;15;1057,00845391192
1017633;1;3;1;10;3;1;1;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;10;1996;15;1057,00845391192
1017633;1;4;1;10;1;2;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;2;2000;15;1057,00845391192
1017634;1;1;1;10;1;1;1;54;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1954;15;677,235470811205
1017634;1;2;1;10;2;2;1;50;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;1958;15;677,235470811205
1017634;1;3;1;10;3;1;1;30;3;6;1; ; ;3; ; ;2;1;2; ;6;7;3;2;18;4;1978;15;677,235470811205
1017634;1;4;1;10;4;1;1;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;11;1995;15;677,235470811205
1017634;1;5;1;10;5;1;1;85;5;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;1;1924;15;677,235470811205
1017635;1;1;1;10;1;1;1;27;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;8;1981;15;884,473768045021
1017635;1;2;1;10;2;2;1;24;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;9;1984;15;884,473768045021
1017636;1;1;1;10;1;1;1;78;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;12;1930;15;648,162607625765
1017636;1;2;1;10;1;2;2;45;3;3;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0; ; ;15;648,162607625765
1017637;1;1;1;10;1;1;1;45;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;8;1963;15;1193,16818987853
1017637;1;2;1;10;2;2;1;37;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;1;1971;15;1193,16818987853
1017637;1;3;1;10;3;2;1;18;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;7;1990;15;1193,16818987853
1017637;1;4;1;10;3;2;1;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;3;2008;15;1193,16818987853
1017637;1;5;1;10;5;2;1;16;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;5;1992;15;1193,16818987853
1017637;1;6;1;10;6;1;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;9;1994;15;1193,16818987853
1017638;1;1;1;10;1;1;1;26;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;6;1982;15;1099,3366296712
1017638;1;2;1;10;2;2;1;31;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;7;1977;15;1099,3366296712
1017638;1;3;1;10;3;2;1;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;8;2001;15;1099,3366296712
