Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3118108;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;104,782481988469;52
3118111;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;01;52;128,455922528562;52
3118111;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;4;2;1;01;52;128,455922528562;52
3118112;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;185,664038854921;52
3118113;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;149,951607899386;52
3118114;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;167,573501305497;52
3118114;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;52;167,573501305497;52
3118115;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;102,477727725895;52
3118116;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;1;2;1;01;52;141,440169362784;52
3118116;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;52;141,440169362784;52
3118117;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;01;52;116,038477385056;52
3118117;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;01;52;116,038477385056;52
3118122;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;50;154,376575288572;50
3118125;1;1;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;01;50;318,966615801971;50
3118128;1;1;1;80;1;1;2;4; ;2; ;2; ; ; ; ;9;2;1;01;50;163,268467085111;50
3118128;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;50;163,268467085111;50
3118129;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;01;50;189,339862776735;50
3118130;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;160,01306813361;17
3118132;1;2;1;80;1;1;1;8; ;2; ;1;566700; ; ; ;9;2;1;01;17;212,772594025973;17
3118134;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;140,017426623236;17
3118135;1;1;1;80;1;1;4;6; ;3; ;2; ; ; ; ;10;2;1;01;17;123,464636832736;17
3118137;1;1;1;80;1;1;1;8; ;2; ;2; ; ;1; ;9;1;1;01;17;171,433264151481;17
3118137;1;2;1;80;1;2; ; ; ;2; ;2; ;1;2; ;9; ;1;01;17;171,433264151481;17
3118138;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;11;2;1;01;17;196,320349783033;17
3118140;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;168,009077310786;17
3118140;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;168,009077310786;17
3118140;1;5;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;01;17;168,009077310786;17
3118142;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;104,370224553649;17
3118142;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;4;2;1;01;17;104,370224553649;17
3118142;1;3;1;80;1;1;2;8; ;2; ;2; ; ;1; ;4;1;1;01;17;104,370224553649;17
3118143;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;01;17;135,575561502849;17
3118144;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;132,273313886866;17
3118146;1;1;1;80;1;2; ; ; ;2; ;2; ;1;2; ;4; ;1;01;17;136,715179007253;17
3118147;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;17;217,22861447085;17
3118147;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;217,22861447085;17
3118147;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;217,22861447085;17
3118147;2;2;2;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;217,22861447085;17
3118148;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;132,273313886866;17
3118148;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;17;132,273313886866;17
3118150;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;84,9806813460719;17
3118152;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;103,468995322363;17
3118152;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;103,468995322363;17
3118153;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;84,9806813460719;17
3118153;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;4;2;1;01;17;84,9806813460719;17
3118153;1;3;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;01;17;84,9806813460719;17
3118153;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;84,9806813460719;17
3118155;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;01;17;140,017426623236;17
