DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;FT;DPTO;AREA;fex_c_2011
846949;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;102.050.274.704.284
846951;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;1;1;5;5;830.729.526.463.011
846951;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;830.729.526.463.011
846952;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;735.257.031.654.656
846952;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;1;1;5;5;735.257.031.654.656
846952;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;735.257.031.654.656
846952;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;735.257.031.654.656
846954;1;1;1;90;;2;;1;2;1;1;2;2;2;2;2;;;12;;15;30;;;;;;1;1;5;5;849.892.157.464.239
846955;1;1;1;90;;2;;1;2;2;2;2;2;2;2;1;;;10;;;;;;;;2;1;1;5;5;849.610.992.580.347
846955;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;35;;15;;;;;;;1;1;5;5;849.610.992.580.347
846955;1;3;1;90;;2;;1;2;2;2;2;2;2;1;2;;;20;;;;;;;6;;1;1;5;5;849.610.992.580.347
846955;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;1;1;5;5;849.610.992.580.347
846955;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;849.610.992.580.347
846955;1;6;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;12;;;;;;;1;1;5;5;849.610.992.580.347
846955;1;7;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;15;;;;;;;1;1;5;5;849.610.992.580.347
846958;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;993.980.753.807.264
846959;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;833.183.380.371.076
846959;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;833.183.380.371.076
846959;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;1;1;5;5;833.183.380.371.076
846959;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;833.183.380.371.076
846962;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;1;1;5;5;702.219.026.136.233
846962;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;15;;;;;;;1;1;5;5;702.219.026.136.233
846962;1;3;1;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;2;1;1;5;5;702.219.026.136.233
846964;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;15;;25;;;;;;;1;1;5;5;699.770.187.450.335
846964;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;699.770.187.450.335
846965;1;1;1;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;22;1;1;5;5;993.980.753.807.264
846966;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;979.720.815.399.999
846966;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;25;;25;;;;;;;1;1;5;5;979.720.815.399.999
846966;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;979.720.815.399.999
846966;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;979.720.815.399.999
846966;1;5;1;90;;2;;1;2;1;2;2;2;2;2;2;;;12;;15;;;;;;;1;1;5;5;979.720.815.399.999
846970;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;1;1;5;5;91.752.210.914.034
846970;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;91.752.210.914.034
846970;2;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;91.752.210.914.034
846970;2;2;2;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;25;;;;;;;1;1;5;5;91.752.210.914.034
846972;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;895.285.598.973.072
846973;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;699.961.715.351.586
846973;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;1;1;5;5;699.961.715.351.586
846973;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;1;1;5;5;699.961.715.351.586
846973;1;4;1;90;;2;;1;2;2;2;2;1;2;2;1;;;10;;;;;3;;;2;1;1;5;5;699.961.715.351.586
846975;1;1;1;90;;2;;1;2;1;1;2;2;2;2;2;;;10;;10;10;;;;;;1;1;5;5;81.216.508.448.087
846975;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;1;1;5;5;81.216.508.448.087
846975;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;81.216.508.448.087
