Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3075270;1;1;1;70;1;8;40;1; ;2;8;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;98;98;45;1;1;4530;11;15;106,081474302941;15
3075274;1;3;1;70;1;4;40;2; ;2;12;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;39;55;1;1;5511;11;15;80,0259808555386;15
3075275;1;2;1;70;1;6;48;1; ;2;10;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;32;75;1;1;7512;11;15;91,931134925489;15
3075286;1;3;1;70;1;24;48;1; ;2;24;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;38;74;1;2;7499;11;17;171,465546333832;17
3075289;1;2;1;70;1;12;50;3; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5522;11;17;155,468261334223;17
3075291;1;3;1;70;1;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;11;17;207,911317206146;17
3075292;1;2;1;70;1;16;48;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;11;17;113,520609669625;17
3075306;1;1;1;70;1;32;48;3; ;2;36;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;11;17;326,933608859046;17
3075306;1;2;1;70;1;4;40;1; ;2;140;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;11;17;326,933608859046;17
3075308;1;2;1;70;1;1;48;1; ;2;192;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;92;1;1;9242;11;17;144,19086966014;17
3075322;1;2;1;70;1;4;50;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;11;17;173,989383650872;17
3075326;1;2;1;70;1;2;40;2; ;2;2;2; ;9;7; ; ; ; ; ; ; ;1; ; ; ;1;980000;2;13;13;80;1;1;8044;11;18;70,5113385647911;18
3075336;1;2;1;70;1;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;11;18;55,7684399570756;18
3075340;1;1;1;70;1;3;54;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;520000;2;95;95;45;1;1;4521;11;18;80,7630585820411;18
3075343;1;2;1;70;1;52;48;2; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;98;60;1;2;6031;11;18;79,9350522389748;18
3075354;1;4;1;70;1;24;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;95;45;1;2;4521;11;66;211,11608462032;66
3075360;1;1;1;70;1;12;48;1; ;2;18;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;45;45;52;1;1;5233;11;66;194,058733684693;66
3075360;1;2;1;70;1;50;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;11;66;194,058733684693;66
3075371;1;1;1;70;1;50;48;1; ;2;52;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;80;1;2;8050;11;05;1329,7880019951;05
3075390;1;3;1;70;1;4;48;1; ;2;144;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;45;55;1;1;5511;11;05;957,991606732394;05
3075390;1;4;1;70;1;4;24;1; ;2;48;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;11;05;957,991606732394;05
3075393;1;3;1;70;1;36;48;1; ;2;36;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;28;1;2;2899;11;05;777,628046445957;05
3075405;1;3;1;70;1;2;48;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;79;53;55;1;1;5521;11;05;1001,57570633349;05
3075412;1;2;1;70;1;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;05;1020,77501800785;05
3075418;1;3;1;70;1;40;48;1; ;2;40;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;52;1;2;5272;11;05;1131,18139648876;05
3075421;1;2;1;70;1;1;48;3; ;2;48;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;11;20;127,862889289212;20
3075427;1;2;1;70;1;4;40;1; ;2;4;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;566000;2;45;59;92;1;1;9242;11;20;137,880924408445;20
3075431;1;2;1;70;1;48;48;4; ;2;48;4; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;11;20;147,343155398708;20
