Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3928518;1;3;1;70;1;2;40;1; ;2;108;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8532;02;52;171,610260036429;52
3928520;1;2;1;70;1;3;24;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;1;9302;02;52;248,60805837723;52
3928527;1;2;1;70;1;26;24;3; ;2;21;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;02;52;227,346984188875;52
3928527;1;3;1;70;1;17;24;1; ;2;104;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;2;5225;02;52;227,346984188875;52
3928536;1;3;1;70;1;4;48;1; ;2;4;2; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;640000;2;58;58;75;1;1;7522;02;52;260,612487089769;52
3928536;1;4;1;70;1;8;40;1; ;2;13;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;95;45;1;1;4521;02;52;260,612487089769;52
3928537;1;4;1;70;1;75;40;2; ;2;75;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;40;52;1;2;5233;02;52;207,916906838931;52
3928544;1;1;1;70;1;34;20;1; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;02;52;194,295591026687;52
3928544;1;2;1;70;1;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;644350;2;59;97;52;1;1;5239;02;52;194,295591026687;52
3928544;1;3;1;70;1;8;20;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;02;52;194,295591026687;52
3928562;1;1;1;70;1;60;50;1; ;2;60;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;02;73;280,576820310298;73
3928566;1;2;1;70;1;1;40;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;1; ;02;73;203,824923258768;73
