DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
549286;1;5;70;2;20;8; ;1;1;2;2;8; ;4;3; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;50000;2;62;62;0111;01;1;73;1821,23250172602
549452;1;3;70;8;48;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;20;475,052543353189
549454;1;2;70;32;48;1; ;1;1;2;32;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;00;62;0121;01;1;20;816,661622871016
549456;1;1;70;8;48;8; ;1;1;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;61;0121;01;1;20;667,702994723153
549458;1;4;70;8;72;8; ;1;1;2;26;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0121;01;1;20;898,147136463163
549476;1;3;70;8;48;1; ;1;1;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;45;45;5233;52;1;20;866,336022545141
549479;1;3;70;12;48;4; ;1;1;2;28;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2800000;2;98;62;0140;01;1;20;405,074298403535
549482;1;3;70;12;48;8; ;1;1;2;40;4; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0121;01;1;20;919,701604477035
549589;1;2;70;4;24;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;20;1264,78648391732
549610;1;4;70;48;48;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;20;2538,25087523504
