DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4289223;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1092,33768085507
4289223;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1092,33768085507
4289225;1;4;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;03;19;844,793517731499
4289225;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;844,793517731499
4289226;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;03;19;1100,92364957489
4289226;1;3;1;80;2;1;2;8; ;2; ; ;9; ;2; ;2; ;1;03;19;1100,92364957489
4289228;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;589,394991720157
4289231;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1680,50383831318
4289233;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;03;19;1860,26680322933
4289233;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1860,26680322933
4289241;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1057,48655423011
4289248;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1016,12412765984
4289248;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1016,12412765984
4289249;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;19;981,857417507813
4289249;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ;1;03;19;981,857417507813
4289249;1;5;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;03;19;981,857417507813
