DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6910;P6910S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;CLASE;OCI;P6420S1;RAMA4D;OFICIO;RAMA2D;RAMA4DP8;RAMA2DP8;DPTO;fex_c_2011
608155;1;2;60;2;;;;;;;;;;120;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;600000;1;8500000;3;;12;60;;.;60;;;1;7;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;1;2;2;2;2;2;3;2;7;;2;1;;111;62;1;;;17;12.565.966.301.254
608156;1;1;60;2;;;;;;;;;;108;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;900000;1;12000000;3;;12;60;;.;60;;;1;7;20;2;;;;;;3;8;;;;2;;;;1;;;1;;;;;;;1;1;21;1;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;1;2007;2;;;;2;;;;;;;;;;;;;;;1;2;2;4;4;2;2;3;4;2;;2;1;;111;62;1;;;17;927.030.193.452.447
608159;1;1;60;1;1;;;1;1;;2;2;2;19;8;;1;;400000;2;;;1;150000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;7;18;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;1;1;3;8;;2;;;;;1;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;1;1;2;4;3;2;3;3;7;;2;1;;111;62;1;;;17;964.291.226.652.338
608162;1;1;60;1;2;1;;1;1;;2;2;2;190;8;;1;;450000;2;;;1;50000;2;;1;25000;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;60;;.;60;;;1;7;16;2;;;;;;7;8;;;;2;;;;1;;;1;;;;;;;1;2;;;;1;15;4;;250000;;;;;;;;;;;;;;2;2;1;1000000;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;1;1;4;4;2;2;3;3;2;;2;1;;114;62;1;;;17;12.565.966.301.254
608163;1;1;60;2;;;;;;;;;;125;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;400000;1;5800000;3;;12;60;;.;60;;;1;7;18;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;1;18;8;;150000;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;3;3;;2;1;;111;61;1;;;17;111.203.466.712.902
608164;1;1;60;1;1;;;1;1;;2;2;2;28;8;;1;;280000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;50;;.;50;;;1;8;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;1;1;14;8;;2;;;;;1;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;4;4;2;2;3;3;5;;2;1;;111;62;1;;;17;977.133.440.161.265
608164;1;2;60;1;1;;;1;1;;2;2;2;144;2;;2;;218000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;16;2;;;;;;9;7;;;;2;;;;1;;;;;;;;1;;1;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;1;1;3;3;2;2;4;4;6;;2;1;;8532;54;85;;;17;977.133.440.161.265
608165;1;1;60;2;;;;;;;;;;420;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1000000;1;8500000;3;;12;58;;.;58;;;2;;;;;;;;;1;4;;;;2;;;;1;;;1;;;;;;;1;1;18;8;;2;;;;;2;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;1;1;1;1;1;2;3;3;3;;2;1;;6022;98;60;;;17;669.212.688.423.559
608165;1;3;60;1;1;;;1;1;;2;2;2;3;1;;2;;120000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;3;36;1;;36;;;1;8;19;2;;;;;;4;7;;;;2;;;;1;;;1;;;;;;;1;1;2;2;;2;;;;;9;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;1;40;1;1;1;1;1;1;1;2;2;1;2;2;2;;1;1;;3;4;1;4;4;4;2;2;2;3;;2;1;;5211;45;52;;;17;669.212.688.423.559
608166;1;3;60;1;1;;;1;1;;2;2;2;3;8;;1;;160000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;3;30;2;;35;;;2;;;;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;2;2;4;4;4;2;3;3;5;;2;1;;111;62;1;;;17;996.845.618.208.673
608166;1;5;60;1;2;1;;1;1;;1;1;1;60;2;;5;;1250000;2;;;2;;2;;2;;2;;;;13200;;2;;;2;1;;2;2;2;;;1;;1250000;1250000;;2;1;2;2;;;;;;;;;;;12;40;;.;40;;;1;7;14;2;;;;;;9;7;;;;1;2;1;13;1;1;;1;;;;;;;1;1;96;2;;2;;;;;0;;;;;;;;;;;;;2;1;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;1;1;2;2;2;2;3;3;2;;2;1;;8043;13;80;;;17;996.845.618.208.673
608166;1;7;60;1;1;;;1;1;;2;2;2;35;1;;1;;480000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;60;;.;60;;;1;8;19;2;;;;;;3;7;;;;2;;;;1;;;;;;;;1;;1;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;5;;;;2;;;;2;;;;;;;;;;;;;;;1;1;2;2;2;2;2;3;3;5;;2;1;;5211;45;52;;;17;996.845.618.208.673
608167;1;1;60;1;1;;;1;1;;2;2;2;2;8;;1;;400000;2;;;1;70000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;6;60;;.;60;;;1;7;18;2;;;;;;4;8;;;;1;4;2;10;1;;1;;;;;;;;1;1;3;8;;2;;;;;6;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;1;1;4;4;2;2;3;1;3;;2;1;;111;62;1;;;17;113.536.495.977.503
608168;1;1;60;1;1;;;1;1;;2;2;2;2;8;;1;;580000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;9;50;;.;50;;;1;7;17;2;;;;;;4;8;;;;1;1;1;5;1;;1;1;;;;;;;1;1;98;8;;2;;;;;3;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;1;1;1;1;2;2;3;3;2;;2;1;;114;62;1;;;17;839.343.363.881.548
608171;1;1;60;1;2;1;;1;1;;1;1;2;8;1;;1;;440000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;340000;;2;1;2;2;;;;;;;;;;;8;50;;.;50;;;1;7;17;2;;;;;;4;8;;;;2;;;;1;;;1;;;;;;;1;1;6;8;;2;;;;;4;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;1;2;4;4;2;2;2;3;2;;2;1;;111;95;1;;;17;147.040.225.112.507
608171;1;2;60;1;1;;;1;1;;2;2;2;8;3;;1;;40000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;8;20;2;;20;;;1;8;15;2;;;;;;1;2;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;1;2;2;3;3;8;;2;1;;9500;54;95;;;17;147.040.225.112.507
608171;1;3;60;2;;;;;;;;;;8;8;;1;;100000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;8;50;;.;50;;;1;8;15;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;2;2;2;4;2;2;3;3;5;;2;1;;111;62;1;;;17;147.040.225.112.507
608173;1;2;60;1;1;;;1;1;;2;2;2;3;8;;1;;400000;2;;;1;45000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;50;;.;50;;;1;6;18;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;1;1;25;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;1;1;1;3;4;2;3;2;9;;2;1;;113;62;1;;;17;144.484.550.550.921
608173;1;3;60;1;1;;;1;1;;2;2;2;2;8;;1;;400000;2;;;1;55000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;50;;.;50;;;1;6;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;1;1;8;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;2;1;1;1;1;2;2;;1;1;;3;2;2;4;4;3;2;2;3;5;;2;1;;113;62;1;;;17;144.484.550.550.921
608174;1;2;60;1;1;;;1;1;;2;2;2;3;8;;1;;240000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;6;50;;.;50;;;1;6;15;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;4;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;1;10;1;1;1;1;2;1;1;1;2;1;2;2;2;;1;1;;3;2;1;4;4;3;2;2;2;5;;2;1;;111;62;1;;;17;144.951.091.644.352
608175;1;1;60;1;1;;;1;1;;1;2;2;18;8;;1;;430000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;430000;;2;1;2;2;;;;;;;;;;;12;48;;.;48;;;1;6;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;1;1;21;8;;2;;;;;2;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;2;2;2;2;2;2;4;3;8;;2;1;;117;62;1;;;17;107.241.949.955.728
608175;1;2;60;2;;;;;;;;;;17;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;80000;1;80000;3;;9;30;2;;30;;;1;9;14;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;1;2;2;3;2;2;3;3;7;;2;1;;8043;53;80;;;17;107.241.949.955.728
608178;1;1;60;1;1;;;1;1;;2;2;2;28;8;;1;;420000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;1;30000;2;2;100000;;;;1;2;2;2;;;;;;;;;;;12;60;;.;60;;;1;6;19;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;1;1;2;8;;2;;;;;1;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;1;2;2;2;2;2;3;3;7;;2;1;;111;62;1;;;17;126.223.289.209.114
608179;1;1;60;1;1;;;1;1;;2;2;2;0;8;;1;;350000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;16;2;;;;;;2;8;;;;2;;;;1;;;;;;1;;;;1;1;18;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;1;1;1;1;2;2;2;;1;1;;4;4;1;4;4;4;2;2;2;7;;2;1;;111;62;1;;;17;144.837.299.051.863
608201;1;1;60;2;;;;;;;;;;120;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;450000;1;1500000;3;;12;66;;.;66;;;1;7;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;108;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;2;2;2;3;3;8;;2;1;;111;62;1;;;17;136.472.490.303.034
608201;1;2;60;1;1;;;1;1;;2;2;2;4;8;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;7;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;1;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;8;;2;1;;111;62;1;;;17;136.472.490.303.034
608201;1;3;60;2;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;128000;1;1000000;1;;4;21;2;;21;;;1;7;10;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;3;2;3;3;8;;2;1;;5521;53;55;;;17;136.472.490.303.034
608202;1;2;60;2;;;;;;;;;;120;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;600000;1;6000000;3;;12;55;;.;55;;;1;6;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;60;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;8;;2;1;;111;61;1;;;17;561.830.336.095.498
608203;1;1;60;2;;;;;;;;;;84;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;800000;1;8000000;3;;12;48;;.;48;;;1;7;18;2;;;;;;1;4;;;;2;;;;1;;;;;;;;1;;2;1;6;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;2;2;2;3;2;2;3;3;5;;2;1;;5221;41;52;;;17;134.816.649.710.099
608203;1;4;60;1;1;;;1;1;;2;2;2;5;8;;1;;200000;2;;;1;120000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;45;;.;45;;;1;7;16;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;0;8;;2;;;;;2;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;2;1;;111;62;1;;;17;134.816.649.710.099
608204;1;1;60;1;1;;;1;2;;2;2;2;12;8;;1;;300000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;60;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;2;1;;111;62;1;;;17;134.017.840.193.738
608204;1;2;60;2;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;240000;1;2880000;3;;12;40;;.;48;;;1;8;16;2;;;;;;9;1;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;;;;1;1;2;1;2;2;2;2;1;2;2;;2;2;;2;2;2;3;3;2;2;3;3;8;;2;1;;8532;54;85;;;17;134.017.840.193.738
608205;1;1;60;1;1;;;1;1;;2;2;2;2;1;;1;;560000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;7;18;2;;;;;;3;9;;;;2;;;;1;;;;;;;;1;;2;1;1;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;2;3;8;;2;1;;4521;95;45;;;17;136.100.871.060.992
608206;1;1;60;2;;;;;;;;;;300;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;500000;1;7000000;3;;12;66;;.;66;;;1;6;17;2;;;;;;1;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;111;62;1;;;17;146.121.520.402.756
608206;1;3;60;1;1;;;1;1;;2;2;2;2;8;;1;;360000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;3;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;2;1;;111;62;1;;;17;146.121.520.402.756
608206;1;4;60;1;1;;;1;1;;2;2;2;12;8;;1;;380000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;2;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;10;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;2;3;8;;2;1;;111;62;1;;;17;146.121.520.402.756
608207;1;1;60;1;1;;;1;1;;2;2;2;3;8;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;2;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;2;3;8;;2;1;;111;62;1;;;17;123.495.094.519.015
608208;1;1;60;2;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;200000;1;3000000;3;;12;60;;.;60;;;1;6;18;2;;;;;;1;8;;;;1;4;2;10;1;;1;;;;;;;;2;1;60;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;2;1;;111;62;1;;;17;112.955.195.724.404
608208;1;3;60;1;1;;;1;1;;2;2;2;24;8;;1;;100000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;3;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;8;;2;1;;111;62;1;;;17;112.955.195.724.404
608209;1;1;60;2;;;;;;;;;;168;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;1000000;1;16000000;3;;12;20;2;;20;;;2;;;;;;;;;3;8;;;;3;;;;;;;;;;;;;;2;1;300;1;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;10;ESTA PENSIONADO;2;1;;111;61;1;;;17;111.784.766.966.001
608210;1;1;60;1;1;;;1;1;;2;2;2;19;8;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;12;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;8;;2;1;;111;62;1;;;17;852.185.577.390.476
608211;1;2;60;2;;;;;;;;;;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;100000;1;800000;3;;8;20;1;;20;;;2;;;;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;1;60;3;;2;;;;;84;;;;;;;;;;;;;;2;;;;;;;;1;;;;1;30;2;1;1;1;2;1;2;2;2;2;2;2;2;;2;2;;3;3;2;3;3;3;2;3;3;3;;2;1;;5219;41;52;;;17;109.581.840.905.357
608212;1;1;60;2;;;;;;;;;;72;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;400000;1;5000000;3;;12;50;;.;50;;;1;6;16;2;;;;;;1;8;;;;3;;;;;;;;;;;;;;2;1;60;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;10;RECIBE PENSION;2;1;;111;62;1;;;17;902.288.824.099.294
608213;1;1;60;2;;;;;;;;;;2;8;;1;;500000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;54;;.;54;;;1;7;6;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;12;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;2;1;;111;62;1;;;17;964.291.226.652.338
608214;1;1;60;1;1;;;1;1;;2;2;2;24;8;;1;;500000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;2;8;;;;1;2;3;2;1;1;;;;;;;;;2;1;2;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;121;62;1;;;17;902.288.824.099.294
608214;1;2;60;1;1;;;1;1;;2;2;2;24;3;;1;;60000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;9;2;;9;;;1;13;16;2;;;;;;1;2;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;9500;55;95;;;17;902.288.824.099.294
608215;1;2;60;1;1;;;1;2;;2;2;2;18;8;;1;;280000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;3;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;2;1;2;2;2;2;1;2;2;;2;1;;3;3;2;3;3;3;2;3;3;8;;2;1;;112;62;1;;;17;936.022.372.289.765
608215;1;3;60;1;1;;;1;2;;2;2;2;14;1;;1;;280000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;2;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;2;1;2;2;2;2;1;2;2;;2;2;;3;3;2;3;3;3;2;3;3;8;;2;1;;112;95;1;;;17;936.022.372.289.765
608217;1;1;60;1;1;;;1;1;;2;2;2;1;8;;1;;300000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;55;;.;55;;;1;6;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;1;36;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;3;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;9;;2;1;;111;62;1;;;17;852.185.577.390.476
608217;1;3;60;1;2;1;;1;1;;2;2;2;4;1;;2;;450000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;4;54;;.;54;;;1;8;17;2;;;;;;9;7;;;;2;;;;1;;;;;;;;1;;2;1;9;1;;2;;;;;14;;;;;;;;;;;;;2;2;2;;;;2;;;10;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;2;1;;5235;45;52;;;17;852.185.577.390.476
