DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
602933,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,220.408.316.681.655
602933,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,220.408.316.681.655
602933,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,220.408.316.681.655
602933,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,220.408.316.681.655
602934,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,192.882.911.729.881
602934,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,192.882.911.729.881
602967,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,748.649.390.743.102
602967,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,748.649.390.743.102
602967,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,748.649.390.743.102
602968,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,582.609.813.935.101
602968,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,582.609.813.935.101
602968,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,582.609.813.935.101
602969,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,926.115.185.225.561
602969,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,926.115.185.225.561
602970,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,503.599.629.518.969
602970,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,503.599.629.518.969
602975,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,661.619.998.351.233
602975,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,661.619.998.351.233
602975,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,661.619.998.351.233
602975,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,661.619.998.351.233
602976,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,871.030.933.619.427
602976,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,871.030.933.619.427
602976,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,871.030.933.619.427
602976,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,871.030.933.619.427
602977,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,577.589.368.078.485
602977,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,577.589.368.078.485
603006,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,549.624.548.643.211
603006,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,549.624.548.643.211
603007,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,577.589.368.078.485
603007,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,577.589.368.078.485
603008,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,674.126.540.840.005
603008,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,674.126.540.840.005
603013,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,730.013.417.573.888
603013,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,730.013.417.573.888
603013,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,730.013.417.573.888
603013,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,730.013.417.573.888
603014,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,623.614.287.202.728
603014,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,623.614.287.202.728
603015,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,521.659.729.207.937
603015,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,521.659.729.207.937
603049,1,1,95,1,,1,2,,,1500000,2,2,,,,,,,,,,,,,2,,,25,837.056.990.480.857
603049,1,2,95,1,,1,2,,,1500000,2,2,,,,,,,,,,,,,2,,,25,837.056.990.480.857
603049,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,837.056.990.480.857
603049,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,837.056.990.480.857
603049,1,5,95,2,,,,,,,,1,2,,2,,,,24000000,,,1,2,2,2,,2,25,837.056.990.480.857
603050,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,707.644.917.475.475
603050,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,707.644.917.475.475
603050,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,707.644.917.475.475
603050,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,707.644.917.475.475
603051,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603051,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,820.335.635.381.637
603056,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603056,1,8,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,111.571.871.613.946
603057,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,844.092.594.323.533
603057,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,844.092.594.323.533
603057,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,844.092.594.323.533
603057,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,844.092.594.323.533
603058,1,1,95,2,,,,,,,,1,2,,2,,,,,,600000,2,1,2,2,,2,25,66.963.920.632.697
603058,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,66.963.920.632.697
603089,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,549.624.548.643.211
603089,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,549.624.548.643.211
603090,1,1,95,2,,,,,,,,1,2,,2,,,,200000,,,1,2,2,2,,2,25,836.895.000.124.568
603090,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,836.895.000.124.568
603094,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603094,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603094,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603094,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603094,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603094,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,968.890.985.980.915
603095,1,1,95,2,,,,,,,,1,2,,2,,,,3600000,,,1,2,2,2,,2,25,781.634.656.034.991
603095,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,781.634.656.034.991
603095,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,781.634.656.034.991
603095,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,781.634.656.034.991
603096,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,791.403.192.343.906
603096,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,791.403.192.343.906
603096,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,791.403.192.343.906
603205,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,153.430.459.030.244
603205,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,153.430.459.030.244
603205,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,153.430.459.030.244
603205,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,153.430.459.030.244
603206,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,155.416.271.870.243
603206,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,155.416.271.870.243
603207,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,108.372.931.103.617
603207,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,108.372.931.103.617
603207,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,108.372.931.103.617
603208,1,1,95,2,,,,,,,,1,2,,2,,,,,,800000,2,1,2,2,,2,18,168.996.285.270.306
603209,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,193.264.666.380.678
603209,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,193.264.666.380.678
603209,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,193.264.666.380.678
603210,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,154.902.662.711.538
603210,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,154.902.662.711.538
603210,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,154.902.662.711.538
603211,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,144.385.016.395.063
603212,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,142.279.274.368.236
603212,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,142.279.274.368.236
603212,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,142.279.274.368.236
603212,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,142.279.274.368.236
603213,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,131.169.108.532.696
603213,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,131.169.108.532.696
603213,1,3,95,2,,,,,,,,1,2,,2,,,,,,100000,2,1,2,2,,2,18,131.169.108.532.696
603213,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,131.169.108.532.696
603213,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,131.169.108.532.696
603213,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,131.169.108.532.696
603214,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,106.739.779.409.026
603214,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,106.739.779.409.026
603214,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,18,106.739.779.409.026
603943,1,1,95,2,,,,,,,,1,2,,2,,,,,,200000,2,1,2,2,,2,25,303.495.236.086.577
603943,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,303.495.236.086.577
603943,1,3,95,1,,2,2,50000,,,1,2,,,,,,,,,,,,,2,,,25,303.495.236.086.577
603943,1,4,95,1,,2,2,50000,,,1,2,,,,,,,,,,,,,2,,,25,303.495.236.086.577
603944,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,177.864.066.872.798
603944,1,2,95,2,,,,,,,,1,2,,2,,,,,,40000,2,1,2,2,,2,25,177.864.066.872.798
603944,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,177.864.066.872.798
