DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
601187;1;2;11;10;2;2;1;4;1976;2;1;3;2;;3;2;;2;2;2;1;1;;2;1;6;;;;1;8;EL  ESPOSO SE  QUEDO   SIN  TRABAJO;1;2;;;;;;;;;4;7;;;;31;11;296.857.060.047.298
601187;1;3;11;10;2;1;1;2;1998;3;2;;6;1;1;;2;1;;2;;;;2;1;8;;;;1;8;LOS  PAPAS  NO  ESTAN   AFILIADOS;1;1;1;1;0;1000;2;;2;;3;4;;;;10;11;296.857.060.047.298
601187;1;4;11;10;2;1;1;10;2001;3;2;;;1;1;;2;1;;2;;;;2;1;8;;;;2;8;LOS  PAPAS NO  ESTAN  AFILIADOS;2;1;1;1;0;1000;2;;2;;3;0;;;;6;11;296.857.060.047.298
601188;1;1;11;10;1;1;1;5;1978;1;2;;2;;2;2;;2;2;2;2;1;;1;;;1;3;57700;2;;.;1;2;;;;;;;;;5;11;2;;;29;11;245.868.774.082.025
601188;1;2;11;10;2;2;1;8;1983;2;2;;2;;2;4;;2;3;2;1;1;;1;;;1;1;27000;2;;.;1;2;;;;;;;;;6;3;3;9;;24;11;245.868.774.082.025
601188;1;3;11;10;2;1;1;12;1998;3;2;;;;2;3;2;1;;2;;;;1;;;1;5;;2;;.;1;1;1;1;0;2000;2;;2;;3;3;;;;9;11;245.868.774.082.025
601188;1;4;11;10;2;2;1;12;2005;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;;;;;;;;;;;;;;;;2;11;245.868.774.082.025
601188;1;5;11;10;5;1;1;9;1975;5;2;;4;;2;4;;2;3;2;;;;1;;;1;3;57700;2;;.;1;2;;;;;;;;;4;7;;;;32;11;245.868.774.082.025
601189;1;1;11;10;1;1;1;1;1973;1;2;;2;;2;2;;3;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;35;11;23.159.716.055.874
601189;1;2;11;10;2;2;1;8;1983;2;2;;2;;2;2;;2;2;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;9;;24;11;23.159.716.055.874
601192;1;1;11;10;1;1;1;10;1957;1;2;;2;;3;2;;3;2;2;2;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;;;50;11;268.622.364.901.896
601192;1;2;11;10;2;2;1;2;1963;2;2;;2;;3;2;;3;2;2;1;1;;1;;;1;3;57700;2;;.;1;2;;;;;;;;;5;11;2;;;45;11;268.622.364.901.896
601192;1;3;11;10;2;1;1;8;1990;3;2;;6;1;1;;2;1;;2;;;;1;;;1;9;;2;;.;1;2;;;;;;;;;5;11;2;3;;17;11;268.622.364.901.896
601192;1;4;11;10;2;1;1;6;1999;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;1;1;2;2;;;1;700000;2;;3;2;;;;8;11;268.622.364.901.896
601193;1;1;11;10;1;1;1;4;1931;1;2;;3;;3;6;;3;6;1;2;1;1;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;76;11;177.591.245.866.527
601193;1;2;11;10;2;1;1;7;1944;2;2;;3;;3;1;;2;1;1;1;1;1;1;;;1;2;60000;2;;.;2;2;;;;;;;;;1;0;;;;63;11;177.591.245.866.527
601194;1;1;11;10;1;2;1;12;1975;1;2;;4;;2;1;;2;2;2;;;;1;;;1;5;;1;;.;1;2;;;;;;;;;4;7;;;;32;11;283.962.543.500.212
601194;1;2;11;10;1;2;1;6;1995;3;2;;6;;2;3;1;1;;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;4;6;;;;12;11;283.962.543.500.212
601194;1;3;11;10;1;2;1;1;2003;3;2;;;;2;3;1;1;;2;;;;1;;;1;5;;2;;.;2;1;1;1;0;1500;2;;2;;2;0;;;;5;11;283.962.543.500.212
601195;1;1;11;10;1;1;1;8;1978;1;2;;2;;2;3;;2;3;1;2;1;3;2;1;4;;;;2;8;LE  QUITARON  EL  SISBEN;1;2;;;;;;;;;5;11;2;;;29;11;303.272.452.295.636
601195;1;2;11;10;2;2;1;11;1981;2;2;;2;;2;3;;2;3;1;1;1;3;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;;;26;11;303.272.452.295.636
601196;1;1;11;10;1;1;1;11;1928;1;2;;3;;3;2;;3;2;2;2;1;;1;;;1;2;57600;2;;.;1;2;;;;;;;;;3;5;;;;79;11;191.634.900.481.679
601196;1;2;11;10;2;2;1;4;1928;2;2;;3;;3;2;;3;2;2;1;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;3;5;;;;79;11;191.634.900.481.679
601196;1;3;11;10;3;2;1;11;1959;3;2;;4;1;1;;2;1;;1;;;1;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;;;48;11;191.634.900.481.679
601196;1;4;11;10;3;2;1;11;2005;4;2;;;;2;3;3;1;;1;;;1;1;;;3;;;2;;.;;;;;;;;;;;;;;;;2;11;191.634.900.481.679
601197;1;1;11;10;1;1;1;8;1937;1;2;;6;;3;1;;3;1;2;;;;2;2;;;;;2;1;;2;2;;;;;;;;;1;0;;;;70;11;177.591.245.866.527
601197;2;1;11;10;1;1;1;10;1952;1;2;;6;;3;1;;2;2;1;;;3;1;;;1;5;;2;;.;1;2;;;;;;;;;4;6;;;;55;11;177.591.245.866.527
601198;1;1;11;10;1;1;1;8;1943;1;2;;3;;3;2;;3;2;2;2;1;;1;;;1;2;205000;2;;.;1;2;;;;;;;;;5;11;2;;;64;11;195.269.640.628.529
601198;1;2;11;10;2;2;1;12;1944;2;2;;3;;3;2;;3;2;2;1;1;;1;;;1;2;70000;2;;.;1;2;;;;;;;;;6;4;3;;;63;11;195.269.640.628.529
601198;1;3;11;10;3;1;1;9;1974;3;2;;6;1;1;;2;1;;2;;;;1;;;1;1;80000;2;;.;1;2;;;;;;;;;6;5;4;;;33;11;195.269.640.628.529
601198;1;4;11;10;4;1;1;11;1983;3;2;;6;1;1;;2;1;;2;;;;1;;;1;3;310000;2;;.;1;1;1;2;;;2;;2;;6;6;4;;;24;11;195.269.640.628.529
601201;1;1;11;10;1;2;1;9;1975;1;2;;4;;2;6;;3;3;1;;;1;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;32;11;258.482.821.549.402
601201;1;2;11;10;1;1;1;5;1994;3;2;;6;;2;3;1;1;;1;;;1;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;6;;;;13;11;258.482.821.549.402
601201;1;3;11;10;1;2;1;6;1996;3;2;;6;;2;3;1;1;;1;;;1;1;;;3;;;2;;.;1;1;1;1;0;300;2;;2;;3;4;;;;11;11;258.482.821.549.402
601201;1;4;11;10;1;2;1;9;2003;3;2;;;;2;3;1;1;;1;;;1;1;;;3;;;2;;.;2;1;1;1;0;2000;2;;2;;2;0;;;;4;11;258.482.821.549.402
