DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5494492;1;2;1;70;08;1;48;1; ;2;1;1; ;8;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1800000;1500000;1;1;82;38;38;1;1;8220;07;08;557,411150056675
5494509;1;1;1;70;08;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;980000; ; ; ;45; ;1;1;   .;07;08;559,357884812012
5494513;1;4;1;70;08;36;48;3; ;2;38;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;38;54;99;1;2;3830;07;08;764,6134225436
5494516;1;4;1;70;08;2;40;1; ;2;2;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;160000;500000;2; ;14;79;79;1;1;1410;07;08;543,608436574892
5494526;1;4;1;70;08;4;40;3; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;500000;2; ;97;54;54;1;1;9700;07;08;572,341338297904
5494532;1;2;1;70;08;10;48;3; ;2;150;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;550000;2; ;97;54;54;1;1;9700;07;08;822,415661065541
5494533;1;2;1;70;08;4;48;1; ;2;4;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;679500;906000;2; ;49;03;03;1;1;4923;07;08;565,258551461912
5494538;1;3;1;70;08;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;900000; ; ; ;45; ;1;1;   .;07;08;785,84651887453
5494547;1;2;1;70;08;36;48;1; ;2;36;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;45;1;2;4761;07;08;676,027958830593
5494550;1;1;1;70;08;4;48;1; ;2;4;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;41;95;95;1;1;4111;07;08;677,97469358593
