Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
304577;2;2;05;70;4;48;1; ;1;1;2;72;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;45;45;5262;52;05;740,712552491204
304577;2;3;05;70;1;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;85; ; ; ;05;740,712552491204
304579;2;2;05;70;4;48;1; ;1;1;2;8;1; ;8;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5215000;1;02;02;2421;24;05;627,549700223155
304582;2;1;05;70;8;50;1; ;1;1;2;2;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;165000;1;885000;1;53;53;5521;55;05;638,713255247223
304582;2;3;05;70;4;48;1; ;1;1;2;48;1; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;79;79;1810;18;05;638,713255247223
304583;2;2;05;70;8;48;1; ;1;1;2;8;1; ;4;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3400000;1;45;97;1810;18;05;744,448687586481
304586;2;3;05;70;4;48;1; ;2;2;2;16;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;95;4521;45;05;740,712552491204
304588;2;3;05;70;1;48;1; ;2;2;2;1;1; ;9;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;600000;1;7800000;1;32;32;6421;64;05;646,748681387099
304595;2;2;05;70;29;48;1; ;2;2;2;30;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;8000000;1;19;39;4010;40;05;796,819800596055
304598;2;3;05;70;52;48;1; ;2;2;2;52;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;37;5521;55;05;732,883286768541
304602;2;5;05;70;52;48;1; ;1;1;2;52;1; ;3;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;77;77;5223;52;05;819,53793304953
304612;2;2;05;70;16;48;1; ;1;1;2;16;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;99;1;84;84;5020;50;05;839,057625961517
304615;2;6;05;70;48;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;84; ; ; ;05;663,376753760169
304622;2;6;05;70;48;48;1; ;1;1;2;1;1; ;8;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;480000;1;2000000;1;97;97;5241;52;05;728,766143072354
304623;2;4;05;70;48;48;1; ;1;1;2;400;4; ;1;2;2; ;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;54;9500;95;05;1025,66659211071
304629;2;2;08;70;52;50;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;08;341,714674694002
304650;2;7;08;70;52;48;1; ;2;2;2;104;1; ;6;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;42;5244;52;08;612,860762847894
304656;2;2;08;70;4;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;02; ; ; ;08;375,03236788632
304658;2;2;08;70;4;48;1; ;1;1;2;4;1; ;4;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;1;3000000;1;13;13;8012;80;08;230,870357925726
304661;2;2;08;70;21;48;1; ;1;1;2;21;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;99;1;15;41;5269;52;08;294,012113163254
304662;2;3;08;70;52;48;1; ;1;1;2;52;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;37;4010;40;08;507,406961159118
304666;2;3;08;70;16;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;34; ; ; ;08;606,288245874045
304666;2;4;08;70;24;48;1; ;1;1;2;24;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;99;1;33;33;5211;52;08;606,288245874045
304666;2;5;08;70;102;48;1; ;1;1;2;102;1; ;9;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;44;6421;64;08;606,288245874045
304693;2;2;08;70;4;24;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;383,572324084271
304693;2;8;08;70;4;48;1; ;1;1;2;4;1; ;3;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;53;5521;55;08;383,572324084271
304693;2;10;08;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;08;383,572324084271
304695;2;2;08;70;28;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;02; ; ; ;08;502,083821062626
304695;2;3;08;70;19;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;07; ; ; ;08;502,083821062626
304713;2;1;08;70;60;48;1; ;1;1;2;222;1; ;6;1; ;.;2; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;33;33;5233;52;08;484,044256119852
304714;2;5;08;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;32; ; ; ;08;464,855802918579
304738;2;2;08;70;32;48;4; ;1;1;2;32;3; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;55;54;9500;95;08;397,667032870077
304741;2;2;08;70;24;48;1; ;1;1;2;36;2; ;6;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;11;11;7512;75;08;524,718486046383
304745;2;1;08;70;24;48;1; ;1;1;2;24;4; ;1;2;3; ;2; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;39;45;5211;52;08;447,965126234305
304747;2;2;08;70;12;48;1; ;1;1;2;52;1; ;4;1; ;.;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;8060;80;08;376,291557337874
304749;2;2;08;70;250;48;1; ;1;1;2;250;2; ;7;2;2; ;2; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;12;12;8511;85;08;488,639356160835
304751;2;2;08;70;5;48;4; ;1;1;2;5;4; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;1;20000;1;260000;1;56;56;9500;95;08;502,083821062626
304753;2;1;08;70;12;48;1; ;1;1;2;12;4; ;1;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;98;6031;60;08;518,353916253942
304760;2;5;08;70;8;48;1; ;1;1;2;8;1; ;5;1; ;.;6; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;2; ;1;44;44;6601;66;08;435,402267547332
304767;2;2;08;70;16;48;1; ;2;2;2;52;1; ;9;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;08;572,165419229746
304768;2;2;08;70;130;48;1; ;1;1;2;30;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;54;9500;95;08;533,908686128349
304769;2;2;08;70;144;48;1; ;2;2;2;48;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;04;32;1810;18;08;534,252625996445
304770;2;3;08;70;3;48;1; ;1;1;2;3;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;02;02;7010;70;08;452,944511524277
304770;2;5;08;70;3;48;1; ;2;2;2;12;1; ;7;1; ;.;9;COTIZANTE;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;3500000;1;33;33;5030;50;08;452,944511524277
304771;2;2;08;70;48;48;1; ;2;2;2;56;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;45;5261;52;08;466,004691177078
304771;2;4;08;70;54;48;1; ;2;2;2;48;1; ;8;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;1;03;03;2529;25;08;466,004691177078
304778;2;2;08;70;4;48;1; ;1;1;2;4;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;4860000;1;45;45;1810;18;08;541,288553364519
304783;2;4;08;70;52;48;1; ;1;1;2;52;6; ;4;2;11; ;4; ;2;11;FAMILIAR SIN REMUNERACION; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;3611;36;08;466,732731232587
304797;2;2;08;70;142;30;1; ;1;1;2;384;1; ;8;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;5241;52;08;548,38186598749
304798;2;2;08;70;48;48;1; ;2;2;2;48;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;07;07;8511;85;08;534,252625996445
304799;2;1;08;70;48;48;1; ;1;1;2;96;1; ;2;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;40;5244;52;08;425,197472796658
