Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304229;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;142,767101140051
304231;2;1;80;1;3;3; ;2; ; ; ; ; ;1;20;20;100,328126189104
304232;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;124,284518229024
304232;2;5;80;1;1;1; ;2; ; ; ; ; ;1;20;20;124,284518229024
304233;2;1;80;1;4;2; ;2; ; ; ; ; ;1;20;20;107,018634902266
304233;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;107,018634902266
304234;3;2;80;1;1;2; ;2; ; ; ; ; ;1;20;20;194,802977388898
304234;3;6;80;1;1;3; ;2; ; ; ; ; ;1;20;20;194,802977388898
304235;2;2;80;1;2;2; ;2; ; ; ; ; ;1;20;20;141,020691972101
304235;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;141,020691972101
304236;2;1;80;1;2;3; ;2; ; ; ; ; ;1;20;20;131,480315425619
304236;2;2;80;1;4;3; ;2; ; ; ; ; ;1;20;20;131,480315425619
304236;2;3;80;1;3;3; ;2; ; ; ; ; ;1;20;20;131,480315425619
304237;2;1;80;1;1;7; ;2; ; ; ; ; ;1;20;20;96,3476077074617
304237;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;96,3476077074617
304237;2;5;80;2; ; ; ; ; ; ; ; ; ;1;20;20;96,3476077074617
304239;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;140,059228414869
304239;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;140,059228414869
304239;2;5;80;2; ; ; ; ; ; ; ; ; ;1;20;20;140,059228414869
304240;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;93,0733390984073
304241;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;109,986134887441
304242;2;1;80;2; ; ; ; ; ; ; ; ; ;1;27;27;40,1375648873535
304242;2;3;80;2; ; ; ; ; ; ; ; ; ;1;27;27;40,1375648873535
304242;2;4;80;2; ; ; ; ; ; ; ; ; ;1;27;27;40,1375648873535
304243;2;2;80;2; ; ; ; ; ; ; ; ; ;1;27;27;63,5960603077058
304244;2;2;80;1;1;3; ;2; ; ; ; ; ;1;27;27;38,1030570048626
304244;2;4;80;2; ; ; ; ; ; ; ; ; ;1;27;27;38,1030570048626
304248;2;5;80;2; ; ; ; ; ; ; ; ; ;1;27;27;53,2404980882094
304248;2;6;80;2; ; ; ; ; ; ; ; ; ;1;27;27;53,2404980882094
304249;2;2;80;2; ; ; ; ; ; ; ; ; ;1;27;27;51,5320177239892
304249;2;3;80;2; ; ; ; ; ; ; ; ; ;1;27;27;51,5320177239892
304252;2;1;80;1;4;4; ;3; ; ; ; ; ;1;41;41;106,795981397021
304252;2;2;80;1;4;2; ;2; ; ; ; ; ;1;41;41;106,795981397021
304253;2;3;80;2; ; ; ; ; ; ; ; ; ;1;41;41;110,754482546346
304254;2;1;80;1;3;3; ;2; ; ; ; ; ;1;41;41;125,888695497385
304257;2;3;80;2; ; ; ; ; ; ; ; ; ;1;41;41;147,41371370297
304257;2;4;80;2; ; ; ; ; ; ; ; ; ;1;41;41;147,41371370297
304259;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;244,087780659591
304260;2;2;80;1;3;2; ;2; ; ; ; ; ;1;47;47;267,196533222368
304261;2;6;80;1;1;2; ;2; ; ; ; ; ;1;47;47;282,412501893945
304262;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;290,074663602719
304262;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;290,074663602719
304263;2;6;80;1;4;2; ;2; ; ; ; ; ;1;47;47;253,47424211872
304264;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;111,210573287603
304264;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;111,210573287603
304264;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;111,210573287603
304266;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;115,091301017073
304267;2;2;80;1;3;2; ;2; ; ; ; ; ;1;47;47;133,534998810755
304268;2;1;80;1;4;3; ;2; ; ; ; ; ;1;47;47;108,790483422771
