Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
304161;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;213,655989621144
304161;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;213,655989621144
304161;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;213,655989621144
304161;2;5;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;213,655989621144
304162;2;1;50;1;6;descanso;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;176,118074967553
304162;2;2;50;2;6;REZAR;2;2;2;2; ; ;1;12; ; ; ; ; ; ;1;17;17;176,118074967553
304162;2;3;50;1;6;paseo;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;176,118074967553
304163;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;214,478102161125
304163;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;214,478102161125
304163;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;214,478102161125
304163;2;5;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;214,478102161125
304164;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304164;2;2;50;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304164;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304165;2;1;50;1;6;VACACIONES;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;168,368898139239
304165;2;2;50;2;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;168,368898139239
304167;2;1;50;1;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;2;3;50;2;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;2;50;2;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;4;50;4;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;6;50;6;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;7;50;1;6;VACACIONES;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;4;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;143,964090345365
304168;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;249,023703495825
304168;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;249,023703495825
304168;2;3;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;249,023703495825
304168;2;4;50;4;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;17;17;249,023703495825
304168;2;5;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;249,023703495825
304169;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;228,305273843412
304169;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;228,305273843412
304170;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;172,29420985812
304170;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;172,29420985812
304171;2;1;50;1;2; ;2;2;2;1;5; ; ; ; ; ; ; ; ;1;1;17;17;193,296460022351
304172;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304172;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304172;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;178,073077453713
304173;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;154,308739710087
304173;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;154,308739710087
304174;2;1;50;1;6;CAMINAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;172,29420985812
304174;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;172,29420985812
304175;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;169,807093366716
304175;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;169,807093366716
304175;2;3;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;169,807093366716
