DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
581246;1;2;1;6;;2;4;5;1;;;3500000;5000;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;1;25;1;206.280.941.683.549
581249;1;2;2;6;;4;1;5;3;;;;;20000;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;6;1;1;2;2;2;1;2;;1;1;2;1;25;1;218.145.523.701.548
581250;1;3;3;6;;4;1;5;4;;;;20000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;1;2;;2;1;2;1;25;1;232.255.087.021.426
581251;1;2;1;6;;4;1;5;1;;;2000000;20000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;1;2;;1;1;2;1;25;1;219.487.474.125.715
581252;1;2;2;6;;4;1;5;1;;;5000000;30000;;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;1;2;;1;1;2;1;25;1;183.268.678.759.213
581253;1;3;2;6;;1;1;5;4;;;;30000;;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;6;1;1;2;2;1;1;2;1;1;1;2;1;25;1;237.819.842.279.038
581254;1;5;2;6;;4;4;5;1;;;5000000;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;;;1;2;1;25;1;181.385.621.676.325
581255;1;5;1;3;1;4;6;5;4;;;;50000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;;;;1;2;1;25;1;206.280.941.683.549
581256;1;1;1;3;1;4;6;4;4;;;;40000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;2;2;2;2;2;2;;;;1;2;1;25;1;1.620.187.471.669
581257;1;5;5;6;;4;4;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;3;25;1;230.170.344.605.371
