DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5080409;1;1;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;4;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080410;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080410;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080410;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080411;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;3;1;90;2; ;1;21;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080412;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2930,81153348419
5080412;1;2;1;90;2; ;1;40;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2930,81153348419
5080413;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080413;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080413;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080414;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1022,02019899307
5080415;1;1;1;90;2; ;1;14;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1260,71214439558
5080415;1;2;1;90;2; ;1;14;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1260,71214439558
5080416;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1211,01553631507
5080417;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1192,97252923148
5080417;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1192,97252923148
5080417;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2; ;05;12;05;1192,97252923148
5080417;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1192,97252923148
5080418;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1588,42008327672
5080418;1;2;1;90;2; ;1;14;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1588,42008327672
5080419;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2112,03704409812
5080419;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2112,03704409812
5080421;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1875,58040192588
5080421;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1875,58040192588
5080421;2;1;2;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1875,58040192588
5080422;1;1;1;90;2; ;1;30;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;12;05;734,077164087453
5080422;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;734,077164087453
5080422;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;734,077164087453
5080422;1;4;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;734,077164087453
5080423;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,378420027738
5080423;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,378420027738
5080423;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;05;12;05;700,378420027738
5080423;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,378420027738
5080423;1;5;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,378420027738
5080424;1;1;1;90;2; ;2; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1726,59893479334
5080424;1;2;1;90;2; ;1;14;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1726,59893479334
5080425;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1874,32568416664
5080425;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1874,32568416664
5080426;1;1;1;90;2; ;1;4;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080426;1;2;1;90;2; ;1;24;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080426;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080426;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080426;1;5;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080426;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;799,709217627823
5080428;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1639,12375975365
5080428;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;1;12;2; ;2; ;05;12;05;1639,12375975365
5080428;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;1;16;2; ;2; ;05;12;05;1639,12375975365
5080428;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;1;19;2; ;2; ;05;12;05;1639,12375975365
5080429;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1041,30082249556
5080429;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;1;15;2; ;2; ;2; ;05;12;05;1041,30082249556
5080429;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1041,30082249556
5080430;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1022,02019899307
5080431;1;1;1;90;2; ;1;28;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;12;05;1175,29985007964
5080431;1;2;1;90;2; ;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;05;12;05;1175,29985007964
5080431;1;3;1;90;2; ;1;10;2; ;1;2;2; ;2; ;2; ;2; ;2; ;1;3;05;12;05;1175,29985007964
5080431;1;5;1;90;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1175,29985007964
