DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2666274,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.046.861.286.054
2666274,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.046.861.286.054
2666274,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.046.861.286.054
2666276,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,225.628.041.361.336
2666276,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,225.628.041.361.336
2666277,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,198.467.458.914.753
2666278,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,256.431.349.022.802
2666279,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,262.780.661.648.726
2666279,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,262.780.661.648.726
2666279,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,262.780.661.648.726
2666283,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,10.881.918.864.564
2666283,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,10.881.918.864.564
2666283,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,10.881.918.864.564
2666284,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,111.728.463.330.933
2666284,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,111.728.463.330.933
2666286,1,1,1,95,2,,,,,,,,1,1,2,,,,210000,600000,2,1,2,,2,2,4,73,101.902.799.200.487
2666286,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,101.902.799.200.487
2666287,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,131.230.551.160.204
2666287,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,131.230.551.160.204
2666287,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,131.230.551.160.204
2666287,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,131.230.551.160.204
2666457,1,1,1,95,2,,,,,,,,1,2,2,,,,,300000,2,1,2,,2,2,4,19,260.605.511.420.579
2666457,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,260.605.511.420.579
2666458,1,1,1,95,2,,,,,,,,1,2,2,,,,,500000,2,1,2,,2,2,4,19,10.838.952.954.442
2666458,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,10.838.952.954.442
2666459,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666459,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666459,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666459,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666459,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666459,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,686.708.901.974.708
2666460,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,874.725.895.513.975
2666460,1,2,1,95,2,,,,,,,,1,1,2,,,,360000,,2,2,2,,2,2,4,19,874.725.895.513.975
2666460,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,874.725.895.513.975
2666461,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,121.575.122.699.622
2666461,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,121.575.122.699.622
2666462,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,114.984.791.352.054
2666462,1,2,1,95,2,,,,,,,,1,1,2,,,,720000,,2,2,2,,2,2,4,19,114.984.791.352.054
2666462,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,114.984.791.352.054
2666463,1,1,1,95,2,,,,,,,,1,1,2,,,,480000,,2,2,2,,2,2,4,19,938.723.735.657.094
2666463,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,938.723.735.657.094
2666464,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,122.371.255.260.458
2666464,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,122.371.255.260.458
2666464,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,122.371.255.260.458
2666464,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,122.371.255.260.458
2666464,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,122.371.255.260.458
2666465,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,145.845.771.564.811
2666465,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,145.845.771.564.811
2666466,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,730.174.380.296.218
2666466,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,,2,2,2,,2,2,4,19,730.174.380.296.218
2666467,1,1,1,95,2,,,,,,,,1,1,2,,,,1200000,,2,2,2,,2,2,4,19,600.016.841.808.623
2666467,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,600.016.841.808.623
2666467,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,600.016.841.808.623
2666467,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,600.016.841.808.623
2666467,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,600.016.841.808.623
2666468,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,219.922.718.107.041
2666468,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,219.922.718.107.041
2666468,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,219.922.718.107.041
2666468,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,219.922.718.107.041
2666469,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,881.635.309.694.975
2666469,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,881.635.309.694.975
2666469,1,3,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,2,4,19,881.635.309.694.975
2666469,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,881.635.309.694.975
2666470,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,737.164.886.510.693
2666470,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,737.164.886.510.693
2666470,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,737.164.886.510.693
2666471,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,920.683.280.475.785
2666471,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,920.683.280.475.785
2666471,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,920.683.280.475.785
2666471,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,920.683.280.475.785
2666471,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,920.683.280.475.785
2666478,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666478,1,2,1,95,2,,,,,,,,1,1,2,,,,850000,,2,2,2,,2,2,4,19,124.360.596.730.004
2666478,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666478,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666478,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666478,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666478,2,2,2,95,2,,,,,,,,1,1,2,,,,360000,,2,2,2,,2,2,4,19,124.360.596.730.004
2666478,2,3,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,124.360.596.730.004
2666479,1,1,1,95,2,,,,,,,,1,1,2,,,,240000,1200000,2,1,2,,2,2,4,19,13.469.072.677.836
2666479,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,13.469.072.677.836
2666480,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,632.577.261.954.761
2666480,1,2,1,95,2,,,,,,,,1,1,2,,,,480000,,2,2,2,,2,2,4,19,632.577.261.954.761
2666480,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,632.577.261.954.761
2666481,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,2,1,95,2,,,,,,,,1,1,2,,,,1200000,,2,2,2,,2,2,4,19,151.202.589.594.085
2666481,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666481,1,10,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,151.202.589.594.085
2666482,1,1,1,95,2,,,,,,,,1,1,2,,,,1020000,,2,2,2,,2,2,4,19,614.536.806.773.452
2666482,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,614.536.806.773.452
2666482,1,3,1,95,2,,,,,,,,1,1,2,,,,360000,,2,2,2,,2,2,4,19,614.536.806.773.452
2666482,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,614.536.806.773.452
2666482,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,614.536.806.773.452
2666482,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,614.536.806.773.452
2666483,1,1,1,95,2,,,,,,,,1,1,2,,,,1220000,,2,2,2,,2,2,4,19,972.756.321.495.612
2666484,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,776.131.765.258.028
2666484,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,776.131.765.258.028
2666484,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,776.131.765.258.028
2666484,1,4,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,2,4,19,776.131.765.258.028
2666485,1,1,1,95,1,,2,1,,483000,,2,2,,,,,,,,,,,,,2,4,19,450.188.450.739.556
2666485,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,450.188.450.739.556
2666485,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,450.188.450.739.556
2666485,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,450.188.450.739.556
2666485,2,2,2,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,2,4,19,450.188.450.739.556
2666486,1,1,1,95,2,,,,,,,,1,1,2,,,,720000,,2,2,2,,2,2,4,19,704.749.357.156.017
2666486,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,704.749.357.156.017
2666486,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,704.749.357.156.017
