Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;DSI;Dpto;Fex_c_2011
425746;1;3;70;1;42;8; ;1;1;2;1;8; ;3;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0111;01;1;41;925,20405607885
425819;1;4;70;2;40;1; ;1;1;2;24;1; ;9;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2900000;2;45;33;5521;55;1;41;977,577058487291
425825;1;2;70;2;45;4; ;1;1;2;2;8; ;4;2;3; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;820000;2;62;62;0111;01;1;41;937,485186852037
425827;1;2;70;16;40;1; ;2;2;2;24;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2600000;2;84;73;5241;52;1;41;1086,64869346883
425828;1;3;70;8;40;1; ;1;1;2;24;1; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;84;63;5141;51;1;41;955,782387156314
426194;1;3;70;12;8;1; ;1;1;2;16;1; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;900000;2;38;38;6421;64;1;47;1044,08309124984
426206;1;3;70;12;8;4; ;1;1;2;12;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;540000;2;54;54;9500;95;1;47;1784,55120016478
426407;1;3;70;12;8;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;1;47;1512,3484082729
426673;1;1;70;5;70;1; ;2;2;2;5;8; ;1;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;430000;2;62;62;0140;01;1;47;1651,57661306506
426678;1;1;70;12;40;3; ;1;1;2;13;4; ;1;2;10; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;54;54;5529;55;1;47;2156,76366793677
428367;1;3;70;12;40;8; ;1;1;2;12;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;480000;2;62;62;0118;01;1;73;1998,51740725182
428367;1;4;70;6;48;8; ;1;1;2;8;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;62;62;0115;01;1;73;1998,51740725182
428470;1;2;70;48;56;1; ;1;1;2;48;1; ;2;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5239;52;1;73;1570,99871133837
428470;1;3;70;8;48;1; ;1;1;2;12;1; ;7;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;32;32;1541;15;1;73;1570,99871133837
428470;1;4;70;2;56;1; ;1;1;2;6;1; ;3;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;95;95;4521;45;1;73;1570,99871133837
428614;1;3;70;1;48;1; ;1;1;2;96;1; ;8;2;5; ;6; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;32;32;1541;15;1;73;1925,97516729313
429320;1;2;70;4;48;1; ;2;2;2;104;1; ;6;2;4; ;7; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;97;2102;21;1;76;2842,929234642
429810;1;3;70;8;50;1; ;1;1;2;8;8; ;9;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;62;62;0117;01;1;76;2157,00223738765
429911;1;3;70;2;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;76;3632,81135989593
434744;1;3;70;16;40;8; ;1;1;2;4;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;2;62;62;0121;01;1;18;364,075109470485
434755;1;3;70;4;40;8; ;1;1;2;4;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;62;62;0121;01;1;18;361,935951914565
434758;1;3;70;40;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;383,657686966148
434773;1;3;70;16;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;370,314300612379
434805;1;3;70;60;40;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;18;376,712356785872
434808;1;3;70;4;40;3; ;1;2;2;4;3; ;2;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;54;54;9500;95;1;18;356,731616633823
434917;1;3;70;2;8;3; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;494,390243275438
435021;1;3;70;4;40;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;18;377,6188417374
435061;1;3;70;4;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;18;349,762741135614
435144;1;2;70;8;48;8; ;1;1;2;12;8; ;1;2;8; ;7; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;62;62;0121;01;1;18;352,651118265224
435168;1;5;70;6;70;8; ;1;2;2;8;8; ;2;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;62;62;0121;01;1;18;397,240370944704
435170;1;1;70;6;56;4; ;1;1;2;12;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;2;98;62;0121;01;1;18;368,154402615686
435203;1;1;70;6;48;4; ;1;1;2;8;3; ;3;2;7; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;280000;1;650000;2;54;54;9500;95;1;18;382,528758518077
435258;1;3;70;3;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;363,833006968539
435349;1;3;70;5;40;4; ;1;1;2;6;4; ;2;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;61;61;0121;01;1;18;427,420653532488
435366;1;2;70;20;40;4; ;1;1;2;20;4; ;2;2;2; ;4; ;2;9; ; ; ; ; ; ; ;1; ; ; ;2; ;1;2100000;2;61;61;0113;01;1;18;342,637805482965
435528;1;3;70;15;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;346,30316619577
435535;1;2;70;8;50;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;353,489024326136
