DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,FEX_C,CLASE,MES,DPTO,FEX_C_2011
2642687,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,992.256.215.656.998,2,3,18,103.456.401.800.748
2642688,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,782.455.346.647.399,2,3,18,910.529.640.612.524
2642688,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,782.455.346.647.399,2,3,18,910.529.640.612.524
2642689,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,129.243.747.578.593,2,3,18,125.745.174.265.239
2642690,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,108.819.847.439.242,2,3,18,105.371.135.046.986
2642690,1,2,1,95,2,,,,,,,,1,1,2,,,,325000,,2,2,2,,2,108.819.847.439.242,2,3,18,105.371.135.046.986
2642690,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,108.819.847.439.242,2,3,18,105.371.135.046.986
2642691,1,1,1,95,2,,,,,,,,1,2,2,,,,,2400000,2,1,2,,2,100.987.914.944.425,2,3,18,116.675.006.474.932
2642691,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,100.987.914.944.425,2,3,18,116.675.006.474.932
2642691,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,100.987.914.944.425,2,3,18,116.675.006.474.932
2642692,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,985.798.158.696.391,2,3,18,105.463.770.248.386
2642692,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,985.798.158.696.391,2,3,18,105.463.770.248.386
2642709,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,96.466.933.835.041,2,3,18,105.284.787.915.394
2642709,1,2,1,95,2,,,,,,,,1,1,2,,,,915000,,2,2,2,,2,96.466.933.835.041,2,3,18,105.284.787.915.394
2642710,1,1,1,95,2,,,,,,,,1,2,2,,,,,1200000,2,1,2,,2,801.966.466.926.551,2,3,18,878.276.875.070.958
2642710,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,801.966.466.926.551,2,3,18,878.276.875.070.958
2642710,1,3,1,95,2,,,,,,,,1,1,2,,,,360000,,2,2,2,,2,801.966.466.926.551,2,3,18,878.276.875.070.958
2642710,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,801.966.466.926.551,2,3,18,878.276.875.070.958
2642711,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,96.466.933.835.041,2,3,18,105.284.787.915.394
2642711,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,96.466.933.835.041,2,3,18,105.284.787.915.394
2642712,1,1,1,95,2,,,,,,,,1,1,2,,,,400000,,2,2,2,,2,96.466.933.835.041,2,3,18,105.284.787.915.394
2642712,1,2,1,95,2,,,,,,,,1,1,2,,,,400000,,2,2,2,,2,96.466.933.835.041,2,3,18,105.284.787.915.394
2644457,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,182.307.833.162.776,2,3,63,171.249.729.159.231
2644457,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,182.307.833.162.776,2,3,63,171.249.729.159.231
2644457,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,182.307.833.162.776,2,3,63,171.249.729.159.231
2644458,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2644458,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2644459,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,221.926.791.599.457,2,3,63,201.060.791.583.818
2644459,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,221.926.791.599.457,2,3,63,201.060.791.583.818
2644459,1,3,1,95,2,,,,,,,,1,2,1,,270000,,,,2,2,2,,2,221.926.791.599.457,2,3,63,201.060.791.583.818
2644460,1,1,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,12.086.793.135.727,2,3,63,131.958.920.867.922
