Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3246883;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;248,759873247587;73
3246887;1;3;1;80;1;1;1;1; ;2; ;2; ; ; ; ;2;2;1;07;18;60,9863026042961;18
3246888;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;54,6973060834178;18
3246889;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;71,4295155060269;18
3246889;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;71,4295155060269;18
3246891;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;56,3006655692616;18
3246893;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;18;195,968188251441;18
3246893;1;2;1;80;1;1;1;3; ;2; ;2; ; ; ; ;8;2;1;07;18;195,968188251441;18
3246894;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;18;67,5188656889024;18
3246894;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;67,5188656889024;18
3246894;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;67,5188656889024;18
3246895;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;37,0558010267657;18
