DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2259871;1;5;4;1;1;1;1;1;3;1; ; ;90000000;700000; ;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;197,82680543567
2259872;1;5;4;1;1;1;1;1;3;1; ; ;80000000;800000; ;1;2;1;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;139,575785343299
2259873;1;3;2;1;1;1;1;3;3;3; ; ; ; ;220000;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;41;1;41;100,661915499334
2259874;1;4;1;1;1;1;1;1;3;1; ; ;22000000;200000; ;1;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;3;1;1;1;2;1;1;1;1;1;2;3;1;01;1;04;41;1;41;104,567626295055
2259875;1;2;2;1;1;1;1;1;4;5; ; ; ;80000; ;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;1;1;4;1;1;1;2;1;2;1;1;1;1;2;2;01;1;04;47;1;47;174,81845367712
2259876;1;4;2;1;1;1;1;1;3;5; ; ; ;150000; ;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;5;2;2; ;5;1;2;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;92,3196022476837
2259878;1;2;1;1;1;1;2;1;4;3; ; ; ; ;60000;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;1;1;2;1;2;1;1;2;1;2; ;01;1;04;47;1;47;171,315239156991
2259879;1;5;4;1;1;1;1;1;3;1; ; ;70000000;400000; ;1;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;5;2;2; ;6;1;1;1;5;1;1;1;1;1;4;2;1;01;1;04;47;1;47;100,005401941219
2259880;1;5;2;1;1;1;1;1;3;1; ; ;130000000;400000; ;1;2;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;4;2;1;01;1;04;47;1;47;121,712418880397
2259881;1;4;3;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;2;2;1;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;04;47;1;47;126,344420603611
