DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
526244;1;2;70;52;48;1; ;1;1;2;18;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;1000000;1;45;36;6021;60;1;13;13;223,93995359324
526247;1;6;70;52;48;1; ;1;1;2;54;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;1551;15;1;13;13;286,452794632101
526273;1;1;70;54;48;4; ;1;1;2;136;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;1;45;41;5211;52;1;13;13;256,153420030744
526289;1;6;70;12;48;1; ;1;1;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;97;1581;15;1;13;13;283,473006302402
526290;1;2;70;16;40;4; ;1;1;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;1;55;55;7493;74;1;13;13;485,377432859653
526291;1;3;70;4;48;1; ;1;1;2;4;2; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;8500000;1;09;30;7512;75;1;13;13;931,391564027805
526295;1;6;70;52;48;4; ;1;1;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;51;45;5262;52;1;13;13;455,89994910972
526296;1;2;70;208;48;1; ;1;1;2;520;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;1594;15;1;13;13;239,042695444548
526301;1;3;70;26;60;3; ;1;1;2;26;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;1;54;54;9500;95;1;13;13;259,815059068928
526301;1;6;70;40;60;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;54; ; ; ;1;13;13;259,815059068928
526304;1;3;70;78;48;1; ;1;1;2;76;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;30;8511;85;1;13;13;216,463869375187
526313;1;3;70;36;48;1; ;2;2;2;260;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;58;7522;75;1;13;13;277,653890165667
526323;1;3;70;52;48;1; ;2;2;2;5;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;1200000;1;2600000;1;85;59;7512;75;1;13;13;273,855698360802
526327;1;1;70;52;48;1; ;2;2;2;72;2; ;9;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;39;32;9241;92;1;13;13;199,116074553383
526330;1;2;70;156;48;1; ;2;2;2;156;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;99;77;1521;15;1;13;13;264,665706991251
526345;1;2;70;36;48;1; ;1;1;2;36;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5234;52;1;13;13;458,067526976263
526365;1;3;70;20;48;1; ;1;1;2;24;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;15000000;1;04;04;6111;61;1;13;13;254,229137797401
526367;1;3;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;13;13;236,090429938588
526372;1;7;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;13;13;230,332055029747
526373;1;12;70;20;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;13;13;168,412411153199
526375;1;2;70;12;48;1; ;1;1;2;16;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4337000;1;45;45;5233;52;1;13;13;218,113496235758
526376;1;2;70;32;48;1; ;2;2;2;32;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;1;83;83;1110;11;1;13;13;238,223754857683
526390;1;4;70;52;40;1; ;1;1;2;52;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;1;08;85;5272;52;1;13;13;268,597654298433
526390;1;5;70;52;20;1; ;1;1;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;1;45;45;5233;52;1;13;13;268,597654298433
526392;2;2;70;48;40;1; ;1;1;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;50000;1;84;84;5020;50;1;13;13;268,864090201368
526402;1;1;70;8;40;1; ;1;1;2;36;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;32;34;7512;75;1;13;13;255,716990501989
526405;1;2;70;12;40;1; ;1;1;2;204;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;200000;1;32;32;5127;51;1;13;13;520,696146667778
526408;1;2;70;104;40;1; ;2;2;2;156;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;1;59;59;5231;52;1;13;13;267,404739784345
526415;1;2;70;52;48;1; ;1;1;2;104;1; ;9;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;45;45;5211;52;1;13;13;239,042695444548
526417;1;1;70;156;48;1; ;1;1;2;156;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;77;77;1512;15;1;13;13;222,529459262514
526425;1;5;70;8;48;4; ;2;2;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;84;95;4521;45;1;13;13;254,998364460572
526425;1;15;70;12;40;1; ;1;1;2;12;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;8045;80;1;13;13;254,998364460572
526432;1;3;70;8;48;1; ;2;2;2;8;1; ;5;7; ; ; ; ; ; ; ;1; ; ; ;2; ;1;433800;1;81;81;3619;36;1;13;13;511,828575001799
526433;1;2;70;104;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;13;13;470,511742597636
526446;2;1;70;2;48;1; ;1;1;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;350000;1;2700000;1;95;95;4521;45;1;15;15;63,0393894171313
526451;1;2;70;2;30;1; ;1;2;2;96;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;45;5125;51;1;15;15;93,8386266736279
526452;1;2;70;96;48;5; ;2;2;2;96;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;41;95;4521;45;1;15;15;72,9858404299131
526455;1;2;70;60;48;1; ;1;1;2;192;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;54;9500;95;1;15;15;79,2744522170047
526456;1;2;70;6;48;1; ;2;2;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;9900000;1;33;33;7412;74;1;15;15;60,6326136138638
526462;1;2;70;1;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;59; ; ; ;1;15;15;74,0627019700068
526473;1;4;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;44; ; ; ;1;15;15;70,4711276354381
526475;1;2;70;144;60;1; ;1;1;2;192;1; ;9;1; ; ; ; ; ; ; ; ;1; ;YA COTIZO PARA PENSION;2; ;2; ;1;32;32;8050;80;1;15;15;69,077343892192
