Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396285;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;586,455841042565
396285;1;4;05;80;1;2;0; ;2; ; ; ; ; ;1;05;586,455841042565
396287;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;731,274624991921
396287;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,274624991921
396287;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,274624991921
396289;1;1;05;80;1;2;4; ;3; ; ; ; ; ;1;05;693,846902289696
396292;1;1;05;80;1;1;4; ;3; ; ; ; ; ;1;05;821,38801321058
396292;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;821,38801321058
396297;1;1;05;80;1;3;4; ;3; ; ; ; ; ;1;05;693,846902289696
396298;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;607,965188674521
396300;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;574,779850418844
396300;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;574,779850418844
396300;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;574,779850418844
396302;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;651,59672378988
396304;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;817,156338607096
396309;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;680,252524087623
396309;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;680,252524087623
396314;1;1;05;80;1;4;8;EDAD;2; ; ; ; ; ;1;05;644,65304433606
396314;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,65304433606
396317;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;515,139795605527
396317;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;515,139795605527
396317;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;515,139795605527
396317;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;515,139795605527
396319;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;818,164319310883
396319;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;818,164319310883
396322;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;932,021645684228
396331;1;2;05;80;1;4;2; ;1;2;2; ;2; ;1;05;857,968979811874
396331;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;857,968979811874
396335;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;881,188386179869
396337;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;859,707688271323
396340;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;694,894814505943
396340;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;694,894814505943
396343;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;656,386906352587
396343;2;1;05;80;1;2;3; ;2; ; ; ; ; ;1;05;656,386906352587
396343;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;656,386906352587
396347;1;1;05;80;1;1;8;DESPLAZADO;2; ; ; ; ; ;1;05;799,581330246127
396349;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;774,935381776675
396349;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;774,935381776675
396351;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;693,846902289696
396354;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;847,319439723874
396356;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1112,78929739841
396361;1;1;05;80;1;4;2; ;1;4;2; ;2; ;1;05;709,07442410596
396364;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;675,09507883586
396365;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;561,66249640704
396365;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;561,66249640704
396370;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;910,33672652055
396370;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;910,33672652055
396372;1;3;05;80;1;1;5; ;2; ; ; ; ; ;1;05;840,203525178653
396374;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;628,779015330045
396374;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;628,779015330045
396374;1;4;05;80;1;1;8;TEMPORADA;2; ; ; ; ; ;1;05;628,779015330045
396374;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;628,779015330045
396378;1;2;05;80;1;1;2; ;2; ; ; ; ; ;1;05;805,590024783823
396382;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;702,810316117095
396382;1;5;05;80;1;4;4; ;3; ; ; ; ; ;1;05;702,810316117095
396385;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;639,892083442749
396385;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;639,892083442749
396387;1;1;05;80;1;1;2; ;2; ; ; ; ; ;1;05;811,315192262653
396387;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;811,315192262653
396387;1;3;05;80;1;2;7; ;2; ; ; ; ; ;1;05;811,315192262653
396391;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;684,967194093025
396395;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;799,168022821911
396398;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;693,846902289696
396400;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;419,304338338605
396404;1;1;05;80;1;2;8;SE LE ACABO LA LICITACION DE UNA TIENDA DE UNA ESCUELA;2; ; ; ; ; ;1;05;652,943117798238
396404;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;652,943117798238
396412;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;817,156338607096
396413;1;2;05;80;1;4;6; ;2; ; ; ; ; ;1;05;698,060637012834
396416;1;2;05;80;1;3;7; ;2; ; ; ; ; ;1;05;772,310269837006
396420;1;2;05;80;1;2;8;UNA SRA QUE LE DABA TRABAJO PARA HACER EN LA CASA NO LE VOLVIO A TRAER TRABAJO;2; ; ; ; ; ;1;05;970,08471529117
396428;1;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;799,581330246127
396430;1;2;05;80;1;3;2; ;2; ; ; ; ; ;1;05;759,042840944329
