directorio;secuencia_p;orden;p6020;p6040;mes;area;fex_c_2011
30837;1;8;1;21;04;05;1536,90296388569
30837;1;9;1;23;04;05;1536,90296388569
30838;1;1;2;86;04;52;51,6291533003578
30838;1;2;2;84;04;52;51,6291533003578
30839;1;1;2;71;04;08;387,465299468206
30839;1;2;1;77;04;08;387,465299468206
30839;1;3;2;58;04;08;387,465299468206
30840;1;1;1;51;04;50;195,978172578426
30840;1;2;2;51;04;50;195,978172578426
30841;1;1;1;37;04;76;1165,50184649805
30841;1;2;2;36;04;76;1165,50184649805
30841;1;3;1;12;04;76;1165,50184649805
30841;1;4;1;6;04;76;1165,50184649805
30842;1;1;2;78;04;17;122,278911329429
30842;1;2;2;56;04;17;122,278911329429
30842;1;3;2;49;04;17;122,278911329429
30842;1;4;2;51;04;17;122,278911329429
30842;1;5;2;27;04;17;122,278911329429
30842;1;6;1;25;04;17;122,278911329429
30842;1;7;2;9;04;17;122,278911329429
30845;1;1;2;58;04;73;134,96150618934
30847;1;1;1;82;04;73;356,127075952261
30847;1;2;2;69;04;73;356,127075952261
30847;1;3;2;26;04;73;356,127075952261
30847;1;4;1;25;04;73;356,127075952261
30847;1;5;2;5;04;73;356,127075952261
30847;1;6;1;3;04;73;356,127075952261
30847;1;7;1;0;04;73;356,127075952261
30848;1;1;2;41;04;11;2540,63804925598
30849;1;1;2;30;04;08;826,454024586583
30849;1;2;1;9;04;08;826,454024586583
30849;1;3;1;8;04;08;826,454024586583
30849;1;4;1;4;04;08;826,454024586583
30852;1;1;2;54;04;23;318,016885605626
30852;1;2;1;25;04;23;318,016885605626
30852;1;3;2;19;04;23;318,016885605626
30855;1;1;2;53;04;66;293,851447700862
30855;1;2;2;30;04;66;293,851447700862
30856;1;1;1;42;04;23;193,05386858513
30856;1;2;2;40;04;23;193,05386858513
30856;1;3;1;21;04;23;193,05386858513
30856;1;4;1;18;04;23;193,05386858513
30856;1;5;2;16;04;23;193,05386858513
30857;1;1;1;29;04;76;1048,9553903966
30857;1;2;2;30;04;76;1048,9553903966
30857;1;3;1;9;04;76;1048,9553903966
30857;1;4;2;2;04;76;1048,9553903966
30857;1;5;1;0;04;76;1048,9553903966
30858;1;1;1;76;04;17;210,017352908545
30858;1;2;2;69;04;17;210,017352908545
30858;1;3;1;50;04;17;210,017352908545
30862;1;1;1;52;04;05;744,596948045637
30862;1;2;2;46;04;05;744,596948045637
30862;1;3;2;17;04;05;744,596948045637
30864;1;1;1;50;04;17;73,0581386829642
30864;1;2;2;79;04;17;73,0581386829642
30864;1;3;1;45;04;17;73,0581386829642
30865;1;1;2;70;04;17;378,748810532649
30865;1;2;1;72;04;17;378,748810532649
30868;1;1;1;29;04;11;5010,75275532412
30868;1;2;2;31;04;11;5010,75275532412
30868;1;3;2;10;04;11;5010,75275532412
30868;1;4;2;3;04;11;5010,75275532412
30869;1;1;1;28;04;11;2395,94421994237
30869;1;2;2;34;04;11;2395,94421994237
30869;1;3;2;0;04;11;2395,94421994237
30871;1;1;2;30;04;50;259,024788762377
30871;1;2;1;8;04;50;259,024788762377
30871;1;3;2;5;04;50;259,024788762377
30872;1;1;1;70;04;66;187,264436650073
30872;1;2;2;56;04;66;187,264436650073
30872;1;3;1;33;04;66;187,264436650073
30873;1;1;2;30;04;66;264,996846091099
30873;1;2;2;12;04;66;264,996846091099
30873;1;3;2;77;04;66;264,996846091099
30874;1;1;2;71;04;23;72,0162074569566
30874;1;2;2;14;04;23;72,0162074569566
30876;1;1;1;48;04;23;119,62718213182
30876;1;2;2;48;04;23;119,62718213182
30876;1;3;1;29;04;23;119,62718213182
30876;1;4;2;27;04;23;119,62718213182
30876;1;5;1;8;04;23;119,62718213182
30877;1;1;2;58;04;11;1850,78199741287
30877;1;2;2;34;04;11;1850,78199741287
30877;1;3;1;16;04;11;1850,78199741287
30877;1;4;1;7;04;11;1850,78199741287
30878;1;1;1;36;04;08;676,378187588286
30878;1;2;2;30;04;08;676,378187588286
30881;1;1;1;55;04;52;244,658713621024
30881;1;2;2;57;04;52;244,658713621024
30881;1;3;1;21;04;52;244,658713621024
30881;1;4;2;31;04;52;244,658713621024
30881;1;5;1;31;04;52;244,658713621024
30881;1;6;1;9;04;52;244,658713621024
30886;1;1;2;59;04;08;729,351124345116
30888;1;1;1;57;04;68;490,236605528509
30888;1;2;2;60;04;68;490,236605528509
30890;1;1;1;32;04;23;88,0440718189388
30890;1;2;2;26;04;23;88,0440718189388
30890;1;3;2;3;04;23;88,0440718189388
30890;1;4;1;2;04;23;88,0440718189388
30894;1;1;2;82;04;73;269,93776536555
30894;1;2;2;47;04;73;269,93776536555
30894;1;3;1;19;04;73;269,93776536555
30894;1;4;1;2;04;73;269,93776536555
30895;1;1;2;59;04;52;223,353356462774
