DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
585559,1,1,70,8,45,8,,2,8,8,,3,1,,,,,,,,1,1,,CULTIVANDO CAFE EN EL TERRENO QUE CONSIGUIO HACE 5 MESES,2,,2,2,1,62,62,111,1,41,894.852.783.684.358
585559,1,4,70,8,45,8,,2,8,8,,4,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,41,894.852.783.684.358
585570,1,2,70,8,40,1,,2,8,2,,2,1,,,,,,,,,,1,,2,,2,2,1,53,53,8045,80,41,656.239.486.334.854
585572,1,3,70,8,40,8,,2,8,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,41,646.521.879.489.242
585620,1,5,70,3,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,37,,,,41,838.208.991.421.164
585640,1,5,70,3,40,8,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,41,783.000.808.944.916
585667,1,2,70,3,40,8,,2,4,8,,6,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,41,617.691.594.030.075
585679,2,2,70,5,48,4,,2,7,4,,3,1,,,,,,,,,,1,,2,,2,2,1,61,61,111,1,41,541.470.129.457.512
585682,1,1,70,3,48,8,,2,3,8,,7,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,41,761.713.365.557.728
585682,1,3,70,3,40,8,,2,6,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,41,761.713.365.557.728
585687,1,2,70,2,40,2,,2,3,2,,6,4,,,,,,,,,,1,,2,,2,2,1,59,59,7513,75,41,61.856.591.406.707
586093,1,2,70,16,50,1,,2,3,1,,6,1,,,,,,,,,,1,,2,,2,2,1,55,53,113,1,66,102.892.363.121.085
586102,1,3,70,24,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,2,1,45,39,5211,52,66,822.690.400.368.211
586115,1,6,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,84,,,,66,101.521.283.640.445
586117,1,2,70,4,24,4,,2,4,3,,1,1,,,,,,,,1,,,,2,,2,2,1,55,54,9500,95,66,783.278.996.710.482
586122,1,1,70,8,48,3,,2,8,1,,3,1,,,,,,,,,,1,,2,,2,2,1,54,53,5521,55,66,913.331.663.948.497
586125,1,3,70,3,48,4,,2,12,1,,3,4,,,,,,,,,,1,,2,,2,2,1,45,50,5521,55,66,895.852.732.974.708
586632,1,2,70,2,20,1,,2,54,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5219,52,76,253.345.793.127.682
587753,1,1,70,3,48,4,,2,3,4,,1,6,,,,,,,,,,1,,1,200000,2,2,1,95,95,4521,45,52,315.943.380.164.734
587756,1,1,70,52,40,2,,2,52,4,,9,1,,,,,,,,,,1,,2,,2,2,1,62,62,7512,75,52,305.357.705.827.821
587766,1,6,70,8,48,1,,2,8,1,,2,1,,,,,,,,,,1,,1,100000,2,2,1,98,98,6042,60,52,546.970.063.215.764
587773,1,1,70,104,25,4,,2,416,3,,1,1,,,,,,,,,,1,,2,,2,2,1,55,54,9500,95,52,151.681.766.679.516
587780,1,5,70,24,40,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,99,,,,52,18.223.571.002.646
587784,1,1,70,8,60,4,,2,2,4,,1,1,,,,,,,,,,1,,2,,2,2,1,62,62,140,1,52,151.681.766.679.516
587808,1,1,70,20,80,4,,2,20,4,,1,2,,,,,,,,,,1,,2,,2,2,1,62,62,140,1,52,22.482.929.643.381
587808,1,2,70,4,60,3,,2,8,3,,1,2,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,52,22.482.929.643.381
587830,1,3,70,8,48,3,,2,32,3,,1,2,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,52,464.196.747.008.914
587830,1,5,70,40,40,3,,2,2,3,,1,2,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,52,464.196.747.008.914
587835,1,2,70,48,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,52,151.681.766.679.516
587858,1,3,70,12,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,52,381.427.883.182.969
587864,1,3,70,3,40,4,,2,4,4,,1,1,,,,,,,,,,1,,1,80000,2,2,1,62,62,118,1,52,582.598.263.448.226
587872,1,2,70,6,48,1,,2,144,3,,1,2,,,,,,,,,,1,,2,,2,2,1,45,54,9500,95,52,330.333.392.728.875
587874,1,3,70,6,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,98,,,,52,167.803.004.666.138
587874,1,4,70,5,40,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,52,167.803.004.666.138
587874,1,5,70,5,40,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,52,167.803.004.666.138
587889,1,4,70,2,40,3,,2,20,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,52,428.875.911.244.523
588210,1,4,70,4,50,8,,2,8,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,113,1,66,634.030.687.590.826
588250,1,4,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,66,704.964.204.312.982
588288,1,3,70,12,10,1,,2,2,1,,2,4,,,,,,,,,,1,,1,432000,2,2,1,98,97,6310,63,66,709.106.359.745.443
588288,1,4,70,3,16,1,,2,5,8,,3,1,,,,,,,,,,1,,1,170000,2,2,1,97,62,111,1,66,709.106.359.745.443
588291,1,2,70,24,8,1,,2,48,3,,1,1,,,,,,,,,,1,,2,,2,2,1,32,54,9500,95,66,545.293.100.080.953
588857,1,3,70,4,48,1,,2,24,4,,5,1,,,,,,,,,,1,,2,,2,2,1,55,55,8512,85,54,34.492.373.178.927
588862,1,2,70,2,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,54,284.008.958.003.737
588870,1,2,70,1,5,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,54,284.008.958.003.737
588874,1,3,70,1,56,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,54,31.667.113.705.356
588905,1,3,70,1,10,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,54,453.311.251.763.605
588907,1,4,70,3,70,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,54,471.631.099.480.298
588925,1,10,70,4,48,3,,2,48,3,,2,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,54,49.402.639.214.516
588936,1,3,70,4,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,54,509.031.209.009.068
588947,1,4,70,2,48,8,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,54,374.772.609.981.644
588959,1,7,70,1,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,54,539.777.434.496.309
588971,1,2,70,1,30,4,,2,528,4,,1,7,,,,,,,,,,1,,2,,2,2,1,56,58,8041,80,54,349.333.316.103.384
