DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;clase;DPTO;AREA;fex_c_2011
1139710;1;1;1;95;1; ;2;1; ;850000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;159,887539386188
1139710;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;159,887539386188
1139710;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;159,887539386188
1139711;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;161,813742890367
1139711;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;161,813742890367
1139711;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;161,813742890367
1139711;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;161,813742890367
1139712;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;158,888799363971
1139712;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;158,888799363971
1139712;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;158,888799363971
1139713;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;184,694652160945
1139713;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;184,694652160945
1139713;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;184,694652160945
1139713;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;184,694652160945
1139714;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;67,7035072059128
1139714;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;67,7035072059128
1139715;1;1;1;95;1; ;2;1; ;500000; ;2;1;2;2; ; ;3000000; ; ;1;2;2; ;2;1;18;18;90,6524669310671
1139715;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;90,6524669310671
1139716;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;4500000;2;1;2; ;2;1;18;18;66,6709883367074
1139717;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;53,9670047331697
1139717;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;345000; ;2;2;2; ;2;1;18;18;53,9670047331697
