directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
120851;1;1;1;1,2;1;1;06;05;05;763,032691799546
120851;1;3;2; ; ;1;06;05;05;763,032691799546
120852;1;1;1;3;6;1;06;13;13;175,56283615778
120852;1;2;1;1,3;6;1;06;13;13;175,56283615778
120852;1;9;2; ; ;1;06;13;13;175,56283615778
120852;1;11;2; ; ;1;06;13;13;175,56283615778
120862;1;2;2; ; ;1;06;52;52;126,749116880225
120865;1;1;1;1,2;8;1;06;68;68;384,014460532176
120866;1;2;2; ; ;1;06;11;11;935,710692759646
120866;1;3;2; ; ;1;06;11;11;935,710692759646
120870;1;2;1;4;8;1;06;11;11;1137,9506532309
120873;1;3;2; ; ;1;06;17;17;196,751466444838
120874;1;1;2; ; ;1;06;11;11;4081,64968108448
120874;1;2;2; ; ;1;06;11;11;4081,64968108448
120877;1;2;1;4;7;1;06;68;68;375,299019597273
120877;1;3;2; ; ;1;06;68;68;375,299019597273
120878;1;1;1;4;5;1;06;68;68;581,65240442319
120878;1;2;2; ; ;1;06;68;68;581,65240442319
120879;1;2;1;1,2;9;1;06;08;08;937,397526497256
120879;1;3;2; ; ;1;06;08;08;937,397526497256
120882;1;2;2; ; ;1;06;11;11;2652,9844185887
120883;1;1;1;4;5;1;06;76;76;991,643531209065
120883;1;2;1;3;9;1;06;76;76;991,643531209065
120886;1;1;1;4;5;1;06;13;13;283,664179177086
120886;1;3;1;1,4;8;1;06;13;13;283,664179177086
120889;1;1;1;1,3;3;1;06;05;05;2411,60374878085
120889;1;2;1;4;4;1;06;05;05;2411,60374878085
120890;2;3;2; ; ;1;06;08;08;695,743778285509
120890;2;5;1;4;5;1;06;08;08;695,743778285509
120895;1;1;1;3;5;1;06;11;11;4321,13870002396
120904;1;1;1;4;5;1;06;66;66;383,89904857277
120904;1;2;1;4;4;1;06;66;66;383,89904857277
120907;1;3;2; ; ;1;06;50;50;202,085693913971
120908;1;2;1;4;4;1;06;05;05;2411,60374878085
120918;1;1;1;1,1;9;1;06;13;13;396,645554112299
120922;1;1;1;4;5;1;06;68;68;172,087848403662
120922;1;2;1;4;5;1;06;68;68;172,087848403662
120923;1;2;1;1,2;7;1;06;11;11;1243,71199321815
120923;1;3;2; ; ;1;06;11;11;1243,71199321815
120932;1;2;1;4;9;1;06;11;11;4802,42630646931
120932;1;3;2; ; ;1;06;11;11;4802,42630646931
120933;1;3;2; ; ;1;06;13;13;329,405592454399
120933;1;5;2; ; ;1;06;13;13;329,405592454399
120935;1;1;1;3;4;1;06;23;23;87,8310544805391
120936;1;1;1;4;5;1;06;17;17;202,120213569542
120937;1;3;2; ; ;1;06;73;73;209,61479766279
120942;1;2;1;3;3;1;06;08;08;1089,40460237823
120942;1;4;2; ; ;1;06;08;08;1089,40460237823
120946;1;1;1;4;5;1;06;50;50;175,144118194208
120951;1;1;1;4;5;1;06;68;68;184,070112415258
120951;1;2;1;4;3;1;06;68;68;184,070112415258
120952;1;4;1;2;3;1;06;23;23;101,519797961225
120961;1;2;1;4;4;1;06;52;52;213,93258437798
120964;1;1;1;4;3;1;06;76;76;491,007485495386
120965;1;1;1;1,2;9;1;06;23;23;190,794174210335
120967;1;3;2; ; ;1;06;76;76;974,20907213258
120967;1;4;2; ; ;1;06;76;76;974,20907213258
120970;1;1;1;1,3;1;1;06;11;11;1218,38950418591
120971;1;3;2; ; ;1;06;73;73;178,947276704996
120971;1;4;2; ; ;1;06;73;73;178,947276704996
120975;1;1;1;1,3;1;1;06;11;11;3273,39133513367
120975;1;2;2; ; ;1;06;11;11;3273,39133513367
120976;1;2;1;4;5;1;06;68;68;546,474538618773
120979;1;3;2; ; ;1;06;17;17;184,330644933518
120979;1;4;2; ; ;1;06;17;17;184,330644933518
120981;1;1;1;3;9;1;06;76;76;717,597883712155
