DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4229278;1;2;1;80;17;1;1;8; ;2; ; ;1; ;2; ;1;200000;1;01;17;277,511904022407
4229279;1;2;1;80;17;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;17;229,518290543172
4229280;1;1;1;80;17;1;4;4; ;2; ; ;4; ;3; ;2; ;1;01;17;152,720723681191
4229280;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;152,720723681191
4229280;1;8;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;152,720723681191
4229282;1;1;1;80;17;1;4;5; ;2; ; ;11; ;3; ;2; ;1;01;17;159,439834524082
4229283;1;1;1;80;17;1;1;8; ;2; ; ;4; ;2; ;1;400000;1;01;17;209,963696317224
4229283;1;3;1;80;17;1;1;2; ;2; ; ;2; ;2; ;2; ;1;01;17;209,963696317224
4229284;1;1;1;80;17;1;4;4; ;2; ; ;8; ;2; ;2; ;1;01;17;174,785576636204
4229285;1;1;1;80;17;1;4;7; ;2; ; ;8; ;2; ;2; ;1;01;17;159,439834524082
4229286;1;1;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;174,785576636204
4229288;1;3;1;80;17;1;1;8; ;2; ; ;2; ;2; ;2; ;1;01;17;238,882064699106
4229288;1;4;1;80;17;1;1;3; ;2; ; ;9; ;1;1;2; ;1;01;17;238,882064699106
4229289;1;2;1;80;17;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;17;238,245140664921
4229289;1;3;1;80;17;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;17;238,245140664921
4229290;1;3;1;80;17;1;4;7; ;1; ;3;1; ;2; ;2; ;1;01;17;144,094092411961
4229291;1;1;1;80;17;1;3;5; ;2; ; ;1; ;3; ;2; ;1;01;17;174,785576636204
4229292;1;1;1;80;17;1;4;7; ;2; ; ;4; ;2; ;2; ;1;01;17;161,637286445727
4229292;1;2;1;80;17;1;1;8; ;2; ; ;9; ;1;4;2; ;1;01;17;161,637286445727
