DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448114;05;1;4;2;1;1;1;1;1;4;1; ; ;50000000;150000; ;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;919,716459243216
448115;05;1;3;2;1;1;1;1;1;4;3; ; ; ; ;160000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;657,25364575678
448116;05;1;2;1;1;1;1;1;1;1;1; ; ;35000000;200000; ;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;764,332967808281
448117;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;823,277423354633
448118;05;1;4;3;1;1;1;1;1;4;4; ; ; ;180000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;591,851114088339
448119;05;1;3;2;1;1;1;1;1;4;4; ; ; ;150000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;822,344898349138
448120;05;1;5;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;1;946,281903704027
448121;05;1;4;2;1;1;1;1;1;3;1; ; ;30000000;200000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;976,388575807591
448122;05;1;1;1;1;1;1;1;1;1;3; ; ; ; ;100000;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;822,344898349138
448123;05;1;2;1;1;1;1;1;2;3;3; ; ; ; ;40000;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;893,956632093606
448124;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;834,299602227753
448125;05;1;3;1;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;765,265492813775
448126;05;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;744,040042581961
