DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5579888;1;4;1;70;2;104;40;908526;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0161;19;611.36592287
5579897;1;1;1;70;2;52;40;908526;3;;2;52;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;19;611.36592287
5579898;1;4;1;70;2;52;40;908300;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;19;611.36592287
5579902;1;2;1;70;2;40;48;908300;2;;2;72;3;;1;2;1;;2;;;;;;;;;1;;;2;;97;55;54;1;2;10;9700;19;611.36592287
5579904;1;2;1;70;2;18;72;908526;1;;2;35;3;;1;2;1;;1;4;;;;1;;;;;;;2;;97;58;54;1;2;10;9700;19;2567.736876
5579918;1;1;1;70;2;20;40;908300;3;;2;104;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;19;611.36592287
5579964;1;1;1;70;2;52;40;908560;1;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;41;95;95;1;2;10;4111;19;426.73968938
5579965;1;3;1;70;2;16;40;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;19;1792.3066954
5579965;1;6;1;70;2;32;24;600000;2;;2;32;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;59;54;1;2;10;9700;19;1792.3066954
5579966;1;1;1;70;2;8;48;1200000;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;87;95;1;1;10;4111;19;426.73968938
5580002;1;2;1;70;2;104;40;908000;1;;2;108;1;;3;2;2;;2;;;;;;;;;;;1;2;;47;33;45;1;2;10;4772;19;751.86106654
5580007;1;5;1;70;2;52;40;908560;1;;2;60;6;;2;2;1;;2;;;;;;;;;;;1;2;;56;03;53;1;2;10;5611;19;1792.3066954
5580012;1;2;1;70;2;52;44;908526;3;;2;52;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;19;751.86106654
5580015;1;2;1;70;2;104;40;908560;1;;2;104;1;;3;2;2;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4729;19;426.73968938
5580034;1;2;1;70;2;3;40;600000;3;;2;3;4;;1;2;8;;2;;;;;;;;;;;1;1;100000;07;54;71;1;1;10;0722;19;1792.3066954
5580042;1;2;1;70;2;20;40;908560;1;;2;20;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;53;45;1;2;10;4771;19;426.73968938
5580103;1;4;1;70;2;4;40;900000;4;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;300000;01;62;62;1;1;10;0161;19;426.73968938
5584344;1;1;1;70;2;6;40;600000;1;;2;24;1;;3;2;1;;2;;;;;;;;;;;1;2;;64;58;33;1;1;10;6499;70;1133.7679608
5584371;1;3;1;70;2;5;40;500000;4;;2;6;4;;2;2;1;;2;;;;;;;;;1;;;2;;01;62;62;1;1;10;0161;70;1834.0692147
5584398;1;2;1;70;2;12;40;908526;1;;2;15;1;;8;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;1;10;8610;70;1481.9695161
5585669;1;3;1;70;2;3;45;908000;1;;2;3;1;;3;2;1;;2;;;;;;;;;;;1;1;900000;41;95;53;1;1;10;4111;50;696.02096475
5585677;1;1;1;70;2;3;45;900000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;01;62;62;1;1;10;0161;50;957.49113654
5585686;1;1;1;70;2;2;45;900000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;01;62;62;1;1;10;0161;50;1010.0199784
5585741;1;2;1;70;2;8;48;900000;1;;2;60;1;;4;2;8;;2;;;;;;;;;;;1;2;;47;45;45;1;1;10;4771;13;4266.6165416
5585762;1;3;1;70;2;2;60;500000;8;;2;4;8;;3;2;1;;2;;;;;;;;;;;1;1;480000;01;62;62;1;1;10;0141;70;1075.3018293
5585786;1;2;1;70;2;52;48;1000000;1;;2;52;4;;8;2;1;;2;;;;;;;;;;;1;2;;36;97;87;1;2;10;3600;15;3673.6857079
5590932;1;5;1;70;2;12;48;907000;8;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;62;54;1;1;10;9700;68;1394.3599776
5590932;1;6;1;70;2;48;48;950000;4;;2;48;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0123;68;1394.3599776
5590963;1;2;1;70;2;36;48;500000;8;;2;36;8;;4;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0123;68;961.92378161
5590966;1;4;1;70;2;24;48;1500000;1;;2;24;1;;8;2;1;;2;;;;;;;;;;;1;2;;42;02;99;1;2;10;4210;68;1079.1991568
5590972;1;2;1;70;2;52;48;908600;1;;2;150;1;;9;2;2;;2;;;;;;;;;;;1;2;;88;54;54;1;2;10;8891;68;1551.2157633
5590999;1;4;1;70;2;1;40;250000;1;;2;3;1;;2;2;1;;2;;;;;;;;;;;1;1;150000;01;62;62;1;1;10;0141;18;853.25352769
5591006;1;2;1;70;2;52;40;2000000;2;;1;;;;;;;;;;.;.;;;;;;;;;;.;;13;;1;2;10;;18;526.66863052
5591038;1;3;1;70;2;6;49;600000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;400000;01;62;62;1;1;10;0161;18;1065.0311884
5591045;1;1;1;70;2;24;48;1000000;1;;2;72;1;;9;2;1;;2;;;;;;;;;;;1;2;;64;32;32;1;2;10;6422;18;1961.6737484
5591046;1;3;1;70;2;6;55;500000;4;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0161;18;1716.1673459
5591439;1;1;1;70;2;24;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;59;;1;2;10;;18;358.91745098
5591466;1;1;1;70;2;32;48;1500000;1;;2;8;1;;8;2;4;;2;;;;;;;;;;;1;1;400000;47;21;21;1;2;10;4759;18;405.06529319
5591467;1;1;1;70;2;5;50;600000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;900000;41;95;95;1;1;10;4111;18;395.78298223
5596346;1;1;1;70;2;6;40;400000;3;;2;160;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;10;9700;70;1746.5521059
