Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3508028;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;163,573466146398;17
3508029;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;11;2;1;07;17;142,657063127751;17
3508029;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;142,657063127751;17
3508031;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;07;17;105,588796501292;17
3508031;1;3;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;105,588796501292;17
3508032;1;2;1;80;1;1;3;4; ;1;1;2; ; ;2; ;1;1;1;07;17;227,49513663354;17
3508032;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;17;227,49513663354;17
3508032;1;5;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;17;227,49513663354;17
3508033;1;2;1;80;1;1;1;8; ;1;2;1;1520000; ; ;ESPERANDO;12;2;1;07;17;172,200383337859;17
3508034;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;170,673921480812;17
3508035;1;1;1;80;1;1;4;5; ;3; ;2; ; ;4; ;10;1;1;07;17;141,130601270704;17
3508035;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;141,130601270704;17
3508035;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;141,130601270704;17
3508036;1;1;1;80;1;1;4;8; ;2; ;2; ; ; ; ;8;2;1;07;15;65,5416077448706;15
3508036;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;65,5416077448706;15
3508039;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;15;87,3289914699291;15
3508039;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;87,3289914699291;15
3508040;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;78,1585300590434;15
3508042;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;11;2;1;07;15;71,2300105812708;15
3508042;1;2;1;80;1;1;1;8; ;2; ;1;1100000; ; ; ;11;2;1;07;15;71,2300105812708;15
3508042;1;3;1;80;1;1;2;5; ;3; ;2; ; ; ; ;11;2;1;07;15;71,2300105812708;15
3508043;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;86,4362553011097;15
3508043;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;86,4362553011097;15
3508044;1;1;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;07;15;86,4362553011097;15
3508044;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;15;86,4362553011097;15
3508044;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;86,4362553011097;15
3508046;1;2;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;07;15;95,3490576491449;15
3508047;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;95,2014772818498;15
3508048;1;2;1;80;1;1;3;4; ;2; ;2; ; ; ; ;8;2;1;07;15;119,02062437609;15
3508048;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;119,02062437609;15
3508049;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;15;87,3289914699291;15
3508049;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;07;15;87,3289914699291;15
3508050;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;15;84,7542601184604;15
3508050;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;15;84,7542601184604;15
