DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2710475,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,6,63,513.207.303.579.951
2710475,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,6,63,513.207.303.579.951
2710477,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,766.732.287.463.174
2710477,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,766.732.287.463.174
2710478,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,114.595.641.271.081
2710478,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,114.595.641.271.081
2710478,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,114.595.641.271.081
2710481,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,820.194.738.951.371
2710481,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,820.194.738.951.371
2710482,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,901.633.211.781.072
2710482,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,901.633.211.781.072
2710483,1,1,1,50,2,,,1,4,,2,2,2,2,1,10,,,,,,,6,63,103.786.238.292.831
2710483,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,63,103.786.238.292.831
2710484,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,914.464.851.555.021
2710484,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,6,63,914.464.851.555.021
2710484,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,6,63,914.464.851.555.021
2710485,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,950.955.305.242.223
2710485,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,63,950.955.305.242.223
2710485,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,6,63,950.955.305.242.223
