Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;p6269;Dpto;Fex_c_2011
3920612;1;2;1;10;2;2;1;11;1999;16;2;1;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1571,55391382184
3920612;1;3;1;10;2;2;1;12;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1571,55391382184
3920613;1;1;1;10;1;2;1;5;1976;39;1;4;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;01; ;18;533,414858796756
3920613;1;2;1;10;2;2;1;12;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;18;533,414858796756
3920614;1;1;1;10;1;1;1;8;1976;39;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;822,108696355294
3920614;1;2;1;10;2;2;1;11;1977;38;2;3;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;18;822,108696355294
3920614;1;3;1;10;3;1;1;11;2001;14;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;822,108696355294
3920614;1;4;1;10;4;2;1;8;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;18;822,108696355294
3920615;1;1;1;10;1;1;1;3;1960;55;1;2;1; ; ;1;3;108000;2;1;2; ;1;0; ;2;0;01; ;18;1158,34051505472
3920615;1;2;1;10;2;2;1;8;1995;20;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;01; ;18;1158,34051505472
3920615;1;3;1;10;2;2;1;6;2014;1;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;2; ;01; ;18;1158,34051505472
3920616;1;1;1;10;1;1;1;6;1955;60;1;3;1; ; ;1;4; ;2;1;2; ;3;2; ;2;2;01; ;18;1395,22741297413
3920616;1;2;1;10;2;2;1;11;1953;62;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;01; ;18;1395,22741297413
3920616;1;3;1;10;3;1;1;11;1990;25;3;6;2;1;10; ; ; ;2;1;2; ;4;6; ;2;6;01; ;18;1395,22741297413
3920616;1;4;1;10;4;1;1;2;1991;24;3;6;1; ; ;1;4; ;2;1;2; ;3;5; ;2;5;01; ;18;1395,22741297413
3920617;1;1;1;10;1;1;1;1;1962;54;1;3;1; ; ;1;3;184000;2;1;2; ;3;3; ;2;3;01; ;18;533,414858796756
3920617;1;2;1;10;2;2;1;8;1968;47;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ;2;4;01; ;18;533,414858796756
3920617;1;3;1;10;3;2;1;11;1999;16;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;2;9;01; ;18;533,414858796756
3920617;1;4;1;10;4;2;1;3;2002;13;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;2;8;01; ;18;533,414858796756
3920617;1;5;1;10;5;2;1;8;1989;26;3;4;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;18;533,414858796756
3920617;1;6;1;10;5;2;1;5;2015;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;533,414858796756
3920618;1;1;1;10;1;2;1;10;1953;62;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;263,980538505505
3920618;1;2;1;10;2;2;1;8;1981;34;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;263,980538505505
3920618;1;3;1;10;3;1;1;4;2005;10;4;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;01; ;18;263,980538505505
3920618;1;4;1;10;4;2;1;3;1999;16;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;263,980538505505
3920619;1;1;1;10;1;2;1;4;1955;60;1;4;2;2; ; ; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1492,49091547049
3920619;1;2;1;10;2;1;1;7;2001;14;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;1492,49091547049
3920619;1;3;1;10;3;1;1;9;1963;52;6;6;2;1;10; ; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1492,49091547049
3920620;1;1;1;10;1;1;1;7;1984;31;1;2;1; ; ;3; ; ;2;1;2; ;6;5;4;2;16;01; ;18;1438,64678533341
3920620;1;2;1;10;2;2;1;6;1989;26;2;2;1; ; ;3; ; ;2;1;2; ;6;4;2;2;15;01;2;18;1438,64678533341
3920620;1;3;1;10;2;2;1;9;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1438,64678533341
3920621;1;1;1;10;1;1;1;8;1972;43;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1733,3118848696
3920621;1;2;1;10;2;2;1;6;1978;37;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1733,3118848696
3920621;1;3;1;10;3;2;1;6;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;18;1733,3118848696
3920621;1;4;1;10;2;1;1;9;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1733,3118848696
3920621;1;5;1;10;2;1;1;11;2014;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1733,3118848696
3920622;1;1;1;10;1;2;1;8;1968;47;1;5;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;18;1214,12249245586
3920622;1;2;1;10;2;1;1;1;1986;30;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;18;1214,12249245586
3920622;1;3;1;10;3;2;1;7;1993;22;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1214,12249245586
3920622;1;4;1;10;3;2;1;2;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1214,12249245586
3920622;1;5;1;10;3;1;1;7;2014;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1214,12249245586
3920628;1;1;1;10;1;1;1;11;1954;61;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;325,806798903989
3920628;1;2;1;10;2;2;1;9;1963;52;2;2;1; ; ;3; ; ;2;2;2; ;3;4; ;2;4;01; ;18;325,806798903989
3920628;1;3;1;10;3;1;1;11;2001;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;18;325,806798903989
3920628;1;4;1;10;4;2;1;12;1998;17;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;325,806798903989
3920628;1;5;1;10;4;1;1;1;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;325,806798903989
3920648;1;1;1;10;1;1;1;10;1971;44;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1066,78994268776
3920648;1;2;1;10;2;2;1;11;1977;38;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1066,78994268776
3920648;1;3;1;10;3;2;1;8;1996;19;3;5;1; ; ;3; ; ;2;1;1;2;5;11;2;2;11;01; ;18;1066,78994268776
3920648;1;4;1;10;3;2;1;10;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1066,78994268776
3920649;1;1;1;10;1;1;1;7;1982;33;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;18;1320,01329203448
3920649;1;2;1;10;2;2;1;4;1988;27;2;3;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;18;1320,01329203448
3920649;1;3;1;10;2;1;1;12;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;18;1320,01329203448
3920649;1;4;1;10;2;1;1;7;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1320,01329203448
3920649;1;5;1;10;2;1;1;2;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1320,01329203448
3920650;1;1;1;10;1;1;1;11;1985;30;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;908,805921589702
3920650;1;2;1;10;2;2;1;3;1992;23;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;18;908,805921589702
3920651;1;1;1;10;1;1;1;2;1976;39;1;1;2;1;1; ; ; ;2;1;2; ;3;1; ;2;1;01; ;18;878,015642730188
3920651;1;2;1;10;2;2;1;1;1972;44;2;1;2;1;1; ; ; ;2;1;2; ;4;8; ;2;8;01; ;18;878,015642730188
3920652;1;1;1;10;1;1;1;6;1981;34;1;3;2;1;1; ; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1652,47983197525
3920652;1;2;1;10;2;2;1;8;1984;31;2;3;2;1;1; ; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1652,47983197525
3920652;1;3;1;10;2;2;1;3;2009;6;3; ;2;1;1; ; ; ;2;1;1;1;3;1; ;2;1;01; ;18;1652,47983197525
3920652;1;4;1;10;4;1;1;10;1985;30;5;6;2;2; ; ; ; ;1;1;2; ;3;5; ;2;5;01; ;18;1652,47983197525
3920653;1;1;1;10;1;1;1;7;1987;28;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1341,29808876904
3920653;1;2;1;10;2;2;1;9;1987;28;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1341,29808876904
3920653;1;3;1;10;3;1;1;7;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;18;1341,29808876904
3920653;1;4;1;10;2;1;1;8;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;18;1341,29808876904
3920654;1;1;1;10;1;1;1;3;1957;58;1;2;1; ; ;1;1;25800;2;1;2; ;4;7; ;2;7;01; ;18;556,227847356275
3920654;1;2;1;10;2;2;1;3;1980;35;2;2;2;1;3; ; ; ;2;1;2; ;3;2; ;2;2;01; ;18;556,227847356275
3920654;1;3;1;10;3;2;1;9;1998;17;3;4;2;1;3; ; ; ;1;1;2; ;4;6; ;2;6;01; ;18;556,227847356275
3920654;1;4;1;10;3;1;1;10;2015;0;4; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;01; ;18;556,227847356275
3920654;1;5;1;10;5;1;1;7;1982;33;9;4;2;1;1; ; ; ;2;1;2; ;3;5; ;2;5;01; ;18;556,227847356275
3920655;1;1;1;10;1;1;1;7;1951;64;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;865,444470061539
3920655;1;2;1;10;2;2;1;5;1960;55;6;4;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;865,444470061539
3920656;1;1;1;10;1;1;1;10;1986;29;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1234,22152507966
3920656;1;2;1;10;2;2;1;4;1992;23;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1234,22152507966
3920656;1;3;1;10;3;2;1;2;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;18;1234,22152507966
3920656;1;4;1;10;2;2;1;7;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;18;1234,22152507966
3920656;1;5;1;10;2;1;1;11;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1234,22152507966
3920656;1;6;1;10;6;1;1;6;1980;35;9;3;2;1;72; ; ; ;1;1;2; ;3;2; ;2;2;01; ;18;1234,22152507966
3920656;1;7;1;10;7;2;1;3;1994;21;9;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1234,22152507966
3920656;1;8;1;10;7;1;1;1;2014;1;9; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1234,22152507966
3920657;1;1;1;10;1;1;1;12;1925;90;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1079,27751670338
3920657;1;2;1;10;2;2;1;6;1930;85;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1079,27751670338
3920657;1;3;1;10;3;1;1;1;1966;50;3;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1079,27751670338
3920659;1;1;1;10;1;1;1;7;1947;68;1;3;1; ; ;1;5; ;2;1;2; ;3;2; ;2;2;01; ;18;1094,69714109789
3920659;1;2;1;10;2;2;1;5;1946;69;2;3;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;01; ;18;1094,69714109789
3920659;1;3;1;10;3;2;1;2;1982;33;3;4;1; ; ;1;3;80550;2;1;2; ;5;10;1;2;10;01; ;18;1094,69714109789
3920659;1;4;1;10;4;1;1;3;2003;12;4;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;18;1094,69714109789
3920659;1;5;1;10;5;1;1;8;2005;10;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;18;1094,69714109789
3920660;1;1;1;10;1;1;1;8;1974;41;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1555,13113541088
3920660;1;2;1;10;2;2;1;3;1969;46;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1555,13113541088
3920660;1;3;1;10;3;1;1;12;1988;27;3;6;2;1;2; ; ; ;2;1;2; ;6;1;3;2;12;01; ;18;1555,13113541088
3920660;1;4;1;10;4;1;1;8;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;1555,13113541088
3920660;1;5;1;10;2;1;1;4;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1555,13113541088
3920661;1;1;1;10;1;1;1;5;1971;44;1;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;01; ;18;653,491349852635
3920661;1;2;1;10;2;2;1;12;1975;40;2;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;01; ;18;653,491349852635
3920661;1;3;1;10;3;2;1;10;2002;13;3;6;2;2; ; ; ; ;1;1;1;1;3;3; ;2;3;01; ;18;653,491349852635
3920661;1;4;1;10;2;1;1;2;2012;3;9; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;653,491349852635
3920662;1;1;1;10;1;1;1;4;1989;26;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1025,34819249828
3920662;1;2;1;10;2;2;1;5;1990;25;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1025,34819249828
3920662;1;3;1;10;2;1;1;9;2010;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1025,34819249828
3920663;1;1;1;10;1;1;1;8;1978;37;1;2;2;2; ; ; ; ;1;1;2; ;3;2; ;2;2;01; ;18;1193,96553900094
3920663;1;2;1;10;2;2;1;4;1983;32;2;2;2;2; ; ; ; ;1;1;2; ;3;2; ;2;2;01; ;18;1193,96553900094
3920663;1;3;1;10;3;1;1;2;2000;15;3;6;2;2; ; ; ; ;1;1;2; ;3;4; ;2;4;01; ;18;1193,96553900094
3920664;1;1;1;10;1;1;1;4;1984;31;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;878,015642730188
3920664;1;2;1;10;2;2;1;7;1967;48;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;878,015642730188
3920665;1;1;1;10;1;1;1;2;1983;32;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1616,76961396102
3920665;1;2;1;10;2;2;1;5;1994;21;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1616,76961396102
3920665;1;3;1;10;2;1;1;10;2010;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;18;1616,76961396102
3920665;1;4;1;10;2;2;1;4;2014;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1616,76961396102
3920666;1;1;1;10;1;1;1;3;1983;32;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;653,491349852635
3920666;1;2;1;10;2;2;1;10;1984;31;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;18;653,491349852635
3920666;1;3;1;10;3;2;1;9;2000;15;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;653,491349852635
3920666;1;4;1;10;2;1;1;10;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;18;653,491349852635
3920668;1;1;1;10;1;1;1;5;1936;79;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;18;969,566215097152
3920670;1;1;1;10;1;1;1;9;1993;22;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;2132,18505642506
3920670;1;2;1;10;2;2;1;4;1991;24;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;2132,18505642506
3920670;1;3;1;10;2;2;1;3;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;18;2132,18505642506
3920670;1;4;1;10;2;2;1;9;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;2132,18505642506
3920671;1;1;1;10;1;1;1;2;1974;41;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1025,34819249828
3920671;1;2;1;10;2;2;1;8;1990;25;2;3;1; ; ;3; ; ;2;1;1;2;6;0;2;2;11;01;2;18;1025,34819249828
3920671;1;3;1;10;2;1;1;7;2014;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1025,34819249828
3920672;1;1;1;10;1;1;1;1;1978;37;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1754,59668160416
3920672;1;2;1;10;2;2;1;10;1986;29;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;1754,59668160416
3920672;1;3;1;10;3;1;1;2;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;18;1754,59668160416
3920672;1;4;1;10;2;2;1;11;2010;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1754,59668160416
3920673;1;1;1;10;1;1;1;2;1950;65;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;533,414858796756
3920673;1;2;1;10;2;2;1;6;1955;60;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;18;533,414858796756
3920673;1;3;1;10;3;2;1;11;2004;11;4;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;18;533,414858796756
3920674;1;1;1;10;1;2;1;9;1949;66;1;5;1; ; ;3; ; ;1;1;2; ;1;0; ;2;0;01; ;18;590,85112991225
3920674;1;2;1;10;2;2;1;8;2003;12;4;6;1; ; ;3; ; ;1;1;1;1;4;0; ;2;5;01; ;18;590,85112991225
3920675;1;1;1;10;1;2;1;4;1972;43;1;4;1; ; ;2;1;58800;2;1;2; ;6;5;4;2;16;01; ;18;664,182596088348
3920676;1;1;1;10;1;2;1;2;1943;72;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1120,63407282485
3920676;1;2;1;10;2;1;1;11;1976;39;3;4;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1120,63407282485
3920676;1;3;1;10;3;2;1;1;2002;14;4;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;18;1120,63407282485
3920676;1;4;1;10;4;1;1;10;2003;12;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;18;1120,63407282485
3920677;1;1;1;10;1;2;1;9;1981;34;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;852,95689604592
3920677;1;2;1;10;2;2;1;3;1998;17;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;18;852,95689604592
3920677;1;3;1;10;1;2;1;3;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;852,95689604592
3920678;1;1;1;10;1;1;1;10;1981;34;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;822,108696355294
3920678;1;2;1;10;2;2;1;12;1985;30;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;18;822,108696355294
3920678;1;3;1;10;3;2;1;1;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;18;822,108696355294
3920678;1;4;1;10;4;1;1;3;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;18;822,108696355294
3920679;1;1;1;10;1;1;1;1;1991;24;1;1;2;1;2; ; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1718,88646358994
3920679;1;2;1;10;2;2;1;7;1992;23;2;1;2;1;1; ; ; ;2;1;2; ;4;6; ;2;6;01; ;18;1718,88646358994
3920679;1;3;1;10;2;2;1;7;2009;6;3; ;2;1;1; ; ; ;2;2;1;1;3;0; ;2;0;01; ;18;1718,88646358994
3920679;1;4;1;10;2;1;1;5;2012;3;3; ;2;1;1; ; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1718,88646358994
3920681;1;1;1;10;1;1;1;5;1920;95;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;865,444470061539
3920681;1;2;1;10;1;2;1;5;1924;91;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;865,444470061539
3920682;1;1;1;10;1;1;1;3;1997;18;1;1;2;1;18; ; ; ;1;1;2; ;5;11;2;2;11;01; ;18;1571,55391382184
3920682;1;2;1;10;2;2;1;3;1999;16;2;1;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;18;1571,55391382184
3920682;1;3;1;10;2;2;1;11;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1571,55391382184
3920683;1;1;1;10;1;2;1;9;1980;35;1;4;1; ; ;2;1;25800;2;1;2; ;5;13;2;2;13;01;1;18;755,608199481551
3920683;1;2;1;10;2;2;1;8;2001;14;3;6;1; ; ;2;5; ;2;1;1;1;4;8; ;2;8;01; ;18;755,608199481551
3920683;1;3;1;10;3;1;1;2;2003;12;3;6;1; ; ;2;5; ;2;1;1;1;4;6; ;2;6;01; ;18;755,608199481551
3920683;1;4;1;10;1;1;1;7;2007;8;3; ;1; ; ;2;5; ;2;1;1;1;3;2; ;2;2;01; ;18;755,608199481551
3920684;1;1;1;10;1;1;1;4;1990;25;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1469,43706419292
3920684;1;2;1;10;2;2;1;10;1996;19;2;1;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1469,43706419292
3920684;1;3;1;10;2;2;1;5;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1469,43706419292
3920719;1;1;1;10;1;2;1;7;1946;69;1;4;1; ; ;1;2;80500;2;1;2; ;3;5; ;2;5;01; ;18;778,747244827131
3920719;1;2;1;10;2;1;1;7;1959;56;5;2;1; ; ;1;3;160000;2;1;2; ;3;4; ;2;4;01; ;18;778,747244827131
3920719;1;3;1;10;3;2;1;5;1987;28;9;2;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;01; ;18;778,747244827131
3920719;1;4;1;10;4;1;1;9;2005;10;4;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;01; ;18;778,747244827131
3920720;1;1;1;10;1;1;1;9;1960;55;1;6;1; ; ;1;3;80500;2;1;2; ;3;5; ;2;5;01; ;18;969,566215097152
3920721;1;1;1;10;1;1;1;7;1970;45;1;3;2;1;80; ; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1438,64678533341
3920721;1;2;1;10;2;2;1;12;1970;45;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1438,64678533341
3920721;1;3;1;10;2;2;1;12;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1438,64678533341
3920722;1;1;1;10;1;1;1;4;1942;73;1;2;1; ; ;1;5; ;2;1;2; ;3;4; ;2;4;01; ;18;865,444470061539
3920722;1;2;1;10;2;2;1;1;1952;64;2;2;1; ; ;1;5; ;2;1;2; ;3;2; ;2;2;01; ;18;865,444470061539
3920723;1;1;1;10;1;1;1;8;1972;43;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;18;1943,37098156174
3920723;1;2;1;10;2;2;1;2;1978;37;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1943,37098156174
3920723;1;3;1;10;3;1;1;8;1997;18;3;6;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;18;1943,37098156174
3920723;1;4;1;10;4;2;1;3;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;01; ;18;1943,37098156174
3920723;1;5;1;10;5;2;1;5;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;18;1943,37098156174
3920723;1;6;1;10;2;2;1;2;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;18;1943,37098156174
3920724;1;1;1;10;1;1;1;6;1984;31;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1469,43706419292
3920724;1;2;1;10;2;2;1;12;1994;21;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;18;1469,43706419292
3920724;1;3;1;10;2;2;1;11;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;18;1469,43706419292
3920725;1;1;1;10;1;1;1;11;1993;22;1;6;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;18;1382,77961386427
3920726;1;1;1;10;1;1;1;6;1972;43;1;2;1; ; ;1;5; ;2;1;2; ;4;6; ;2;6;01; ;18;653,491349852635
3920726;1;2;1;10;2;2;1;9;1974;41;2;2;1; ; ;1;3;80500;2;1;2; ;6;3;3;2;14;01; ;18;653,491349852635
3920726;1;3;1;10;3;2;1;2;2002;13;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;2;7;01; ;18;653,491349852635
3920726;1;4;1;10;2;1;1;4;2010;5;3; ;1; ; ;1;5; ;2;1;1;1;2;0; ;2;0;01; ;18;653,491349852635
3920727;1;1;1;10;1;1;1;11;1972;43;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1825,86533154245
3920727;1;2;1;10;2;2;1;11;1973;42;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;18;1825,86533154245
3920727;1;3;1;10;3;1;1;7;1995;20;3;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1825,86533154245
3920727;1;4;1;10;4;1;1;1;1997;19;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;1825,86533154245
3920727;1;5;1;10;5;1;1;6;1999;16;3;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;18;1825,86533154245
3920728;1;1;1;10;1;1;1;7;1969;46;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;18;878,015642730188
