DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295130;1;4;1;10;2;2;3;2017;0;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ;03;70;491,235424545222
4295131;1;1;1;10;1;2;6;1981;35;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;872,522464744334
4295131;1;2;1;10;2;1;4;2001;15;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;03;70;872,522464744334
4295131;1;3;1;10;1;1;12;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;872,522464744334
4295131;1;4;1;10;1;2;9;2005;11;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;872,522464744334
4295131;1;5;1;10;1;2;9;2009;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;872,522464744334
4295131;1;6;1;10;1;2;1;2011;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;03;70;872,522464744334
4295132;1;1;1;10;1;1;3;1950;67;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;774,459003511761
4295132;1;2;1;10;2;2;3;1956;61;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;774,459003511761
4295132;1;3;1;10;2;1;12;2003;13;4;6;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;03;70;774,459003511761
4295133;1;1;1;10;1;2;4;1959;57;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;03;70;759,421626350865
4295133;1;2;1;10;2;1;4;1961;55;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;759,421626350865
