DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4408988;1;2;1;70;2;68;40;2; ;2;68;2; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;21;11;85;1;2;8512;08;76;3082,24177162971
4411357;1;3;1;70;2;8;48;8; ;2;10;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;62;62;01;1;1;0121;08;20;2167,00198071911
4411386;1;2;1;70;2;8;48;1; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;53;53;55;1;1;5529;08;20;2284,08096602671
4411431;1;2;1;70;2;52;30;2; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;45;01;1;2;0117;08;20;1670,92492446006
4411447;1;1;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;59; ; ;1;2; ;08;44;1474,02164861046
4411553;1;2;1;70;2;24;40;2; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;06;13;80;1;2;8043;08;44;780,999885741517
4411553;1;3;1;70;2;16;40;1; ;2;20;4; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;32;32;75;1;2;7512;08;44;780,999885741517
4411600;1;4;1;70;2;5;50;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;350000; ; ;54; ; ;1;1; ;08;44;1617,03042973274
4411624;1;5;1;70;2;32;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;54; ; ;1;2; ;08;44;1744,75144573025
4411648;1;3;1;70;2;24;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;54; ; ;1;2; ;08;44;2702,60636978566
4411650;1;1;1;70;2;20;48;4; ;2;30;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;95;95;45;1;2;4522;08;44;999,055776882018
4411703;1;2;1;70;2;16;72;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;45;52;1;2;5211;08;47;1030,10297859841
4411708;1;5;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;12; ; ;1;2; ;08;47;1520,04442945073
4411726;1;2;1;70;2;50;40;2; ;2;156;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737500;2; ;32;32;80;1;2;8043;08;47;1523,60749713235
4411731;1;4;1;70;2;4;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;45;95;45;1;1;4521;08;47;1667,30395471078
4411743;1;2;1;70;2;8;24;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;53;53;55;1;1;5521;08;47;1725,77576950486
4411744;1;2;1;70;2;28;24;3; ;2;288;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;2;9500;08;47;1436,79934394468
4411746;1;3;1;70;2;24;48;1; ;2;48;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;62;01;1;2;0111;08;47;1326,62567130561
4411776;1;3;1;70;2;24;48;1; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737500;2; ;98;61;01;1;2;0140;08;47;1295,32065732733
4411806;1;2;1;70;2;4;48;1; ;2;30;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;54;95;1;1;9500;08;47;1564,34583774548
4411807;1;2;1;70;2;2;36;3; ;2;144;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;54;54;95;1;1;9500;08;47;1360,64440369104
4411809;1;4;1;70;2;8;48;3; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;53;55;1;1;5521;08;47;1094,3215407105
4411811;1;2;1;70;2;12;24;4; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;53;15;1;1;1551;08;47;2011,28541126494
4411889;1;4;1;70;2;52;60;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;95;55;11;1;2;1120;08;50;1323,03397573112
4411893;1;2;1;70;2;54;40;1; ;2;156;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737176;2; ;45;45;50;1;2;5051;08;50;1334,55802101855
4411901;1;2;1;70;2;104;48;1; ;2;800;4; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;21;32;75;1;2;7512;08;50;876,347916906952
