DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
926442,1,4,2,1,1,1,1,3,3,,,,,320000,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,885.609.184.300.963
926443,1,4,2,1,1,1,1,3,1,,,70000000,700000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,751.576.490.940.786
926444,1,6,4,1,1,1,1,3,1,,,73000000,500000,,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,844.073.344.555.729
926445,1,4,1,1,1,1,1,3,1,,,140000000,700000,,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,909.039.816.201.706
926446,1,4,2,1,1,1,1,3,3,,,,,650000,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,3,1,1,1,1,1,4,2,1,1,5,1,5,1,709.340.098.982.725
926447,1,5,2,1,1,1,1,3,2,,480000,90000000,700000,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,880.692.183.723.681
926448,1,3,2,1,1,1,1,4,3,,,,,290000,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,151.266.917.914.405
926449,1,5,3,1,1,1,1,4,1,,,60000000,600000,,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,17.763.378.320.101
926450,1,4,3,1,1,1,1,3,1,,,100000000,600000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,130.767.012.380.537
926451,1,3,1,1,1,1,1,1,3,,,,,300000,1,1,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,702.693.265.714.886
926452,1,4,3,1,1,1,1,1,1,,,60000000,300000,,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,831.833.979.911.481
926453,1,4,3,1,1,1,1,1,1,,,40000000,300000,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,968.527.859.321.428
926454,1,3,2,1,1,1,1,1,1,,,10000000,250000,,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,3,2,1,1,5,1,5,1,926.936.869.364.927
926455,1,4,1,1,1,1,1,4,3,,,,,220000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,993.537.473.383.011
926456,1,4,2,1,1,1,1,1,1,,,53000000,300000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,857.295.341.754.001
926457,1,5,3,1,1,1,1,1,1,,,25000000,250000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,941.814.773.593.829
926458,1,2,1,1,1,1,1,1,3,,,,,100000,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,808.079.064.019.732
926459,1,3,2,1,1,1,1,1,3,,,,,175000,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,879.862.284.710.149
926460,1,4,2,1,1,1,1,1,1,,,20000000,200000,,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,677.231.903.872.366
926461,1,4,3,1,1,1,1,3,1,,,35000000,280000,,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,614.984.065.876.518
