DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
945845,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,153.575.796.328.654
945845,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,153.575.796.328.654
945845,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,153.575.796.328.654
945847,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,178.612.459.663.372
945848,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,213.229.667.723.997
945848,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,213.229.667.723.997
945849,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.489.500.063.813
945849,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.489.500.063.813
945849,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.489.500.063.813
945851,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,125.858.614.562.427
945851,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,125.858.614.562.427
945851,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,125.858.614.562.427
945859,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.378.379.280.742
945859,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.378.379.280.742
945859,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.378.379.280.742
945859,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.378.379.280.742
945860,1,1,1,95,1,,1,2,,,500000,2,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945860,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945861,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945861,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945863,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,138.075.272.963.948
945863,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,138.075.272.963.948
945865,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,137.703.704.398.722
945865,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,137.703.704.398.722
945867,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,215.047.490.249.913
945867,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,215.047.490.249.913
945867,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,215.047.490.249.913
945867,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,215.047.490.249.913
945867,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,215.047.490.249.913
945869,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.972.883.791.868
945869,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.972.883.791.868
945871,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945871,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945872,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,133.248.332.655.493
945872,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,133.248.332.655.493
945872,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,133.248.332.655.493
945874,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,130.027.839.501.743
945874,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,130.027.839.501.743
945876,1,1,1,95,1,,1,1,,603000,250000,2,2,,,,,,,,,,,2,,,15,746.394.647.837.404
945877,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,182.332.056.896.078
945877,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,182.332.056.896.078
945884,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,156.796.289.482.404
945884,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,156.796.289.482.404
945884,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,156.796.289.482.404
945884,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,156.796.289.482.404
945886,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,69.182.338.429.458
945886,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,69.182.338.429.458
945886,1,5,1,95,2,,,,,,,,1,2,2,,,,,40000,2,1,2,2,,2,15,69.182.338.429.458
945888,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,165.878.490.610.148
945889,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.096.551.442.172
945889,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.096.551.442.172
945889,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.096.551.442.172
945891,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.128.200.973.952
945891,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.128.200.973.952
945891,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.128.200.973.952
945891,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,16.128.200.973.952
945894,1,1,1,95,2,,,,,,,,1,2,2,,,,,40000,2,1,2,2,,2,15,178.612.459.663.372
945895,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.267.258.497.671
945895,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.267.258.497.671
945895,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.267.258.497.671
945895,1,4,1,95,2,,2,2,,,,2,2,,,,,,,,,,,2,,,15,187.267.258.497.671
945895,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.267.258.497.671
945897,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,267.374.079.419.546
945897,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,267.374.079.419.546
945897,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,267.374.079.419.546
945897,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,267.374.079.419.546
945897,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,267.374.079.419.546
945899,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.272.841.662.291
945899,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.272.841.662.291
945899,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.272.841.662.291
945899,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.272.841.662.291
945901,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,116.282.088.676.938
945901,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,116.282.088.676.938
945901,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,116.282.088.676.938
945901,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,116.282.088.676.938
945903,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,227.287.134.545.392
