Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3769743;1;3;1;80;76;1;1;8; ;2; ;1;80000; ;1; ;2;1;1;07;76;791,178476957341
3769743;1;4;1;80;76;1;1;8; ;2; ;1;80000; ;1;PORQUE VA INGRESAR A VOLUNTARIADO DE LOS JUEGOS NACIONALES;12;1;1;07;76;791,178476957341
3769744;1;1;1;80;76;1;4;9;NO QUERIA SEGUIR TRABAJANDO;3; ;2; ; ; ; ;11;2;1;07;76;782,567732139376
3769745;1;2;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;901,106318842581
3769746;1;1;1;80;76;1;3;5; ;3; ;2; ; ; ; ;10;2;1;07;76;776,796227624211
3769746;1;2;1;80;76;1;4;4; ;2; ;2; ; ; ; ;9;2;1;07;76;776,796227624211
3769746;1;3;1;80;76;1;1;2; ;1;1;2; ; ; ; ;2;2;1;07;76;776,796227624211
3769746;1;5;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;776,796227624211
3769748;1;1;1;80;76;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;76;826,58946630577
3769752;2;1;2;80;76;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;76;644,737659345791
3769753;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;76;603,243911394087
3769753;1;2;1;80;76;1;2;8; ;2; ;2; ; ; ; ;9;2;1;07;76;603,243911394087
3769754;1;2;1;80;76;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;76;847,203328613066
3769755;1;1;1;80;76;1;1;8; ;2; ;1;200000; ; ;ESTA ESPERANDO QUE LA LLAMEN;12;2;1;07;76;810,180415362592
3769755;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;76;810,180415362592
3769757;1;2;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;1169,42692417503
3769757;1;3;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;1169,42692417503
3769759;1;2;1;80;76;1;3;9;SE QUEDO SIN PLANTE PARA TRABAJAR;2; ;2; ; ; ;NO TIENE RECURSOS PARA INSTALAR UN NEGOCIO;12;2;1;07;76;1237,14462088055
3769760;1;2;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;928,719002065797
3769760;1;3;1;80;76;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;76;928,719002065797
3769763;1;2;1;80;76;1;1;8; ;2; ;1;850000; ; ;NO BUSCA EMPLEO ESPERA QUE LE LLAMEN;12;2;1;07;76;977,649972989441
3769764;1;2;1;80;76;1;1;8; ;2; ;2; ; ; ; ;8;2;1;07;76;1144,70524477116
3769765;1;2;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;995,223977106504
3769765;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;76;995,223977106504
3769765;1;5;1;80;76;1;3;9;CAMBIO DE PAIS DE RESIDENCIA;2; ;2; ; ; ; ;9;2;1;07;76;995,223977106504
3769766;1;2;1;80;76;1;2;8; ;2; ;2; ; ; ; ;2;2;1;07;76;942,889614479414
3769801;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;76;735,66356282578
