Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2904706;1;2;1;70;05;96;48;1; ;2;96;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;32;50;1;2;5030;03;05;928,008226948398
2904709;1;1;1;70;05;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;45;45;52;1;1;5243;03;05;1075,10389764948
2904710;1;2;1;70;05;96;48;1; ;2;48;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;2;4542;03;05;1075,10389764948
2904711;1;1;1;70;05;9;25;4; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;39;92;1;1;9231;03;05;951,587403546759
2904711;1;3;1;70;05;12;48;1; ;2;18;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;95;45;1;1;4521;03;05;951,587403546759
2904714;1;6;1;70;05;13;48;4; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;03;05;1221,29966527097
2904717;1;2;1;70;05;36;42;4; ;2;1;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;79;17;1;2;1730;03;05;932,765346468042
2904719;1;2;1;70;05;84;48;1; ;2;84;1; ;9;9;SISBEN NIVEL 3; ; ; ; ; ; ; ; ;1; ;2; ;2;45;58;60;1;2;6021;03;05;1034,93870128018
2904726;1;2;1;70;05;8;48;1; ;2;8;1; ;6;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;45;45;52;1;1;5233;03;05;786,352310029962
2904726;1;3;1;70;05;12;16;1; ;2;104;1; ;3;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;53;53;55;1;1;5521;03;05;786,352310029962
2904754;1;2;1;70;17;150;48;1; ;2;52;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;15;1;2;1581;03;17;162,415564206405
2904757;1;1;1;70;17;200;48;1; ;2;200;1; ;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;2;98;98;60;1;2;6042;03;17;213,01579357462
2904762;1;2;1;70;17;12;48;1; ;2;144;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;11;52;1;1;5272;03;17;172,880659127397
2904762;1;5;1;70;17;24;48;1; ;2;32;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;98;74;1;2;7493;03;17;172,880659127397
2904763;1;3;1;70;17;2;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;03;17;240,716298244796
2904764;1;1;1;70;17;12;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5233;03;17;165,744144463789
2904774;1;1;1;70;17;96;48;1; ;2;96;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;59;92;1;2;9242;03;17;178,858738372572
2904778;1;1;1;70;17;2;48;1; ;2;144;1; ;5;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;55;1;1;5511;03;17;162,415564206405
2904780;1;1;1;70;17;16;48;4; ;2;16;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5262;03;17;229,330663514983
2904785;1;2;1;70;17;4;48;1; ;2;4;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;2000000;2;95;95;45;1;1;4521;03;17;157,056515696612
2904853;1;1;1;70;54;8;12;4; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;54;95;1;1;9500;03;54;367,012068649536
2904867;1;2;1;70;54;2;48;1; ;2;10;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;39;74;1;1;7413;03;54;307,501841974361
2904868;1;3;1;70;54;6;44;1; ;2;8;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;81;36;1;1;3611;03;54;511,916807538274
2904868;1;5;1;70;54;12;55;1; ;2;12;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3611;03;54;511,916807538274
2904953;1;1;1;70;76;6;70;1; ;2;6;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6041;03;76;926,920939482034
2904953;1;2;1;70;76;6;56;1; ;2;6;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;76;926,920939482034
2904957;1;1;1;70;76;32;48;1; ;2;32;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;28;1;2;2899;03;76;1381,73527892021
2904964;1;1;1;70;76;22;72;1; ;2;22;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;58;75;1;2;7512;03;76;1126,92834214097
2904964;1;2;1;70;76;30;48;1; ;2;8;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;32;74;1;2;7492;03;76;1126,92834214097
2904973;1;5;1;70;23;3;48;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;95;95;45;1;1;4521;03;23;159,031354796929
2904975;1;2;1;70;23;4;72;3; ;2;416;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;03;23;184,222139505047
2904978;1;1;1;70;23;3;48;1; ;2;3;1; ;2;4; ; ; ; ;1; ; ; ; ; ; ;1;400000;2;55;95;45;1;1;4521;03;23;162,884424160164
2905008;1;1;1;70;66;12;48;1; ;2;12;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;98;45;51;1;1;5141;03;66;257,044715450622
2905011;1;2;1;70;66;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;15;1;1;1571;03;66;189,122129246599
2905096;1;3;1;70;08;8;40;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;80;1;1;8045;03;08;500,810204098555
2905114;1;6;1;70;73;56;48;1; ;2;56;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;18;1;2;1810;03;73;291,873230956716
2905116;1;2;1;70;73;8;48;1; ;2;8;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;72;1;1;7220;03;73;273,470661734485
2905118;1;1;1;70;73;56;24;1; ;2;358;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;03;73;175,951847082545
2905122;1;2;1;70;73;12;40;1; ;2;36;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;03;73;270,953409259984
2905122;1;6;1;70;73;28;40;1; ;2;12;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;45;1;2;4530;03;73;270,953409259984
2905126;1;1;1;70;73;36;40;1; ;2;36;1; ;6;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;30;74;1;2;7492;03;73;168,973179054826
2905128;1;2;1;70;73;156;40;1; ;2;156;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;00;85;1;2;8532;03;73;201,940024189146
2905143;2;2;2;70;68;3;48;1; ;2;104;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;03;68;545,989459496225
2905150;1;3;1;70;68;1;24;1; ;2;24;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;68;441,932110421454
2905151;1;2;1;70;68;12;48;1; ;2;60;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;80;19;1;1;1929;03;68;401,564448138684
2905153;1;2;1;70;68;4;48;1; ;2;4;1; ;8;9;EL SISBEN; ; ; ; ; ; ; ; ;1; ;1;566800;2;55;55;51;1;1;5125;03;68;395,683276761666
2905154;1;1;1;70;68;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1922;03;68;289,416793504513
2905157;2;2;2;70;68;4;30;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1922;03;68;566,080579841745
2905160;1;2;1;70;68;24;48;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;2;5211;03;68;402,662822287956
2905160;1;3;1;70;68;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;83; ; ;1;1; ;03;68;402,662822287956
2905161;1;2;1;70;68;6;40;4; ;2;6;4; ;1;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;75;80;19;1;1;1921;03;68;466,131547469262
2905162;1;3;1;70;68;24;48;1; ;2;6;4; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;03;68;286,05016141877
2905162;1;4;1;70;68;6;48;1; ;2;6;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;03;68;286,05016141877
2905162;1;7;1;70;68;6;48;1; ;2;6;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;68;286,05016141877
2905162;1;9;1;70;68;24;48;4; ;2;150;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;68;286,05016141877
2905166;1;5;1;70;68;24;24;4; ;2;200;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;45;52;1;2;5233;03;68;537,787770742975
2905173;1;3;1;70;05;9;48;1; ;2;9;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;74;1;1;7493;03;05;1151,68991000036
2905175;1;2;1;70;05;8;48;1; ;2;8;4; ;1;1; ; ;1;1; ; ; ; ; ; ; ;2; ;2;55;54;74;1;1;7493;03;05;1075,10389764948
2905185;1;2;1;70;05;20;48;2; ;2;24;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;97;51;1;2;5155;03;05;881,766676578413
2905195;1;3;1;70;05;4;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;05;826,90846144931
2905197;1;1;1;70;05;7;48;4; ;2;7;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;1;4542;03;05;1076,6067357519
2905199;1;1;1;70;05;52;48;1; ;2;156;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;03;05;912,713173373953
2905209;1;1;1;70;05;96;48;1; ;2;96;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8515;03;05;826,225827186309
2905212;1;1;1;70;05;8;48;1; ;2;10;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;14;52;1;1;5233;03;05;882,449310841414
2905222;1;3;1;70;05;36;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;90000;2;07;07;85;1;2;8515;03;05;1105,69400479837
2905224;1;1;1;70;05;212;48;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5522;03;05;972,930542837342
2905233;1;3;1;70;05;13;48;2; ;2;13;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8060;03;05;1122,16565185888
2905249;1;1;1;70;52;156;48;4; ;2;156;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;74;1;2;7492;03;52;155,158390612879
2905249;1;3;1;70;52;8;44;1; ;2;6;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;87;28;1;1;2811;03;52;155,158390612879
2905252;1;2;1;70;52;3;40;1; ;2;3;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;95;95;36;1;1;3611;03;52;195,928466162196
2905260;1;2;1;70;52;12;72;1; ;2;12;6; ;2;9;CON LA HOJA DE SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;53;77;55;1;1;5521;03;52;216,326500083804
2905267;1;3;1;70;52;104;48;1; ;2;104;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;40;32;85;1;2;8532;03;52;150,84614222987
