DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;CLASE;DPTO;fex_c_2011
561680;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;961,88757287175
561681;1;2;80;1;2;2; ;2; ;1;300000;1;3600000; ; ; ;9;2;2;19;962,104983501122
561681;1;3;80;2; ; ; ;2; ;2; ;2; ;1;2; ;2; ;2;19;962,104983501122
561682;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1521,30476096873
561682;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1521,30476096873
561682;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1521,30476096873
561683;1;1;80;1;1;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;1302,74208576577
561683;2;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1302,74208576577
561683;2;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1302,74208576577
561684;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;766,695918263095
561687;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;865,950945908998
561691;1;3;80;1;1;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;1388,013811358
561691;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1388,013811358
561691;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1388,013811358
561692;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;742,91366571488
561692;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;742,91366571488
561692;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;742,91366571488
561693;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;864,74102616131
561693;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;864,74102616131
561697;1;2;80;1;1;8;SE  ABURRIO EN EL TRABAJO;2; ;2; ;2; ; ; ; ;1;2;2;19;1496,73945361144
561699;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1398,35529498616
561701;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;852,475124599665
561702;1;2;80;1;1;5; ;2; ;2; ;1;260000; ; ; ;9;2;2;19;844,398336135189
561702;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;844,398336135189
561702;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;844,398336135189
561703;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1169,56253967142
561704;1;3;80;1;1;1; ;2; ;2; ;1;30000; ; ; ;2;2;2;19;1180,5562551877
561704;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1180,5562551877
561705;1;2;80;1;1;7; ;2; ;1;60000;1;430000; ; ; ;1;2;2;19;1374,44221951699
561711;1;3;80;1;2;2; ;2; ;2; ;1;100000; ; ; ;9;2;2;19;821,767361640551
561717;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;750,381806499943
561717;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;750,381806499943
561717;1;3;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;750,381806499943
561717;1;5;80;2; ; ; ;2; ;2; ;2; ;1;3; ;1; ;2;19;750,381806499943
561717;1;6;80;2; ; ; ;2; ;2; ;2; ;1;1; ;1; ;2;19;750,381806499943
561720;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1159,00364541389
561720;1;5;80;1;2;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;1159,00364541389
561720;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1159,00364541389
561721;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1206,48204106066
561722;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;852,475124599665
561724;1;2;80;1;1;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1278,50559255423
561725;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1595,4713675283
561725;1;3;80;1;3;2; ;2; ;2; ;2; ; ; ; ;5;2;2;19;1595,4713675283
561725;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1595,4713675283
561725;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1595,4713675283
561725;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1595,4713675283
561727;1;1;80;2; ; ; ;3; ;2; ;2; ;1;4; ;10; ;2;19;875,517331048214
561727;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;875,517331048214
561728;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1398,57270561553
561729;1;1;80;1;1;7; ;3; ;1;45000;1;540000; ; ; ;8;2;2;19;769,675268219182
561729;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;4;2;2;19;769,675268219182
561730;1;3;80;1;2;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;1333,48874346139
561730;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1333,48874346139
561730;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1333,48874346139
561730;1;6;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;1333,48874346139
561730;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1333,48874346139
561731;1;2;80;1;3;5; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1034,53976694861
561731;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1034,53976694861
561732;1;5;80;1;2;2; ;2; ;1;100000;1;100000; ; ; ;9;2;2;19;1367,39554726714
561734;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;988,248180003451
561735;1;3;80;1;1;1; ;2; ;2; ;1;3000000; ;1; ;2;1;2;19;1158,78623478452
561735;1;4;80;1;1;7; ;2; ;2; ;1;120000; ; ; ;2;2;2;19;1158,78623478452
561735;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1158,78623478452
561736;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1034,53976694861
561736;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1034,53976694861
561738;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1229,94883218664
561739;1;2;80;1;1;7; ;2; ;2; ;1;80000; ; ; ;9;2;2;19;2068,19489605938
561739;2;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;2068,19489605938
561740;1;2;80;1;1;7; ;2; ;2; ;1;300000; ; ; ;9;2;2;19;1387,79640072863
561740;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1387,79640072863
561740;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1387,79640072863
561741;1;2;80;1;4;5; ;2; ;2; ;2; ; ; ; ;9;2;2;19;732,877406927641
561741;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;732,877406927641
561742;1;1;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;1059,93268076997
561742;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1059,93268076997
561743;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;962,104983501122
561744;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;743,653711814546
561746;1;1;80;1;3;4; ;3; ;2; ;2; ; ;2; ;8;1;2;19;610,870242948156
561746;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;610,870242948156
561751;1;2;80;1;4;2; ;2; ;2; ;2; ; ;2; ;9;1;2;19;865,950945908998
561752;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;951,111267984846
561753;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;11;2;2;19;1206,69945169003
561753;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1206,69945169003
561754;1;1;80;2; ; ; ;3; ;2; ;2; ;1;4; ;8; ;2;19;955,797625245044
561754;1;2;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;955,797625245044
561754;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;955,797625245044
561754;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;955,797625245044
561754;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;955,797625245044
561754;1;7;80;2; ; ; ;2; ;2; ;2; ;1;1; ;1; ;2;19;955,797625245044
561755;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;11;2;2;19;1424,0522071453
561756;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;782,269983926582
561757;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;792,30624271382
561757;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;792,30624271382
561759;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1265,25694019683
561759;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1265,25694019683
561759;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1265,25694019683
561760;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;844,398336135189
561760;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;844,398336135189
561760;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;844,398336135189
561761;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;574,483613610527
561761;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;574,483613610527
561766;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;875,517331048214
561767;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1423,50598237017
561767;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1423,50598237017
561768;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1722,23003937143
561768;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1722,23003937143
561770;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1573,63888077551
561770;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1573,63888077551
561771;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1082,36810643876
561771;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1082,36810643876
561772;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1793,34875021236
561772;1;4;80;1;1;7; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1793,34875021236
561772;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1793,34875021236
561772;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1793,34875021236
561772;1;8;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1793,34875021236
561773;1;2;80;1;2;7; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1307,44407601067
561773;1;3;80;1;1;7; ;2; ;2; ;1;360000; ; ; ;1;2;2;19;1307,44407601067
561773;1;5;80;1;2;8;NO QUIZO SEGUIR EN EL TRABAJO;2; ;2; ;1;300000; ; ; ;1;2;2;19;1307,44407601067
561773;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1307,44407601067
561774;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;633,912449396706
561774;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;633,912449396706
561775;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;2;19;815,34844916237
561775;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;815,34844916237
561777;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;574,483613610527
561777;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;574,483613610527
561778;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1084,40221759557
561778;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1084,40221759557
561779;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561779;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561779;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561779;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561779;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561779;2;2;80;1;1;3; ;2; ;2; ;1;400000; ; ; ;4;2;2;19;578,377416795938
561779;2;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;578,377416795938
561781;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;717,303341264155
561782;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1000,72125561316
561782;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1000,72125561316
561783;1;2;80;1;1;7; ;2; ;2; ;1;200000; ; ; ;1;2;2;19;722,101102040737
561783;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561783;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561784;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1023,13481947842
561784;1;3;80;1;1;7; ;2; ;2; ;1;300000; ; ; ;1;2;2;19;1023,13481947842
561786;1;3;80;2; ; ; ;2; ;2; ;1;100000;1;2; ;1; ;2;19;951,328678614217
561786;1;4;80;2; ; ; ;2; ;2; ;1;60000;1;1; ;5; ;2;19;951,328678614217
561787;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;940,552373727312
561787;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;940,552373727312
561787;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;940,552373727312
561787;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;940,552373727312
561788;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;961,88757287175
561789;1;1;80;2; ; ; ;2; ;2; ;2; ;1;1; ;4; ;2;19;865,950945908998
561789;1;2;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;865,950945908998
561791;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;994,382678080304
561796;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;852,475124599665
561797;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;782,41104342885
561797;1;4;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;782,41104342885
561797;1;7;80;1;1;5; ;2; ;2; ;1;500000; ;1; ;5;1;2;19;782,41104342885
561798;1;2;80;1;3;2; ;2; ;1;21000;1;100000; ;1; ;9;1;2;19;709,506386333337
561798;1;3;80;1;2;2; ;2; ;2; ;2; ; ; ;POR EMBARAZO;12;2;2;19;709,506386333337
561798;1;4;80;1;2;8;POR EMBARAZO;2; ;2; ;2; ; ; ; ;9;2;2;19;709,506386333337
561800;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;2188,16001250235
561800;1;15;80;1;2;8;EMBARAZO;2; ;2; ;2; ; ;1; ;9;1;2;19;2188,16001250235
561801;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;826,124754049274
561802;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;988,248180003451
561803;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;826,124754049274
561803;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;826,124754049274
561804;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1158,78623478452
561804;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1158,78623478452
561807;1;2;80;1;1;3; ;2; ;2; ;1;24000; ; ; ;4;2;2;19;1268,82780389863
561807;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1268,82780389863
561809;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1275,81583445437
561810;1;2;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;805,312190375131
561812;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;891,982738894945
561812;1;4;80;2; ; ; ;2; ;1;28000;1;45000;1;1; ;9; ;2;19;891,982738894945
561813;1;1;80;1;1;3; ;2; ;2; ;1;210000; ; ; ;4;2;2;19;1084,40221759557
561814;1;2;80;1;1;7; ;2; ;2; ;2; ; ; ; ;1;2;2;19;743,653711814546
561819;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;855,174641022094
561820;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1689,04752879568
561821;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;852,475124599665
561822;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1354,04826934078
561822;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1354,04826934078
561823;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1452,50969362448
561823;1;8;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1452,50969362448
561824;1;2;80;1;2;2; ;2; ;2; ;1;86000; ; ; ;9;2;2;19;1362,70129322087
561824;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1362,70129322087
561824;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1362,70129322087
561825;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;938,516552277447
561826;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1424,93331274723
561827;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561827;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561831;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1073,62591270867
561831;1;3;80;2; ; ; ;2; ;2; ;2; ;1;1; ;8; ;2;19;1073,62591270867
561831;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1073,62591270867
561834;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1060,15009139934
561835;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1156,20835845978
561838;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;670,890114221301
561838;1;4;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;670,890114221301
561839;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;940,552373727312
561839;1;3;80;1;2;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;940,552373727312
561839;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;940,552373727312
561839;1;5;80;1;2;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;940,552373727312
561840;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;962,104983501122
561843;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;743,653711814546
561844;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1389,28599740337
561844;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1389,28599740337
561844;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1389,28599740337
561844;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1389,28599740337
561845;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1302,41866802341
561848;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1084,1848069662
561852;1;1;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;1073,4085020793
561852;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1073,4085020793
561853;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;951,328678614217
561853;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;951,328678614217
561854;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;722,101102040737
561854;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561854;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;722,101102040737
561856;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;875,517331048214
561857;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1195,45021185947
561857;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1195,45021185947
561857;2;2;80;2; ; ; ;2; ;2; ;2; ;1;2; ;3; ;2;19;1195,45021185947
561858;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1058,31548185123
561858;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1058,31548185123
561859;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1021,80662622385
561859;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1021,80662622385
561859;1;4;80;1;3;5; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1021,80662622385
561861;1;4;80;1;2;2; ;2; ;2; ;2; ; ; ; ;1;2;2;19;1260,66676577178
561862;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1192,60328766282
561864;1;1;80;1;4;8;POR EDAD;2; ;2; ;2; ; ; ; ;8;2;2;19;803,082547600725
561865;1;2;80;1;4;7; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1157,40264522276
561865;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1157,40264522276
561866;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1169,77995030079
561866;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1169,77995030079
561866;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1169,77995030079
561868;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1810,9099416314
561870;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;875,517331048214
561872;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1344,92874332086
561872;1;3;80;1;2;1; ;2; ;2; ;2; ; ; ; ;2;2;2;19;1344,92874332086
561872;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1344,92874332086
561872;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1344,92874332086
561872;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1344,92874332086
561875;1;1;80;1;1;3; ;2; ;2; ;1;500000; ; ; ;4;2;2;19;1341,25235076481
561881;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1099,769109211
561881;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1099,769109211
561882;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;19;904,455814504651
561882;1;2;80;1;1;7; ;2; ;2; ;1;60000; ; ; ;4;2;2;19;904,455814504651
561882;1;3;80;1;1;3; ;2; ;2; ;1;400000; ; ; ;4;2;2;19;904,455814504651
561882;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;904,455814504651
561882;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;904,455814504651
561883;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1000,72125561316
561884;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;19;574,483613610527
561884;1;2;80;1;4;7; ;2; ;2; ;2; ; ; ; ;8;2;2;19;574,483613610527
561884;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;574,483613610527
561885;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1778,96552672463
561885;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1778,96552672463
561885;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1778,96552672463
561886;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1192,60328766282
561887;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1581,14702719263
561905;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2001,40471162659
561905;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2001,40471162659
561905;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2001,40471162659
561906;1;2;80;1;4;8;ESTABA EMBARAZADA;2; ;2; ;2; ; ; ; ;9;2;2;25;2984,59983325437
561907;1;1;80;1;4;2; ;3; ;2; ;2; ; ;4; ;9;1;2;25;1832,1125864718
561908;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1973,85223323041
561909;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2622,27318136178
561909;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2622,27318136178
561912;1;2;80;1;1;5; ;2; ;2; ;1;4333700; ; ;SE VA A TOMAR  UNAS VACACIONES;12;2;2;25;2599,17732627312
561912;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2599,17732627312
561912;1;4;80;1;2;8;ESTABA EMBARAZADA;2; ;2; ;2; ; ; ; ;9;2;2;25;2599,17732627312
561913;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1570,92203080991
561914;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2545,45447207575
561915;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2141,14216706027
561918;1;1;80;1;4;8;POR LA EDAD YA NO LE DIERON MAS TRABAJO;2; ;2; ;2; ; ; ; ;8;2;2;25;2641,16297939601
