Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3691857;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1504,29775373009
3691857;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1504,29775373009
3691858;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;7; ; ; ; ; ; ;2;03;68;2540,99853344485
3691858;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;14; ; ; ; ; ; ;2;03;68;2540,99853344485
3691858;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;68;2540,99853344485
3691861;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;14; ; ; ; ; ; ;2;03;68;1153,15006606351
3691861;1;2;1;90;2;1;2;1;1;2;2;2;2;2; ;28; ;28;7; ; ; ; ; ;2;03;68;1153,15006606351
3691861;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;68;1153,15006606351
3691871;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;68;1011,27866007426
3691871;1;2;1;90;1;1;2;2;2;2;2;2;2;2;5;30; ; ; ; ; ; ; ; ;2;03;68;1011,27866007426
3691871;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;40; ; ; ; ; ; ;2;03;68;1011,27866007426
3691871;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;21; ; ; ; ; ; ;2;03;68;1011,27866007426
3691882;1;1;1;90;1;1;2;1;2;2;2;2;2;2;4;28; ;21; ; ; ; ; ; ;2;03;68;1257,03123971076
3691882;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;28; ; ; ; ; ; ;2;03;68;1257,03123971076
3691882;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;2;03;68;1257,03123971076
3691882;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1257,03123971076
3691886;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2502,04098042597
3691886;1;2;1;90;2;1;1;2;2;2;2;2;2;2; ;14;21; ; ; ; ; ; ; ;2;03;68;2502,04098042597
3691887;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;21; ; ; ; ; ; ;2;03;68;2327,68648610127
3691887;1;2;1;90;1;1;2;1;2;2;2;2;2;2;21;21; ;28; ; ; ; ; ; ;2;03;68;2327,68648610127
3691888;1;1;1;90;1;1;2;2;2;2;2;2;2;2;21;21; ; ; ; ; ; ; ; ;2;03;68;2126,64873960741
3691889;1;1;1;90;1;1;2;2;2;2;2;2;2;2;7;14; ; ; ; ; ; ; ; ;2;03;68;2207,4163100362
3691890;1;1;1;90;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;3; ; ;2;03;68;1706,33911865919
3691890;1;2;1;90;1;1;2;1;2;2;2;2;2;2;14;30; ;14; ; ; ; ; ; ;2;03;68;1706,33911865919
3692261;1;1;1;90;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;8; ; ;2;03;63;1212,76965993146
3692261;1;2;1;90;1;1;2;1;2;2;2;2;2;2;2;35; ;14; ; ; ; ; ; ;2;03;63;1212,76965993146
3692262;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;63;1475,41391394712
3692263;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;03;63;931,248203813364
3692263;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;931,248203813364
3692263;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;03;63;931,248203813364
3692264;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;1227,46783592083
3692264;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;2;03;63;1227,46783592083
