Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3682904;1;4;1;80;76;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;76;812,553139720508
3682905;1;2;1;80;76;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;76;979,23841632143
3682905;1;4;1;80;76;2; ; ; ;2; ;2; ;1;1; ;2; ;1;03;76;979,23841632143
3682906;1;1;1;80;76;1;4;3; ;3; ;2; ; ; ; ;9;2;1;03;76;1166,12757975259
3682907;1;2;1;80;76;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;76;1098,1493402879
3682907;1;5;1;80;76;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;76;1098,1493402879
3682972;1;1;1;80;73;1;4;4; ;3; ;2; ; ; ; ;4;2;1;03;73;325,204844237615
3682972;1;3;1;80;73;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;73;325,204844237615
3682976;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;234,587497446518
3682977;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;378,796702970286
3682982;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;232,987771979706
3682982;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;232,987771979706
3682982;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;232,987771979706
3682982;1;4;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;232,987771979706
3682982;1;5;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;232,987771979706
3682983;1;5;1;80;73;1;3;7; ;2; ;2; ; ; ; ;8;2;1;03;73;416,57915511393
3682984;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;229,735035928613
3682986;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;73;283,81367463101
3682990;1;2;1;80;08;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;08;469,948919905788
3682990;1;3;1;80;08;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;08;469,948919905788
