Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3693263;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2870,07148076654
3693263;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2870,07148076654
3693503;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;54;1146,3303919221
3693503;1;2;1;80;2;1;4;6; ;2; ;2; ; ; ; ;8;2;1;03;54;1146,3303919221
3693514;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;54;855,748049739624
3693519;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;2015,565900958
3693520;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;03;54;2983,98945917155
3693520;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;54;2983,98945917155
3693545;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;1797,897942474
3693552;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;2713,12759587405
3693553;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;2023,07958485494
3693553;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;54;2023,07958485494
3693589;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;54;1783,36734991756
3693589;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;54;1783,36734991756
3693595;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;54;1985,15718549018
3693596;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;3223,00932793113
3693597;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;54;2454,71753164382
3693597;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;54;2454,71753164382
3693639;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;2364,60742278673
3693639;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;2364,60742278673
