DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5433156;1;1;1;70;2;48;40;1; ;2;48;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;47;55;97;1;2;04;4711;19;7880,63084787308
5433157;1;1;1;70;2;32;40;3; ;2;32;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;81;54;54;1;2;04;8121;19;2233,04915550031
5433162;1;2;1;70;2;52;44;3; ;2;52;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;04;9700;19;3640,77918291199
5433237;1;2;1;70;2;20;40;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;17;97;97;1;2;04;1709;19;8252,16731253728
5433240;1;4;1;70;2;32;44;1; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;45;45;84;1;2;04;4520;19;5200,1742734506
5433246;1;3;1;70;2;52;40;1; ;2;54;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;87;59;59;1;2;04;8730;19;3189,49438743372
5433459;1;1;1;70;2;36;48;1; ;2;36;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;97;90;54;1;2;04;9700;05;1572,96769156792
5433462;1;2;1;70;2;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;14;39;39;1;2;04;1410;05;885,684251554455
5433463;1;1;1;70;2;48;48;1; ;2;35;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;100000;908000;2; ;81;55;55;1;2;04;8121;05;885,684251554455
5433463;1;4;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;980000;2; ;10;97;97;1;1;04;1089;05;885,684251554455
5433529;1;3;1;70;2;13;40;1; ;2;13;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;86;11;39;1;1;04;8621;52;886,980260147993
5433538;1;2;1;70;2;32;40;3; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;01;54;61;1;2;04;0141;52;886,980260147993
5433584;1;3;1;70;2;4;40;1; ;2;8;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;02;39;1;1;04;8412;68;3940,77267548239
5433587;1;2;1;70;2;204;40;1; ;2;204;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;98;98;1;2;04;4921;68;4792,74179252472
5433587;1;3;1;70;2;12;40;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;58;58;1;1;04;6820;68;4792,74179252472
5433610;1;3;1;70;2;48;48;1; ;2;24;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1400000;2; ;42;03;03;1;2;04;4210;15;1609,4596379371
5433619;1;2;1;70;2;2;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;800000;2; ;01;61;61;1;1;04;0141;18;510,814639255018
5433623;1;2;1;70;2;4;48;4; ;2;4;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;800000;2; ;42;61;95;1;1;04;4210;18;335,256003101914
5433624;1;1;1;70;2;52;48;3; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;500000;2; ;97;54;54;1;2;04;9700;18;332,151820078655
5433634;1;2;1;70;2;28;40;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;2;04;5611;18;286,199529212392
5433637;1;2;1;70;2;8;40;8; ;2;52;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;62;62;1;1;04;0141;18;161,149155945502
5433641;1;2;1;70;2;6;48;4; ;2;32;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;61;39;1;1;04;4711;18;290,448745335747
5433642;1;2;1;70;2;8;30;3; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;54;60;1;1;04;0141;18;161,149155945502
5433644;1;1;1;70;2;20;40;1; ;2;40;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;53;60;1;2;04;0123;18;644,596623782006
5433644;1;3;1;70;2;5;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;62; ;1;1;04;.;18;644,596623782006
5433646;1;1;1;70;2;5;40;1; ;2;8;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;600000;700000;2; ;41;95;95;1;1;04;4111;18;286,199529212392
5433660;1;2;1;70;2;20;40;2; ;2;24;2; ;8;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;1000000;2; ;85;54;55;1;2;04;8513;18;161,149155945502
5433664;1;2;1;70;2;12;30;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;01;45;60;1;1;04;0141;18;185,960969077766
5433666;1;2;1;70;2;20;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;61; ;1;2;04;.;18;591,111962743614
5433674;1;1;1;70;2;5;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;500000;2; ;01;61;61;1;1;04;0161;18;494,174806685719
5434471;1;3;1;70;2;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;85;45;13;1;1;04;8559;23;973,987363978775
5434474;1;3;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;300000;2; ;41;95;95;1;1;04;4111;23;985,113656398594
5434474;1;4;1;70;2;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;250000; ; ; ;54; ;1;1;04;.;23;985,113656398594
5434475;1;1;1;70;2;2;48;1; ;2;2;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;400000;2; ;56;53;53;1;1;04;5630;23;832,928048798804
5434476;1;2;1;70;2;104;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;908526;2; ;02;58;97;1;2;04;0220;23;978,168924913607
5434477;1;2;1;70;2;54;48;8; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;480000;2; ;01;62;62;1;2;04;0161;23;851,073652729525
5434530;1;4;1;70;2;8;48;8; ;2;12;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;62;62;1;1;04;0141;23;2412,78186533076
5434537;1;1;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;59; ;1;1;04;.;23;3448,7896582215
5434538;1;2;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;19; ;1;1;04;.;23;1473,13867325614
5434542;1;3;1;70;2;14;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;58; ;1;2;04;.;23;3377,39906693675
