DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5272868;1;5;1;1;1;1;1;1;3;4; ; ; ;800000; ;1;1;2;1;1;2;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;3;1;2;1;1;1;3;1;1;01;15;1;11;15;100,658713044864
5272869;1;4;2;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;1;1;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;3;7;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;15;1;11;15;134,429431190065
5272870;1;4;3;1;1;1;1;1;3;1; ; ;170000000;750000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1302,88109617431
5272871;1;4;3;1;1;1;1;1;3;2; ;490000;12000000;750000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1102,03833005632
5272872;1;4;3;1;1;1;1;1;3;1; ; ;300000000;500000; ;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1102,17392616108
5272873;1;4;3;1;1;1;1;1;3;3; ; ; ; ;650000;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1646,3327649964
5272874;1;3;2;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;1;2;2;1;2;1;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1162,00295356309
5272875;1;3;2;1;1;1;1;1;3;2; ;390000;120000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1181,06611696682
5272876;1;3;2;1;1;1;1;1;3;1; ; ;130000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1232,50982292108
5272877;1;4;3;1;1;1;1;1;3;2; ;1000000;140000000;600000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;1;1;1;1;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1374,18554752636
