DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4707895;1;2;1;70;50;56;48;4; ;2;52;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;57;45;52;1;2;5233;09;50;365,587648681117
4707903;1;2;1;70;50;52;48;1; ;2;56;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;21;44;63;1;2;6340;09;50;292,393338269441
4707907;1;1;1;70;50;28;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;55;74;1;2;7491;09;50;140,006508358077
4707911;1;2;1;70;52;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;1000000;2; ;59;59;85;1;2;8515;09;52;261,405296631406
4707924;1;1;1;70;52;99;48;1; ;2;99;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2000000;1;4;09;13;80;1;2;8060;09;52;157,433839828192
4707934;2;2;2;70;52;8;24;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;600000;2; ;45;33;55;1;1;5530;09;52;153,064297502182
4707939;1;1;1;70;52;32;40;1; ;2;12;2; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;1;600000;786000;2; ;45;39;75;1;2;7512;09;52;202,107533311141
4707946;1;2;1;70;52;4;24;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;150000;2; ;56;56;93;1;1;9301;09;52;162,776080616351
4707950;1;2;1;70;54;16;48;1; ;2;364;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;900000;1;1;32;32;74;1;2;7492;09;54;361,455595113152
4707950;1;3;1;70;54;6;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;750000; ; ;12; ; ;1;1; ;09;54;361,455595113152
4707966;1;1;1;70;54;6;50;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;1;4521;09;54;380,505048371393
4707973;1;2;1;70;54;8;8;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;79;79;19;1;1;1922;09;54;942,421682307609
4707982;1;1;1;70;54;4;48;1; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;789500;2; ;55;77;55;1;1;5529;09;54;412,461161951922
4707985;1;3;1;70;54;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;780000; ; ;45; ; ;1;1; ;09;54;379,218116201981
4707985;1;5;1;70;54;2;50;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;920000;850000;2; ;95;95;45;1;1;4521;09;54;379,218116201981
4707989;1;2;1;70;54;3;48;1; ;2;4;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;45;45;52;1;1;5262;09;54;506,407141114125
4707994;1;5;1;70;54;4;48;1; ;2;8;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;53;55;1;1;5521;09;54;382,789172455223
4708115;1;3;1;70;66;3;48;3; ;2;3;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;781500;2; ;54;54;95;1;1;9500;09;66;252,38991628671
4708120;1;1;1;70;66;8;40;1; ;2;200;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;53;55;1;1;5522;09;66;316,366882383983
4708125;1;1;1;70;66;40;48;1; ;2;40;4; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;79;18;1;2;1810;09;66;315,922609550089
4708128;1;2;1;70;66;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781500; ; ;53; ; ;1;2; ;09;66;300,805145303136
4708139;1;3;1;70;66;22;48;1; ;2;22;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;87;58;70;1;2;7020;09;66;253,664249656492
4708140;1;5;1;70;66;4;40;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;700000;2; ;62;62;01;1;1;0111;09;66;248,268252896596
4708148;1;2;1;70;66;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;781242;2; ;79;79;18;1;1;1810;09;66;252,834189120603
4708152;1;3;1;70;66;32;48;1; ;2;8;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;97;35;1;2;3591;09;66;238,732409259296
4708171;1;1;1;70;66;24;48;1; ;2;48;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;45;52;1;2;5233;09;66;286,317577739835
4708171;1;2;1;70;66;12;48;1; ;2;12;1; ;3;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;39;75;1;1;7512;09;66;286,317577739835
4708182;1;4;1;70;66;52;48;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781500;2; ;32;32;18;1;2;1810;09;66;254,650074458217
4708186;1;3;1;70;68;48;48;1; ;2;52;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;02;70;45;1;2;4530;09;68;510,515397872077
4708197;1;5;1;70;68;6;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;38;38;74;1;1;7499;09;68;548,426129844654
4708210;1;1;1;70;68;16;48;1; ;2;16;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;97;45;1;2;4530;09;68;580,353543500684
4708216;1;2;1;70;68;8;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;17;92;1;1;9214;09;68;466,270653627974
4708217;1;3;1;70;68;7;48;1; ;2;12;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;03;03;28;1;1;2899;09;68;526,916179475436
4708218;1;1;1;70;68;1;48;1; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;781242;2; ;57;57;93;1;1;9302;09;68;579,0714112925
4708221;1;2;1;70;68;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;1;781242;781242;2; ;55;55;15;1;1;1591;09;68;515,727197401988
4708251;1;4;1;70;68;8;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787500;2; ;38;54;80;1;1;8042;09;68;453,646209694869
4708252;1;4;1;70;68;24;48;1; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;45;15;1;2;1551;09;68;552,207557643934
4708253;1;2;1;70;68;1;54;4; ;2;1;4; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;920000;920000;2; ;78;78;16;1;1;1600;09;68;510,865202114013
4708256;1;2;1;70;68;24;48;4; ;2;144;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;98;98;60;1;2;6031;09;68;517,385635991094
4708257;1;2;1;70;68;8;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;80;80;19;1;1;1929;09;68;465,013044937168
4708292;1;1;1;70;73;8;60;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;60;62;01;1;1;0111;09;73;164,599085051784
4708302;1;1;1;70;73;6;24;4; ;2;7;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;95;95;45;1;1;4521;09;73;219,465446735712
4708305;1;2;1;70;73;24;60;1; ;2;24;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781700;2; ;93;93;45;1;2;4521;09;73;209,412913776804
4708307;1;3;1;70;73;36;48;1; ;2;36;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;19;53;55;1;2;5522;09;73;171,302536197882
4708314;1;1;1;70;73;4;54;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;95;95;45;1;1;4521;09;73;278,77891952312
4708315;1;2;1;70;73;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;2;5521;09;73;254,630053972857
4708316;1;1;1;70;73;8;48;4; ;2;288;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;95;45;1;1;4521;09;73;219,465446735712
4708319;1;1;1;70;73;16;48;3; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;53;55;1;2;5521;09;73;387,964245930762
4708319;1;2;1;70;73;8;48;1; ;2;32;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;79;79;18;1;1;1810;09;73;387,964245930762
4708327;1;1;1;70;76;4;48;1; ;2;2;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;100000;781242;2; ;98;98;60;1;1;6021;09;76;1194,27442339837
4708330;1;3;1;70;76;4;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;45; ; ;1;1; ;09;76;805,408692203535
4708332;1;2;1;70;76;52;40;3; ;2;52;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;55;74;1;2;7493;09;76;977,799869276882
4708335;1;1;1;70;76;1;48;1; ;2;3;1; ;9;2;6; ; ; ; ;1; ; ; ; ; ; ;2; ;781242;2; ;13;13;80;1;1;8045;09;76;1149,33365978473
