DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,CLASE,FT,DPTO,AREA,fex_c_2011
926378,1,4,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,7,,,,,,,1,1,5,5,958.489.302.329.764
926378,1,6,1,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,1,1,5,5,958.489.302.329.764
926379,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,1,1,5,5,888.168.916.005.052
926379,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,888.168.916.005.052
926381,1,1,1,90,,2,,1,2,2,2,2,1,2,2,2,,,2,,,,,2,,,,1,1,5,5,176.138.436.744.736
926381,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,22,,,,,,,,,1,1,5,5,176.138.436.744.736
926383,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,36,,,,,,,,,1,1,5,5,72.034.030.903.603
926384,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,517.242.636.838.419
926384,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,517.242.636.838.419
926384,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,3,,,,,,,,,1,1,5,5,517.242.636.838.419
926384,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,517.242.636.838.419
926385,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,751.576.490.940.786
926385,1,2,1,90,,2,,1,1,2,2,2,2,2,2,2,,,21,21,,,,,,,,1,1,5,5,751.576.490.940.786
926385,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,1,1,5,5,751.576.490.940.786
926386,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,1,1,5,5,888.168.916.005.052
926386,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,1,1,5,5,888.168.916.005.052
926387,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,726.987.142.303.868
926388,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,839.285.690.779.153
926389,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,1,1,5,5,684.708.636.153.737
926389,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,1,,,,,,,,,1,1,5,5,684.708.636.153.737
926390,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,1,1,5,5,870.595.176.531.444
926390,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,3,,,,,,,,,1,1,5,5,870.595.176.531.444
926391,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,1,1,5,5,148.308.852.348.211
926392,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,967.676.164.847.783
926393,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,7,,7,,,,,,,1,1,5,5,853.001.239.734.702
926393,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,28,,56,,,,,,,1,1,5,5,853.001.239.734.702
926393,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,3,,,,,,,,,1,1,5,5,853.001.239.734.702
926395,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,990.697.998.819.728
