DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
926494;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;82.608.871.499.458
926495;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;726.248.127.872.555
926495;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;726.248.127.872.555
926496;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;942.279.664.328.512
926496;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;942.279.664.328.512
926496;1;6;1;80;5;1;9;4;;3;;2;;;;;10;2;1;5;942.279.664.328.512
926499;1;1;1;80;5;1;4;4;;3;;2;;;;;9;2;1;5;787.208.163.823.078
926501;1;3;1;80;5;1;1;1;;2;;1;100000;;;;2;2;1;5;727.153.120.823.979
926504;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;751.576.490.940.786
926505;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;751.576.490.940.786
926506;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;650.615.738.758.811
926507;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;597.475.104.395.416
926508;1;2;1;80;5;1;3;8;CAMBIO DE   PAIS;2;;2;;;;;1;2;1;5;10.287.544.101.048
926508;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;10.287.544.101.048
926509;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;100.330.966.685.877
926509;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;100.330.966.685.877
926510;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;713.226.184.408.363
926510;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;713.226.184.408.363
926511;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;72.034.030.903.603
926512;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;787.233.185.236.777
926512;1;4;1;80;5;2;;;;2;;1;100000;2;;.;;;1;5;787.233.185.236.777
926515;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;867.394.706.559.502
926515;1;3;1;80;5;2;;;;2;;2;;1;4;;1;;1;5;867.394.706.559.502
926516;1;2;1;80;5;1;3;2;;1;2;2;;;;;9;2;1;5;94.034.313.371.223
926516;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;94.034.313.371.223
926517;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;828.614.656.767.606
926518;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;496.038.684.133.395
926518;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;496.038.684.133.395
926518;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;496.038.684.133.395
926518;1;4;1;80;5;1;4;3;;3;;2;;;;;4;2;1;5;496.038.684.133.395
926519;1;1;1;80;5;1;4;3;;2;;2;;;4;;4;1;1;5;827.947.894.485.842
926520;1;2;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;640.613.064.704.414
926520;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;640.613.064.704.414
926520;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;640.613.064.704.414
926522;1;4;1;80;5;1;1;7;;2;;1;200000;;1;;1;1;1;5;48.503.847.408.009
926523;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;893.985.850.259.358
926524;1;2;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;684.708.636.153.737
926527;1;1;1;80;5;1;4;2;;3;;2;;;;;9;2;1;5;758.890.086.490.388
926527;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;758.890.086.490.388
926530;1;2;1;80;5;1;4;0;;2;;2;;;;;1;2;1;5;161.615.812.803.946
926531;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;104.911.246.477.604
926531;1;4;1;80;5;1;1;5;;2;;2;;;;;2;2;1;5;104.911.246.477.604
926532;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;116.822.098.325.093
926532;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;116.822.098.325.093
926534;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;166.366.795.982.296
926535;1;2;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;691.355.469.421.575
926537;1;1;1;80;5;1;3;2;;3;;2;;;;;11;2;1;5;878.166.241.950.655
926540;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;67.814.336.418.557
926540;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;67.814.336.418.557
926541;1;1;1;80;5;1;3;3;;1;2;2;;;;;4;2;1;5;968.912.352.159.072
926543;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;54.811.621.108.947
926543;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;54.811.621.108.947
926544;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;878.166.241.950.655
926544;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;878.166.241.950.655
926545;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;727.349.749.957.573
926545;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;727.349.749.957.573
926545;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;727.349.749.957.573
926547;1;4;1;80;5;1;1;7;;2;;2;;;1;;2;1;1;5;788.071.460.970.528
926547;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;788.071.460.970.528
926552;1;2;1;80;5;1;3;2;;2;;2;;;;;9;2;1;5;751.576.490.940.786
926555;1;1;1;80;5;1;4;0;;2;;2;;;2;;5;1;1;5;691.355.469.421.575
926555;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;691.355.469.421.575
926556;1;2;1;80;5;1;3;3;;2;;2;;;;;4;2;1;5;831.838.513.643.117
926557;1;2;1;80;5;1;2;7;;2;;2;;;;;2;2;1;5;614.984.065.876.518
926558;1;1;1;80;5;1;4;5;;3;;2;;;;;11;2;1;5;898.368.782.190.159
926558;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;898.368.782.190.159
926558;1;4;1;80;5;1;3;2;;3;;2;;;;;9;2;1;5;898.368.782.190.159
926559;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;893.289.622.289.999
926559;1;5;1;80;5;2;;;;2;;2;;1;1;;2;;1;5;893.289.622.289.999
926561;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;668.625.389.733.659
926561;2;3;2;80;5;2;;;;2;;2;;2;;.;;;1;5;668.625.389.733.659
926561;2;4;2;80;5;2;;;;2;;2;;2;;.;;;1;5;668.625.389.733.659
926567;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;92.416.319.654.105
926569;1;2;1;80;5;1;4;8;CAMBIO DE  DOMICILIO;2;;2;;;;;9;2;1;5;894.815.749.272.891
926570;1;2;1;80;5;1;2;8;CANSANCIO;2;;2;;;;;11;2;1;5;944.241.955.171.134
926570;1;3;1;80;5;1;3;8;CAMBIO DOMICILIO;2;;2;;;;;2;2;1;5;944.241.955.171.134
926571;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;102.326.994.717.034
926572;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;100.328.704.541.865
926573;1;2;1;80;5;1;4;0;;2;;2;;;;;8;2;1;5;706.504.811.353.562
926573;1;4;1;80;5;1;1;7;;2;;2;;;;;2;2;1;5;706.504.811.353.562
926574;1;2;1;80;5;1;2;3;;2;;2;;;;;4;2;1;5;808.441.671.673.436
926574;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;808.441.671.673.436
926576;1;3;1;80;5;2;;;;2;;2;;1;1;;2;;1;5;653.835.061.902.686
926577;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;736.623.026.378.043
926577;1;2;1;80;5;1;1;0;;2;;2;;;1;;1;1;1;5;736.623.026.378.043
926578;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;622.961.487.651.634
926578;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;622.961.487.651.634
926579;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;72.034.030.903.603
926580;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;769.561.120.501.935
926581;1;2;1;80;5;1;4;3;;2;;2;;;;;4;2;1;5;734.097.084.605.017
926581;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;734.097.084.605.017
926584;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;621.630.899.144.357
926587;1;1;1;80;5;1;4;2;;3;;2;;;;;9;2;1;5;811.864.648.065.764
926587;2;1;2;80;5;2;;;;2;;2;;2;;.;;;1;5;811.864.648.065.764
