Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3027606;2;1;2;70;2;4;40;8; ;2;5;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;62;62;01;1;1;0111;08;76;2218,73068318665
3027650;1;2;1;70;2;28;55;3; ;2;102;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;01;1;2;0118;08;76;852,847493958601
3027657;1;4;1;70;2;78;40;1; ;2;78;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7523;08;76;1721,28973659671
3027663;1;2;1;70;2;12;48;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;08;76;2193,62141580063
3027664;1;3;1;70;2;52;40;1; ;2;8;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;2;4521;08;76;1541,73216825289
3027721;1;1;1;70;2;33;50;3; ;2;416;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;76;1506,57283608053
3027731;1;3;1;70;2;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;08;76;1088,88076726612
3027733;1;1;1;70;2;26;48;5; ;2;26;5; ;5;5; ; ; ; ;1; ; ; ; ; ; ;2; ;2;21;21;28;1;2;2811;08;76;1661,78927428783
3027772;1;1;1;70;2;4;45;4; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;61;51;52;1;1;5221;08;76;1372,1756401838
3027775;1;2;1;70;2;4;25;4; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;54;95;1;1;9500;08;76;1460,07921178479
3027780;1;4;1;70;2;20;45;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;08;76;804,543707580022
3027782;1;2;1;70;2;20;44;1; ;2;54;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;62;01;1;2;0117;08;76;1088,88076726612
3027785;1;1;1;70;2;24;48;5; ;2;24;5; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;71;1;2;7129;08;76;949,080810727084
3027845;1;1;1;70;2;4;48;1; ;2;4;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;58;58;74;1;1;7492;08;20;1649,80549266613
3027915;1;4;1;70;2;16;40;2; ;2;25;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8512;08;20;1094,35644419193
3028201;1;3;1;70;2;1;35;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;08;41;1430,31284348298
3028243;1;2;1;70;2;16;40;4; ;2;336;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;97;52;1;2;5211;08;41;1781,12102269617
3028247;1;8;1;70;2;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;08;41;1369,75494950907
3028255;1;4;1;70;2;3;40;1; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;08;41;898,9939821211
3028511;1;3;1;70;2;48;48;1; ;2;28;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;08;18;289,294797785507
3028525;1;3;1;70;2;2;48;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;08;18;328,07414277325
3028553;1;1;1;70;2;48;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;98;98;60;1;2;6041;08;18;350,417499750836
3028555;1;2;1;70;2;2;30;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;54;95;1;1;9500;08;18;314,373791483202
3028556;1;2;1;70;2;48;40;4; ;2;16;1; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;54;95;1;2;9500;08;18;314,373791483202
3028564;1;3;1;70;2;96;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;08;18;452,658918177796
3028570;1;3;1;70;2;48;48;3; ;2;32;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;18;1578,27163577601
3028571;1;5;1;70;2;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;18;1340,46716993113
3028590;1;3;1;70;2;12;60;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;08;18;392,824332379113
3028712;1;2;1;70;2;20;40;1; ;2;96;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;60;01;1;2;0123;08;18;275,027142985165
3028712;1;4;1;70;2;12;40;3; ;2;13;3; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;18;275,027142985165
3028713;1;3;1;70;2;32;3;1; ;2;8;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;52;1;2;5211;08;18;268,510592870311
3029078;1;2;1;70;2;8;40;1; ;2;8;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;62;01;1;1;0140;08;47;2031,98656873857
3029143;1;2;1;70;2;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;08;47;1993,75681854391
