DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2509366;1;1;1;70;1;24;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7491;09;23;23;131,012530034922
2509366;1;4;1;70;1;4;42;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;1; ;09;23;23;131,012530034922
2509379;1;3;1;70;1;8;50;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;41;51;1;1;5125;09;23;23;124,081193556396
2509381;1;1;1;70;1;12;50;4; ;2;52;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;09;23;23;116,509498489156
2509381;2;2;2;70;1;4;48;1; ;2;5;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;09;23;23;116,509498489156
2509389;1;2;1;70;1;3;48;3; ;2;20;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;45;52;1;1;5262;09;23;23;146,051918796526
2509391;1;1;1;70;1;8;48;3; ;2;144;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;09;23;23;135,528855469102
2509391;1;2;1;70;1;4;48;1; ;2;12;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;50;1;1;5030;09;23;23;135,528855469102
2509394;1;2;1;70;1;5;40;1; ;2;5;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4522;09;27;27;116,546666666671
2509397;1;1;1;70;1;32;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;40; ; ;1;2; ;09;27;27;116,546666666671
