DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2631838;1;2;1;70;2;10;50;1;;2;10;1;;2;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5239;2;66;354.304.913.806.314
2631939;1;1;1;70;2;8;48;1;;2;8;1;;9;3;;;;;1;;;;;;;2;;2;3;3;11;1;1;1120;2;68;818.031.323.265.964
2631953;1;2;1;70;2;40;50;1;;2;600;1;;2;1;;;;;;;;;;1;;2;;2;45;40;52;1;2;5211;2;13;106.813.971.341.637
2631956;1;3;1;70;2;16;50;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;2;;2;13;164.589.203.403.527
2631961;1;2;1;70;2;24;48;1;;2;24;1;;8;1;;;;;;;;;;1;;2;;2;53;53;55;1;2;5521;2;68;640.426.105.279.833
2631971;1;2;1;70;2;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;53;;;1;2;;2;68;100.039.768.405.798
2631973;1;4;1;70;2;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;32;;;1;2;;2;68;929.857.615.250.216
2631973;1;7;1;70;2;3;50;1;;2;4;1;;2;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;2;68;929.857.615.250.216
2631975;1;3;1;70;2;24;48;1;;2;96;1;;9;2;;;;;;;;;;1;;2;;2;19;19;11;1;2;1110;2;68;741.481.867.022.365
2631997;1;1;1;70;2;32;48;1;;2;32;1;;9;4;;;;;;;;;;1;;2;;2;99;71;11;1;2;1120;2;68;832.677.456.254.801
2632008;1;3;1;70;2;6;48;1;;2;6;1;;9;1;;;;;;;;;;1;;2;;2;87;87;11;1;1;1110;2;68;607.502.430.005.862
2632008;1;4;1;70;2;24;48;1;;2;24;1;;9;1;;;;;;;;;;1;;2;;2;87;87;11;1;2;1110;2;68;607.502.430.005.862
2632010;1;2;1;70;2;4;48;1;;2;48;1;;2;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5211;2;13;321.405.775.925.219
2632011;1;3;1;70;2;6;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;59;;;1;1;;2;13;186.035.246.871.613
2632013;1;1;1;70;2;6;48;1;;2;12;1;;4;1;;;;;;;;;;1;;2;;2;98;98;60;1;1;6042;2;13;256.218.750.785.127
2632031;1;2;1;70;2;12;54;1;;2;8;1;;4;3;;;;;;;;;;1;;2;;2;97;97;45;1;1;4530;2;68;653.451.357.048.039
2632075;1;2;1;70;2;16;48;1;;2;16;1;;9;1;;;;;;;;;;1;;2;;2;55;55;11;1;2;1110;2;68;83.500.798.108.725
2632627;1;2;1;70;2;1;60;1;;2;6;1;;4;1;;;;;;;;;;1;;2;;2;45;97;15;1;1;1581;2;5;255.519.966.773.767
2632644;1;2;1;70;2;52;70;1;;1;;;.;;;.;.;;;;;;;;;.;;;;99;;;1;2;;2;5;242.634.288.386.874
2632836;1;1;1;70;2;6;30;3;;2;84;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;2;70;847.800.094.492.869
2632842;1;2;1;70;2;8;56;8;;2;8;4;;3;2;;;;;;;;;;1;;2;;2;62;61;1;1;1;140;2;70;928.613.767.646.118
2632842;1;3;1;70;2;5;40;3;;2;350;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;2;70;928.613.767.646.118
2632847;1;2;1;70;2;3;40;3;;2;3;3;;1;1;;;;;;;;;;1;;1;200000;2;54;54;95;1;1;9500;2;70;747.609.130.889.839
2632848;1;4;1;70;2;20;40;1;;2;20;1;;5;8;;;;;;;;;;1;;2;;2;33;33;93;1;2;9303;2;70;143.409.949.240.432
2632867;1;2;1;70;2;4;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;19;;;1;1;;2;70;142.804.116.555.029
2632875;1;5;1;70;2;8;48;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;70;15.952.099.540.694
2632903;1;3;1;70;2;12;48;4;;2;16;4;;1;1;;;;;;;;;;1;;2;;2;98;98;60;1;1;6031;2;70;965.324.043.793.274
